"","est1","","","","est2","","","","est3","","","","est4","","","","est5","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"stt31","","","","","","","","","","","","","-.0141675",".0029523","-4.798793",".0000159","-.0082605",".0019367","-4.265363",".0000932"
"stt32","","","","","","","","","","","","","-.0098002",".0015496","-6.324315","8.00e-08","-.0051419",".0012716","-4.043633",".0001898"
"stt33","","","","","","","","","","","","","-.0081563",".0036802","-2.216284",".0314458","-.0010537",".0029419","-.3581726",".7217846"
"stt34","","","","","","","","","","","","","-.0102128",".0022337","-4.572112",".000034","-.0114584",".0018907","-6.060308","2.03e-07"
"stt35","","","","","","","","","","","","","-.0057057",".0023515","-2.426403",".0190553",".00997",".004173","2.389153",".0208652"
"stt36","","","","","","","","","","","","","-.0103043",".0034194","-3.013447",".004116",".0000262",".0026107",".0100307",".9920384"
"stt37","","","","","","","","","","","","","-.0002739",".0019886","-.1377233",".8910353",".0070496",".0020231","3.484604",".0010629"
"stt38","","","","","","","","","","","","","-.0147871",".0023336","-6.336621","7.66e-08","-.0094589",".0015736","-6.010951","2.41e-07"
"stt39","","","","","","","","","","","","","-.0100469",".0026538","-3.785808",".0004261","-.0017453",".0021314","-.8188545",".4169164"
"stt40","","","","","","","","","","","","","-.0004468",".0035666","-.1252781",".9008266",".0090024",".0022894","3.932156",".00027"
"stt41","","","","","","","","","","","","","-.0091418",".0015537","-5.883862","3.77e-07","-.0047535",".0015801","-3.008418",".0041736"
"stt42","","","","","","","","","","","","","-.006492",".0024335","-2.667761",".0103809",".0042814",".0025193","1.699434",".0957104"
"stt43","","","","","","","","","","","","","-.0088808",".001903","-4.666616",".0000248","-.0030994",".0014529","-2.133214",".0380471"
"stt44","","","","","","","","","","","","","-.003612",".0014216","-2.540859",".0143458",".001224",".0018041",".6784472",".5007462"
"stt45","","","","","","","","","","","","","-.0087991",".001332","-6.60613","2.96e-08","-.0089462",".0012545","-7.131229","4.63e-09"
"stt46","","","","","","","","","","","","","-.0035739",".0030948","-1.154796",".2538906",".0081054",".0026949","3.007688",".004182"
"stt47","","","","","","","","","","","","","-.010928",".002003","-5.455771","1.68e-06","-.0096721",".0017622","-5.488619","1.50e-06"
"stt48","","","","","","","","","","","","","-.0046365",".001752","-2.646456",".0109672","-.001272",".0018466","-.6888324",".494245"
"stt49","","","","","","","","","","","","","-.0081682",".0030152","-2.709009",".0093269","-.0031313",".0022516","-1.390653",".1707447"
"stt50","","","","","","","","","","","","","-.0110988",".0028615","-3.878662",".0003193","-.0005132",".002448","-.2096339",".8348407"
"_cons","6.53797","17.482",".373983",".7100639","5.615727","15.16718",".3702552",".7128212","5.599455","15.14057",".3698312",".7131351","35.66859","24.41234","1.461088",".1505069","-10.93332","17.61172","-.6207981",".5376693"
"N","2352","","","","2352","","","","2352","","","","2352","","","","2352","","",""
"r2",".9003176","","","",".9012055","","","",".9027059","","","",".8828725","","","",".9065777","","",""
"df_m","47","","","","47","","","","47","","","","6","","","","47","","",""
"df_r","48","","","","48","","","","48","","","","48","","","","48","","",""
"df_b","","","","","","","","","","","","","","","","","","","",""
"df","","","","","","","","","","","","","","","","","","","",""
