"","est1","","","","est2","","","","est3","","","","est4","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"v_fe164",".2362924",".220187","1.073144",".2973835",".2669003",".2138863","1.247861",".2280721",".3438833",".2654058","1.295689",".2114527",".3730966",".2755151","1.354178",".1924373"
"v_fe165",".1368157",".2403912",".5691376",".5762965",".1592803",".2328791",".6839613",".5027107",".075655",".2868394",".263754",".7949653",".1192828",".2924764",".4078374",".6882031"
"v_fe166",".8063694",".2115478","3.81176",".0012775",".8330482",".2058751","4.046378",".0007574","-.0802884",".2580139","-.3111787",".7592398","-.0526272",".2688787","-.1957283",".8470154"
"v_fe167","-.7379191",".3970017","-1.85873",".0794954","-.6781471",".3846974","-1.762806",".0949034","-.4082391",".5625644","-.7256752",".4773678","-.3457053",".5811368","-.5948777",".5593299"
"v_fe168",".3861292",".2167114","1.781767",".0916662",".4161984",".2105268","1.976938",".0635727",".3495462",".2699686","1.294766",".211764",".3771501",".2803666","1.345203",".1952635"
"v_fe169",".2501758",".225048","1.111655",".2809146",".2821464",".2182361","1.292849",".2124122",".013262",".2885789",".0459562",".9638512",".0453563",".3001895",".1510922",".8815834"
"v_fe170",".4476408",".23759","1.884089",".0758093",".4817157",".2302945","2.091738",".0509072","-.5695912",".3088774","-1.844069",".0816979","-.534278",".3210122","-1.664354",".1133524"
"v_fe171",".3984083",".1182933","3.367971",".003426",".4122477",".1156574","3.564388",".0022159","-.3156166",".1479432","-2.133364",".0469121","-.3010017",".1555018","-1.935679",".0687741"
"v_fe172",".7524762",".236683","3.179257",".0051939",".7863538",".2294365","3.427326",".003004","1.155303",".3092958","3.73527",".0015148","1.19353",".3183297","3.749351",".0014681"
"v_fe173",".0947413",".2344377",".4041212",".6908847",".1280257",".2274582",".5628538",".5804781",".4066974",".3107377","1.308812",".2070623",".4404696",".3226689","1.365082",".1890476"
"v_fe174","1.032279",".2339704","4.412005",".0003364","1.063859",".227409","4.678175",".0001872",".9075565",".3082723","2.944009",".0086786",".939973",".319783","2.939409",".0087655"
"v_fe175",".9467246",".1173781","8.065597","2.18e-07",".9708495",".1124503","8.63359","8.14e-08",".7063219",".1536607","4.596632",".0002239",".7390981",".1598821","4.622769",".0002114"
"v_fe176",".199651",".1156478","1.726371",".1014037",".2129001",".1130614","1.883049",".0759574",".3911962",".1477041","2.648513",".0163401",".4076819",".1530814","2.66317",".0158415"
"v_fe177","0",".",".",".","0",".",".",".","-.570367",".3333831","-1.710845",".1042882","-.5372062",".3463678","-1.55097",".1383129"
"v_fe178","-.1126661",".2288678","-.4922758",".6284747","-.0802693",".2220867","-.3614323",".721984",".2902245",".3230007",".8985259",".3807677",".3260575",".3354946",".971871",".3439946"
"v_fe179","-.6597339",".2277283","-2.897022",".009607","-.6273425",".2209071","-2.839847",".0108664","-.1724862",".3184835","-.5415861",".5947446","-.1384251",".3307418","-.418529",".6805116"
"v_fe180","-.3966248",".2564632","-1.546517",".1393806","-.371288",".2484592","-1.494362",".1524053","-.4096424",".3449605","-1.187505",".2504633","-.3599505",".3544201","-1.015604",".3232757"
"v_fe181",".359805",".3124096","1.151709",".2645091",".4162436",".3003937","1.38566",".182781","-.2184639",".4597496","-.4751802",".6403735","-.164376",".4744112","-.3464843",".7329961"
"v_fe182","-.7684",".3253294","-2.361914",".0296509","-.7202395",".3151832","-2.285145",".0346534","-.1441168",".4841399","-.2976759",".7693589","-.0917228",".5009722","-.1830897",".8567741"
"v_fe183",".224646",".2834821",".792452",".4384175",".2665556",".2735107",".9745708",".3426894","-.0392487",".4266061","-.0920021",".9277125",".0055779",".4412854",".0126401",".990054"
"v_fe184","-1.75137",".3182925","-5.50239",".0000317","-1.703105",".3075761","-5.537183",".0000295","-1.238295",".4989236","-2.481932",".0231608","-1.177938",".5171193","-2.277885",".0351649"
"v_fe185","-.6220784",".3168383","-1.963394",".0652401","-.574682",".3067123","-1.873684",".077303","-1.958138",".4910616","-3.98756",".0008634","-1.899567",".505046","-3.761177",".0014299"
"v_fe186",".2509253",".338947",".7403082",".4686603",".3",".3285422",".9131248",".373246","-.1560539",".5123496","-.3045848",".7641759","-.0962032",".5298575","-.1815643",".8579536"
"v_fe187","-.6434422",".3354618","-1.918079",".0711061","-.5967968",".3256707","-1.832516",".0834711","-.3954828",".5143114","-.7689559",".451892","-.3377338",".5315886","-.6353292",".533208"
"v_fe188","-1.624292",".3303005","-4.91762",".000111","-1.574869",".320157","-4.919052",".0001107","-.3654203",".5175994","-.7059906",".4892316","-.3076849",".5353326","-.5747547",".5725715"
"v_fe189","-.3154962",".3027547","-1.042085",".3111672","-.2635853",".2898984","-.9092331",".3752413","-.9156235",".459772","-1.991473",".061826","-.8268972",".4775975","-1.731368",".1004898"
