Regime change, within cells						
	(1)	(2)	(3)	(4)	(5)	(6)
	Onset Gov	Trend control		transition 5MA		
	Cell-FE	Cell-FE	IsoXCell-FE	Cell-FE	Cell-FE	Cell-FE
VARIABLES	Polity <=0	Polity <=0	Polity <=0	Polity <=0	Polity <=0	Polity <=0
						
1o.onsetGov	-	-	-	-		
						
		[0.000574]				
93._isocode#c.year		0.00212***				
		[0.000226]				
94._isocode#c.year		-0.00688***				
		[0.000175]				
96._isocode#c.year		-0.0431***				
		[0.00731]				
99._isocode#c.year		-0.00730***				
		[0.000235]				
101._isocode#c.year		-0.0496***				
		[0.00471]				
102._isocode#c.year		-0.00480				
		[0.00528]				
103._isocode#c.year		0.0923***				
		[0.00483]				
104._isocode#c.year		-0.00940***				
		[0.00162]				
107._isocode#c.year		-0.0146***				
		[0.000703]				
109._isocode#c.year		-0.0401***				
		[0.00527]				
110._isocode#c.year		-0.0283***				
		[0.00243]				
112._isocode#c.year		0.0108***				
		[0.000886]				
113._isocode#c.year		-0.00822***				
		[0.000481]				
117._isocode#c.year		-0.0203***				
		[0.00527]				
118._isocode#c.year		0.00343				
		[0.00471]				
120._isocode#c.year		0.00333				
		[0.00473]				
123._isocode#c.year		-0.0193***				
		[0.00298]				
125._isocode#c.year		-0.0427***				
		[0.00467]				
126._isocode#c.year		-0.00533				
		[0.00460]				
128._isocode#c.year		0.00921***				
		[0.000271]				
130._isocode#c.year		0.0248***				
		[0.00788]				
131._isocode#c.year		0.0106**				
		[0.00447]				
133._isocode#c.year		0.00319***				
		[0.000642]				
135._isocode#c.year		-0.00403***				
		[0.000323]				
137._isocode#c.year		-0.0245***				
		[0.00444]				
138._isocode#c.year		-0.00343				
		[0.00461]				
140._isocode#c.year		0.0161***				
		[0.00554]				
144._isocode#c.year		0.0198***				
		[0.00452]				
145._isocode#c.year		-0.0129***				
		[0.00472]				
146._isocode#c.year		0.00940***				
		[0.000372]				
149._isocode#c.year		-0.00527***				
		[0.000237]				
152._isocode#c.year		-0.000786***				
		[0.000213]				
159._isocode#c.year		0.0116***				
		[0.000278]				
161._isocode#c.year		-0.0117***				
		[0.000526]				
163._isocode#c.year		0.00354***				
		[0.000251]				
166._isocode#c.year		-0.0142***				
		[0.00527]				
169._isocode#c.year		0.00985***				
		[0.000260]				
170._isocode#c.year		0.00554***				
		[0.000390]				
171._isocode#c.year		0.0299***				
		[0.0106]				
172._isocode#c.year		0.00325				
		[0.00522]				
173._isocode#c.year		-0.00564***				
		[0.000229]				
174._isocode#c.year		-0.0212***				
		[0.00296]				
175._isocode#c.year		-0.0130***				
		[0.00455]				
178._isocode#c.year		-0.00639				
		[0.00483]				
181._isocode#c.year		-0.0175***				
		[0.00453]				
186._isocode#c.year		0.0131*				
		[0.00770]				
187._isocode#c.year		0.00337				
		[0.00472]				
189._isocode#c.year		-0.0268***				
		[0.00515]				
192._isocode#c.year		-0.0211***				
		[0.000267]				
194._isocode#c.year		-0.00945**				
		[0.00452]				
195._isocode#c.year		-0.00620				
		[0.00449]				
197._isocode#c.year		-0.0438***				
		[0.00500]				
198._isocode#c.year		-0.0430***				
		[0.00474]				
203._isocode#c.year		-0.00595				
		[0.00404]				
206._isocode#c.year		0.0115***				
		[0.000899]				
207._isocode#c.year		-0.00294				
		[0.00504]				
208._isocode#c.year		-0.0139***				
		[0.00528]				
209._isocode#c.year		0.0143***				
		[0.00471]				
212._isocode#c.year		0.00316				
		[0.00479]				
216._isocode#c.year		-0.0282***				
		[0.00281]				
220._isocode#c.year		-0.0108***				
		[0.000376]				
221._isocode#c.year		-0.0310***				
		[0.0117]				
222._isocode#c.year		0.00618***				
		[0.000904]				
225._isocode#c.year		-0.00749				
		[0.00529]				
226._isocode#c.year		-0.0134***				
		[0.00508]				
1o.onsetIntense					-	
						
0b.onsetIntense#co.logcapdist					0	
					[0]	
1.onsetIntense#c.logcapdist					-0.321***	
					[0.0597]	
1o.onsetTerr						-
						
0b.onsetTerr#co.logcapdist						0
						[0]
1.onsetTerr#c.logcapdist						0.0611
						[0.361]
						
Observations	1,913,481	1,913,481	1,913,481	1,913,481	1,913,481	1,913,481
R-squared	0.292	0.404	0.302	0.363	0.292	0.292
Robust standard errors in brackets						
*** p<0.01, ** p<0.05, * p<0.1						
