"","est1","","",""
"","b","se","t","p"
"_Ipol_job_s_24","-.4560787",".1880185","-2.425712",".0190876"
"_Ipol_job_s_25","-.4123672",".1971807","-2.091316",".0418162"
"_Ipol_job_s_26","-.7177372",".2963133","-2.422224",".019251"
"_Ifemale_1","-.3815647",".1395196","-2.734846",".0087178"
"_IpolXfem_2_1",".3696126",".1723604","2.144417",".0370911"
"_IpolXfem_3_1",".7111277",".2060087","3.45193",".0011712"
"_IpolXfem_4_1",".7770745",".2209288","3.517307",".0009641"
"_IpolXfem_5_1",".3860861",".1405872","2.74624",".008461"
"_IpolXfem_6_1",".2403639",".2215851","1.084748",".2834518"
"_IpolXfem_7_1",".575505",".1985438","2.898629",".005635"
"_IpolXfem_8_1",".5924761",".1856544","3.191285",".0024984"
"_IpolXfem_9_1",".4837645",".2013962","2.402054",".0202216"
"_IpolXfem_10_1",".5303625",".1847715","2.87037",".0060817"
"_IpolXfem_11_1",".1311189",".1329164",".986476",".3288463"
"_IpolXfem_12_1",".3282827",".188629","1.740362",".0882036"
"_IpolXfem_13_1",".5614337",".1971319","2.84801",".0064582"
"_IpolXfem_14_1",".5421916",".1637326","3.311445",".0017684"
"_IpolXfem_15_1",".1203306",".1863026",".6458877",".5214281"
"_IpolXfem_16_1",".6353427",".2540666","2.500693",".0158623"
"_IpolXfem_17_1",".6406295",".2072069","3.091738",".00331"
"_IpolXfem_18_1",".2586962",".1055596","2.450713",".0179517"
"_IpolXfem_19_1",".733022",".2568871","2.853479",".0063642"
"_IpolXfem_20_1",".6460448",".2063529","3.130777",".002966"
"_IpolXfem_21_1",".3971645",".2211421","1.795969",".0787949"
"_IpolXfem_22_1",".5308099",".2011416","2.638986",".0111798"
"_IpolXfem_23_1",".4830501",".1539168","3.138384",".0029029"
"_IpolXfem_24_1",".4854836",".2197568","2.209186",".0319674"
"_IpolXfem_25_1",".3495335",".1943746","1.798247",".0784283"
"_IpolXfem_26_1",".6979536",".2511326","2.779224",".0077564"
"_Ifemale_1","0",".",".","."
"_Ipol_u_2",".4326329",".2027762","2.133549",".0380182"
"_Ipol_u_3",".2435549",".2392288","1.018083",".3137426"
"_Ipol_u_4",".1315597",".2932007",".448702",".6556658"
"_Ipol_u_5",".12989",".280332",".4633434",".6452124"
"_Ipol_u_6",".3042811",".2745575","1.10826",".273272"
"_Ipol_u_7",".4025057",".1725648","2.33249",".0239155"
