	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)
VARIABLES	allapps	allapps	DIonly	SSItotal	SSDItotal	allapps	DIonly	SSItotal	SSDItotal	allapps	DIonly	SSItotal	SSDItotal	allapps	DIonly	SSItotal	SSDItotal
																	
25001.county	0.962***	-0.112***	0.224***	-0.336***	0.230***	-0.112***	0.224***	-0.336***	0.230***	-0.112***	0.224***	-0.336***	0.230***	-0.112***	0.224***	-0.336***	0.230***
	(0.0243)	(0.0220)	(0.00714)	(0.0175)	(0.0200)	(0.0220)	(0.00714)	(0.0175)	(0.0200)	(0.0220)	(0.00714)	(0.0175)	(0.0200)	(0.0220)	(0.00714)	(0.0175)	(0.0200)
25003.county	2.016***	0.940***	0.290***	0.650***	0.997***	0.940***	0.290***	0.650***	0.997***	0.940***	0.290***	0.650***	0.997***	0.940***	0.290***	0.650***	0.997***
	(0.00868)	(0.0573)	(0.0166)	(0.0444)	(0.0446)	(0.0573)	(0.0166)	(0.0444)	(0.0446)	(0.0573)	(0.0166)	(0.0444)	(0.0446)	(0.0573)	(0.0166)	(0.0444)	(0.0446)
25005.county	1.981***	0.911***	0.385***	0.526***	0.838***	0.911***	0.385***	0.526***	0.838***	0.911***	0.385***	0.526***	0.838***	0.911***	0.385***	0.526***	0.838***
	(0.0535)	(0.0598)	(0.00977)	(0.0536)	(0.0591)	(0.0598)	(0.00977)	(0.0536)	(0.0591)	(0.0598)	(0.00977)	(0.0536)	(0.0591)	(0.0598)	(0.00977)	(0.0536)	(0.0591)
25009.county	1.125***																
	(0.0262)																
25011.county	2.073***	0.996***	0.180***	0.817***	1.009***	0.996***	0.180***	0.817***	1.009***	0.996***	0.180***	0.817***	1.009***	0.996***	0.180***	0.817***	1.009***
	(0.00697)	(0.0651)	(0.0185)	(0.0507)	(0.0509)	(0.0651)	(0.0185)	(0.0507)	(0.0509)	(0.0651)	(0.0185)	(0.0507)	(0.0509)	(0.0651)	(0.0185)	(0.0507)	(0.0509)
25013.county	3.886***	2.814***	0.336***	2.479***	1.714***	2.814***	0.336***	2.479***	1.714***	2.814***	0.336***	2.479***	1.714***	2.814***	0.336***	2.479***	1.714***
	(0.0467)	(0.0446)	(0.00616)	(0.0410)	(0.0462)	(0.0446)	(0.00616)	(0.0410)	(0.0462)	(0.0446)	(0.00616)	(0.0410)	(0.0462)	(0.0446)	(0.00616)	(0.0410)	(0.0462)
25015.county	0.501***																
	(0.0113)																
25017.county	0.0357**																
	(0.0116)																
25021.county	0.0123	-1.065***	-0.104***	-0.962***	-0.575***	-1.065***	-0.104***	-0.962***	-0.575***	-1.065***	-0.104***	-0.962***	-0.575***	-1.065***	-0.104***	-0.962***	-0.575***
	(0.00744)	(0.0778)	(0.0215)	(0.0611)	(0.0615)	(0.0778)	(0.0215)	(0.0611)	(0.0615)	(0.0778)	(0.0215)	(0.0611)	(0.0615)	(0.0778)	(0.0215)	(0.0611)	(0.0615)
25023.county	0.747***	-0.327***	0.153***	-0.480***	-0.0440*	-0.327***	0.153***	-0.480***	-0.0440*	-0.327***	0.153***	-0.480***	-0.0440*	-0.327***	0.153***	-0.480***	-0.0440*
	(0.0212)	(0.0272)	(0.00884)	(0.0209)	(0.0224)	(0.0272)	(0.00884)	(0.0209)	(0.0224)	(0.0272)	(0.00884)	(0.0209)	(0.0224)	(0.0272)	(0.00884)	(0.0209)	(0.0224)
25025.county	1.605***																
	(0.0216)																
25027.county	1.376***	0.302***	0.190***	0.113***	0.329***	0.302***	0.190***	0.113***	0.329***	0.302***	0.190***	0.113***	0.329***	0.302***	0.190***	0.113***	0.329***
	(0.0281)	(0.0183)	(0.00512)	(0.0162)	(0.0199)	(0.0183)	(0.00512)	(0.0162)	(0.0199)	(0.0183)	(0.00512)	(0.0162)	(0.0199)	(0.0183)	(0.00512)	(0.0162)	(0.0199)
33001.county	1.136***																
	(0.0208)																
33005.county	0.934***																
	(0.0260)																
33009.county	0.544***																
	(0.0390)																
33011.county	0.744***																
	(0.0176)																
33013.county	0.923***	-0.122	0.221***	-0.343**	0.260*	-0.122	0.221***	-0.343**	0.260*	-0.122	0.221***	-0.343**	0.260*	-0.122	0.221***	-0.343**	0.260*
	(0.0287)	(0.133)	(0.0310)	(0.110)	(0.114)	(0.133)	(0.0310)	(0.110)	(0.114)	(0.133)	(0.0310)	(0.110)	(0.114)	(0.133)	(0.0310)	(0.110)	(0.114)
33015.county	0.192***	-0.850***	0.220***	-1.070***	-0.254**	-0.850***	0.220***	-1.070***	-0.254**	-0.850***	0.220***	-1.070***	-0.254**	-0.850***	0.220***	-1.070***	-0.254**
	(0.00726)	(0.0828)	(0.0193)	(0.0686)	(0.0711)	(0.0828)	(0.0193)	(0.0686)	(0.0711)	(0.0828)	(0.0193)	(0.0686)	(0.0711)	(0.0828)	(0.0193)	(0.0686)	(0.0711)
33017.county	0.821***																
	(0.0267)																
34001.county	1.188***																
	(0.0451)																
34003.county	-0.370***																
	(0.0136)																
34005.county	0.438***																
	(0.00574)																
34007.county	1.595***																
	(0.0248)																
34009.county	1.203***																
	(0.0840)																
34011.county	1.615***																
	(0.0752)																
34013.county	1.429***																
	(0.0440)																
34015.county	0.639***																
	(0.00966)																
34017.county	1.084***																
	(0.0358)																
34021.county	0.809***																
	(0.00459)																
34023.county	-0.0168***																
	(0.000402)																
34025.county	0.168***																
	(0.00438)																
34027.county	-0.544***																
	(0.0280)																
34029.county	0.824***																
	(0.0185)																
34031.county	0.836***																
	(0.0418)																
34033.county	1.396***																
	(0.0249)																
34035.county	-0.429***																
	(0.0252)																
34037.county	0.180***																
	(0.00388)																
34039.county	0.322***																
	(0.0175)																
34041.county	0.435***																
	(0.00553)																
36001.county	1.097***																
	(0.00527)																
36003.county	1.421***																
	(0.0434)																
36005.county	2.831***	1.801***	-0.0737**	1.875***	0.433***	1.801***	-0.0737**	1.875***	0.433***	1.801***	-0.0737**	1.875***	0.433***	1.801***	-0.0737**	1.875***	0.433***
	(0.0825)	(0.128)	(0.0299)	(0.106)	(0.110)	(0.128)	(0.0299)	(0.106)	(0.110)	(0.128)	(0.0299)	(0.106)	(0.110)	(0.128)	(0.0299)	(0.106)	(0.110)
36007.county	2.053***																
	(0.0183)																
36009.county	1.995***																
	(0.0346)																
36011.county	1.145***																
	(0.0178)																
36013.county	2.294***																
	(0.0167)																
36015.county	2.519***	1.482***	0.700***	0.783***	1.221***	1.482***	0.700***	0.783***	1.221***	1.482***	0.700***	0.783***	1.221***	1.482***	0.700***	0.783***	1.221***
	(0.0242)	(0.00879)	(0.00209)	(0.00724)	(0.00751)	(0.00879)	(0.00209)	(0.00724)	(0.00751)	(0.00879)	(0.00209)	(0.00724)	(0.00751)	(0.00879)	(0.00209)	(0.00724)	(0.00751)
36017.county	1.961***																
	(0.0290)																
36019.county	1.572***																
	(0.0420)																
36021.county	1.760***																
	(0.00663)																
36023.county	1.120***																
	(0.0379)																
36025.county	1.738***																
	(0.0117)																
36027.county	0.739***																
	(0.00380)																
36029.county	1.803***	0.766***	0.655***	0.111***	0.677***	0.766***	0.655***	0.111***	0.677***	0.766***	0.655***	0.111***	0.677***	0.766***	0.655***	0.111***	0.677***
	(0.0266)	(0.00316)	(0.000791)	(0.00257)	(0.00267)	(0.00316)	(0.000791)	(0.00257)	(0.00267)	(0.00316)	(0.000791)	(0.00257)	(0.00267)	(0.00316)	(0.000791)	(0.00257)	(0.00267)
36031.county	1.232***																
	(0.0447)																
36033.county	1.302***																
	(0.0501)																
36035.county	2.254***																
	(0.0414)																
36037.county	1.386***																
	(0.0191)																
36039.county	1.801***																
	(0.0226)																
36043.county	2.078***																
	(0.0313)																
36045.county	1.408***																
	(0.0518)																
