"","est1","","","","est2","","","","est3","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p"
"_SstfXyea_5_1969","","","","",".5195883",".4228208","1.228862",".2192192",".6031596",".4846349","1.244565",".2133882"
"_SstfXyea_5_1970","","","","","-.0664159",".1219799","-.5444826",".5861496",".0261365",".1801358",".1450935",".8846467"
"_SstfXyea_5_1971","","","","",".6074563",".4079942","1.488884",".136622",".70418",".4844185","1.45366",".1461442"
"_SstfXyea_5_1972","","","","",".1730451",".3679152",".4703397",".6381463",".2701927",".4512419",".5987756",".5493673"
"_SstfXyea_5_1973","","","","",".353083",".3847471",".9177016",".3588482",".4687018",".4733532",".9901734",".3221686"
"_SstfXyea_5_1974","","","","",".1182261",".2783937",".4246723",".6711057",".2359811",".3750221",".6292458",".5292357"
"_SstfXyea_5_1975","","","","",".0536336",".2563093",".2092533",".8342646",".1613926",".3508686",".4599802",".6455635"
"_SstfXyea_5_1976","","","","",".0605398",".2205827",".274454",".7837545",".2030566",".3464194",".5861583",".5578128"
"_SstfXyea_5_1977","","","","",".4009415",".2782992","1.440685",".1497772",".548442",".3653585","1.501106",".1334324"
"_SstfXyea_5_1978","","","","",".376985",".2903716","1.298285",".1942885",".4943784",".4364496","1.132727",".2574185"
"_SstfXyea_5_1979","","","","",".0914356",".2933368",".3117085",".7552835",".2197256",".4430605",".4959269",".619982"
"_SstfXyea_5_1980","","","","","-.0558422",".1650289","-.3383781",".7351017",".0854195",".3029941",".281918",".7780256"
"_SstfXyea_5_1981","","","","",".2294588",".1722225","1.332339",".182849",".3789099",".3030187","1.25045",".2112318"
"_SstfXyea_5_1982","","","","",".2036685",".2477267",".8221502",".4110562",".3601966",".4046163",".8902177",".3734198"
"_SstfXyea_5_1983","","","","",".2422225",".2018546","1.199985",".2302391",".4058276",".3726629","1.088994",".2762433"
"_SstfXyea_5_1984","","","","",".2876702",".2460988","1.168922",".2425273",".4583523",".3994812","1.147369",".2513199"
"_SstfXyea_5_1985","","","","",".1752486",".2607727",".6720357",".5016123",".3530077",".4647933",".759494",".4476163"
"_SstfXyea_5_1986","","","","",".1959841",".2369403",".8271453",".4082199",".3808202",".4474885",".8510168",".3948274"
"_SstfXyea_5_1987","","","","",".1523752",".1881959",".8096627",".4181977",".3442883",".4111789",".8373201",".4024788"
"_SstfXyea_5_1988","","","","",".0849415",".2231196",".3806994",".7034531",".2839316",".435713",".6516483",".5146776"
"_SstfXyea_6_1961","","","","","-1.14162",".8150004","-1.40076",".1613883","-.8233571",".6919913","-1.189837",".2342036"
"_SstfXyea_6_1962","","","","","-1.887997","1.097361","-1.720488",".085446","-1.464114",".9755963","-1.500738",".1335277"
"_SstfXyea_6_1963","","","","","-.3402981",".4179763","-.8141563",".4156195",".158989",".5159343",".3081574",".7579838"
"_SstfXyea_6_1964","","","","","-.5707844",".3286825","-1.736583",".0825626","-.059465",".2697761","-.2204235",".8255562"
"_SstfXyea_6_1965","","","","","-.7075988",".3942147","-1.794958",".0727602","-.066287",".2862514","-.2315691",".8168884"
"_SstfXyea_6_1966","","","","",".0846858",".3787617",".2235858",".8230947",".8134907",".2952363","2.755389",".0058973"
"_SstfXyea_6_1967","","","","","2.509514","1.636826","1.533158",".1253414","3.324153","1.926786","1.725232",".0845877"
"_SstfXyea_6_1968","","","","","4.72575","2.3912","1.976308",".0482105","5.621385","2.723221","2.064241",".0390799"
"_SstfXyea_6_1969","","","","","3.93817","1.614519","2.439222",".014776","4.907917","1.974884","2.485167",".0130027"
"_SstfXyea_6_1970","","","","",".3995511",".4097199",".9751811",".3295484","1.459813",".690946","2.112774",".0347018"
"_SstfXyea_6_1971","","","","","2.721537","1.341626","2.028537",".0425929","3.880246","1.779754","2.180214",".0293184"
"_SstfXyea_6_1972","","","","","-3.779857","2.074215","-1.822307",".0685071","-2.568226","1.642977","-1.563154",".1181209"
"_SstfXyea_6_1973","","","","","-3.654267","2.296034","-1.591556",".111589","-2.351387","1.80724","-1.301093",".1933256"
"_SstfXyea_6_1974","","","","","-3.420932","1.91397","-1.787349",".0739812","-2.009112","1.381676","-1.454113",".1460188"
