"","est1","","","","est2","","","","est3","","","","est4","","","","est5","","","","est6","","","","est7","","",""
"_IdivXyea_3_2004","","","","","-.4152263",".6849853","-.6061829",".5471914","-3.222681",".4719128","-6.828975","1.22e-08","-.248869",".6802644","-.3658416",".716058","-2.29066",".6229283","-3.677244",".0005852","-1.241331",".5830762","-2.128934",".0383111","-1.241331",".5830762","-2.128934",".0383111"
"_IdivXyea_3_2005","","","","","-.4135571",".7519316","-.549993",".5848226","-3.621883",".7074701","-5.119485","5.13e-06","-.1240345",".6239381","-.1987929",".8432473","-2.428337",".5733193","-4.235576",".0001","-1.193257",".6750353","-1.767696",".0833382","-1.193257",".6750353","-1.767696",".0833382"
"_IdivXyea_3_2006","","","","","-.4569147",".7864806","-.5809612",".5639294","-4.065937",".8242124","-4.933118","9.73e-06","-.0896873",".4292168","-.2089557",".835349","-2.584748",".5733617","-4.508059",".0000408","0",".",".",".","0",".",".","."
"_IdivXyea_3_2007","","","","","-.4176095","1.053848","-.3962712",".6936254","-4.427385","1.189891","-3.720833",".0005118","0",".",".",".","-2.948202",".7814462","-3.772751",".0004359","0",".",".",".","0",".",".","."
"_IdivXyea_4_1992","","","","","-2.461671","1.186213","-2.075235",".0432361","-1.074471","1.052009","-1.021352",".3121042","-2.461183","1.228759","-2.002983",".0507272","-.7589769",".7389434","-1.027111",".309412","0",".",".",".","0",".",".","."
"_IdivXyea_4_1993","","","","","-1.308406","1.082782","-1.208374",".2327027","-.1989781",".9994225","-.1990931",".8430138","-1.341741","1.159438","-1.157234",".2527869",".1648952",".5469541",".3014791",".764325","0",".",".",".","0",".",".","."
"_IdivXyea_4_1994","","","","","-.1823383",".6123356","-.2977752",".7671337",".649725",".5704306","1.139008",".2602378","-.2375855",".6955736","-.3415678",".7341367","1.078817",".4636216","2.326935",".0241456",".9969341",".5110257","1.950849",".0568057",".9969341",".5110257","1.950849",".0568057"
"_IdivXyea_4_1995","","","","",".5174095",".2119865","2.440767",".0183169","1.072205",".1657215","6.469924","4.40e-08",".4827573",".2405671","2.006747",".0503109",".9478446",".2580557","3.673023",".0005928","1.04973",".2774689","3.783235",".0004219","1.04973",".2774689","3.783235",".0004219"
"_IdivXyea_4_1996","","","","",".5857425",".2721263","2.152465",".0363126",".8631058",".2591622","3.330369",".0016542",".6115123",".2789106","2.192503",".0331221",".7756981",".3392296","2.286646",".026576",".8520637",".3497565","2.436163",".0185255",".8520637",".3497565","2.436163",".0185255"
"_IdivXyea_4_1998","","","","","-.0979916",".4023739","-.2435337",".8086087","-.3749394",".3978859","-.9423291",".3506472","-.2010555",".465949","-.4314969",".6679997","-.7855021",".3725276","-2.108574",".0401174","-.7614312",".2947654","-2.583177",".0128251","-.7614312",".2947654","-2.583177",".0128251"
"_IdivXyea_4_1999","","","","","-.4397401",".5616207","-.7829841",".4374044","-.9932813",".5813786","-1.708493",".0938731","-.46451",".5989174","-.7755828",".4417226","-.8046772",".5793179","-1.389008",".1711112","-.7045244",".4370937","-1.611838",".1134205","-.7045244",".4370937","-1.611838",".1134205"
"_IdivXyea_4_2000","","","","",".0733156",".568997",".1288505",".8980034","-.7563502",".6586976","-1.148251",".2564399",".2335683",".5335358",".4377744",".6634735","-.4922685",".7581556","-.6492975",".5191782","-.4244245",".6484738","-.6544976",".5158518","-.4244245",".6484738","-.6544976",".5158518"
"_IdivXyea_4_2001","","","","",".1777814",".4102533",".4333454",".6666656","-.9276182",".4805501","-1.930326",".0593647",".2647709",".4520321",".5857348",".5607421","-.5407223",".6163568","-.8772878",".3846115","-.4055764",".5212748","-.7780473",".440282","-.4055764",".5212748","-.7780473",".440282"
"_IdivXyea_4_2002","","","","","-.0790185",".4373066","-.1806936",".8573534","-1.459995",".4671856","-3.125086",".0029852",".0105637",".4527939",".0233299",".9814818","-.6320461",".5114805","-1.235719",".2224547","-.5607881",".4546903","-1.233341",".2233324","-.5607881",".4546903","-1.233341",".2233324"
"_IdivXyea_4_2003","","","","","-.0451108",".3913255","-.115277",".9086967","-1.701807",".42221","-4.030711",".0001936",".1298725",".3816007",".3403362",".7350581","-.7664559",".6927097","-1.10646",".2739299","-.5683613",".5969581","-.9520958",".3457215","-.5683613",".5969581","-.9520958",".3457215"
"_IdivXyea_4_2004","","","","",".2709898",".594246",".4560229",".6503883","-1.661657",".6043724","-2.749392",".0083381",".6187942",".4988962","1.240326",".2207612","-.2990183",".9002656","-.3321446",".7411968","-.0789067",".7621611","-.1035302",".9179648","-.0789067",".7621611","-.1035302",".9179648"
"_IdivXyea_4_2005","","","","","-.1662439",".7701235","-.2158665",".8299879","-2.375243",".8770019","-2.708368",".0092862",".4370825",".3161476","1.382527",".1730792","-.5843686",".997465","-.5858538",".5606627","-.3479637",".9042738","-.3847991",".7020515","-.3479637",".9042738","-.3847991",".7020515"
"_IdivXyea_4_2006","","","","","-.7371046",".8681518","-.8490504",".3999824","-3.222402","1.026485","-3.139258",".0028677",".0275584",".2079715",".1325102",".8951234","-.9596878","1.082068","-.8869013",".3794645","0",".",".",".","0",".",".","."
"_IdivXyea_4_2007","","","","","-.8701084","1.084643","-.8022071",".4263068","-3.632153","1.314816","-2.762479",".008055","0",".",".",".","-1.266373","1.424303","-.8891179",".378284","0",".",".",".","0",".",".","."
"_IdivXyea_5_1992","","","","","-.4564853","1.255227","-.3636675",".7176707","2.039906","1.069311","1.907682",".0623018","-.4604111","1.300439","-.3540428",".7248258","-2.618222",".547913","-4.778536",".0000165","0",".",".",".","0",".",".","."
"_IdivXyea_5_1993","","","","","-.2421504",".969257","-.249831",".8037625","1.75586",".8245905","2.129373",".038273","-.2268736","1.032675","-.2196951",".8270213","-1.767925",".296577","-5.9611","2.69e-07","0",".",".",".","0",".",".","."
"_IdivXyea_5_1994","","","","",".3267494",".681347",".4795639",".6336712","1.826606",".6187818","2.951939",".0048355",".3554151",".7559768",".4701402",".6403407","-1.21579",".4794912","-2.535585",".0144663",".9349779",".5235985","1.785677",".0803409",".9349779",".5235985","1.785677",".0803409"
"_IdivXyea_5_1995","","","","",".3787677",".5051404",".7498267",".4569443","1.379275",".4672921","2.951633",".0048396",".3971217",".5503305",".7216058",".4739663","-.9010395",".4106211","-2.194333",".0329823",".537634",".4261294","1.261668",".2130412",".537634",".4261294","1.261668",".2130412"
"_IdivXyea_5_1996","","","","",".2433956",".2934815",".8293387",".4109348",".744007",".2564214","2.901501",".0055493",".2283837",".2988576",".7641891",".448419","-.3587196",".217162","-1.651852",".1049598",".421983",".2727333","1.547237",".1282411",".421983",".2727333","1.547237",".1282411"
"_IdivXyea_5_1998","","","","","-.1192389",".3234652","-.3686297",".7139917","-.6205222",".2916758","-2.127438",".0384413","-.0605898",".369851","-.1638222",".870545",".2709236",".2448556","1.106463",".273929","-.6060116",".230677","-2.627101",".011463","-.6060116",".230677","-2.627101",".011463"
"_IdivXyea_5_1999","","","","","-.1788512",".295771","-.6046946",".548172","-1.181885",".2661898","-4.440009",".0000512","-.1648143",".3208721","-.5136447",".6098089","1.130937",".2743968","4.121538",".0001447","-.5665722",".2966288","-1.910037",".0619907","-.5665722",".2966288","-1.910037",".0619907"
"_IdivXyea_5_2000","","","","",".582969",".4513406","1.291639",".2025418","-.9220797",".5028714","-1.833629",".0727864",".492379",".3179789","1.548465",".1279456","2.140944",".3945137","5.426792","1.76e-06","-.2437212",".4122378","-.5912151",".5570939","-.2437212",".4122378","-.5912151",".5570939"
"_IdivXyea_5_2001","","","","",".4703204",".4959091",".9484004",".3475798","-1.537203",".4541229","-3.384993",".0014092",".4212158",".4362928",".9654428",".339064","2.742486",".3359434","8.163536","1.08e-10","-.3083006",".5152242","-.5983816",".5523415","-.3083006",".5152242","-.5983816",".5523415"
"_IdivXyea_5_2002","","","","","-.244127",".5425132","-.4499928",".6547002","-2.754773",".501853","-5.489202","1.42e-06","-.2945873",".5113546","-.576092",".5671898","2.85659",".4823765","5.921909","3.09e-07","-.9753475",".5639428","-1.729515",".0900127","-.9753475",".5639428","-1.729515",".0900127"
"_IdivXyea_5_2003","","","","","-.2457334",".4031166","-.6095841",".5449538","-3.260321",".478748","-6.810099","1.31e-08","-.3444178",".3323495","-1.036312",".3051439","3.305067",".491347","6.726544","1.76e-08","-1.311798",".7012914","-1.870547",".0673867","-1.311798",".7012914","-1.870547",".0673867"
"_IdivXyea_5_2004","","","","",".0857079",".5653562",".1515998",".8801251","-3.433745",".555215","-6.184532","1.22e-07","-.1114682",".3802092","-.293176",".7706257","4.264867",".4759968","8.959865","6.77e-12","-1.12072",".9057356","-1.237359",".2218506","-1.12072",".9057356","-1.237359",".2218506"
"_IdivXyea_5_2005","","","","",".3749219",".7636767",".4909432",".6256583","-3.650997",".8409928","-4.341294",".0000708",".029323",".2878908",".1018546",".9192877","5.30084",".4453532","11.90255","4.56e-16","-.8525291","1.034348","-.8242192",".4138091","-.8525291","1.034348","-.8242192",".4138091"
"_IdivXyea_5_2006","","","","",".4877082",".8994215",".5422465",".5901064","-4.043596","1.006698","-4.016692",".0002024",".0484842",".2132161",".2273946",".8210631","6.125895",".5267365","11.6299","1.06e-15","0",".",".",".","0",".",".","."
"_IdivXyea_5_2007","","","","",".4997353","1.151116",".4341311",".6660989","-4.535599","1.295822","-3.500171",".0010008","0",".",".",".","6.522953",".6823344","9.559759","8.78e-13","0",".",".",".","0",".",".","."
"_IdivXyea_6_1992","","","","","-2.479188","1.096274","-2.261468",".0282032","-2.18658",".9645158","-2.267023",".0278368","-2.480863","1.135375","-2.18506",".0336958","-.6283336",".6935709","-.9059399",".369401","0",".",".",".","0",".",".","."
"_IdivXyea_6_1993","","","","","-1.40475",".8591645","-1.635019",".1084539","-1.170818",".7294039","-1.605171",".1148826","-1.458541",".9125472","-1.598319",".1164014","-.0298337",".5378825","-.0554651",".9559935","0",".",".",".","0",".",".","."
"_IdivXyea_6_1994","","","","","-.0866148",".7389607","-.1172117",".9071715",".0886936",".6613724",".1341054",".8938685","-.1741534",".7980388","-.2182267",".8281588",".2535735",".5427201",".467227",".6424086",".1735684",".6364871",".2726975",".7862317",".1735684",".6364871",".2726975",".7862317"
"_IdivXyea_6_1995","","","","",".5998893",".600762",".9985473",".3229198",".716756",".5715416","1.254075",".2157646",".54457",".6387617",".8525402",".3980624",".2481255",".4759086",".5213721",".6044562",".2317987",".4602446",".5036424",".6167696",".2317987",".4602446",".5036424",".6167696"
"_IdivXyea_6_1996","","","","",".2146797",".5097648",".4211349",".6754982",".2731063",".5029127",".5430491",".5895579",".2536839",".5158886",".4917416",".6250978",".0655735",".3049471",".2150322",".8306347",".0700038",".2931467",".2388013",".8122556",".0700038",".2931467",".2388013",".8122556"
"_IdivXyea_6_1998","","","","","-.2789569",".2529874","-1.102652",".2755649","-.3372623",".226816","-1.486942",".143437","-.4366942",".2398653","-1.820581",".0747803","-.4154305",".2804682","-1.481203",".1449547","-.4959674",".2613979","-1.897366",".0636806","-.4959674",".2613979","-1.897366",".0636806"
"_IdivXyea_6_1999","","","","","-.2354572",".2725427","-.8639277",".3918371","-.3519897",".2549172","-1.3808",".1736063","-.271482",".2910021","-.9329212",".355435",".0140219",".3741106",".0374808",".970254","-.006297",".3295455","-.0191083",".9848323","-.006297",".3295455","-.0191083",".9848323"
"_IdivXyea_6_2000","","","","","-.0718958",".5296797","-.1357344",".8925873","-.2466064",".6110157","-.4036007",".6882623",".1755868",".464859",".3777206",".7072694",".0996624",".8033787",".1240541",".9017799",".1148415",".6648269",".172739",".8635682",".1148415",".6648269",".172739",".8635682"
"_IdivXyea_6_2001","","","","","-.6586502",".3691152","-1.784403",".0805503","-.8915747",".3983837","-2.23798",".0298004","-.5222272",".3582566","-1.45769",".1513056","-.0539756",".7450099","-.0724495",".9425391",".0084639",".6267558",".0135042",".9892803",".0084639",".6267558",".0135042",".9892803"
"_IdivXyea_6_2002","","","","","-1.129348",".529627","-2.132346",".0380155","-1.420601",".5688674","-2.497245",".0159249","-.9885063",".5435649","-1.818562",".0750929","-.0789023",".7700838","-.1024594",".9188102",".1605514",".6767007",".2372561",".8134473",".1605514",".6767007",".2372561",".8134473"
"_IdivXyea_6_2003","","","","","-1.009818",".3780924","-2.670824",".0102398","-1.359668",".4738195","-2.86959",".0060503","-.739767",".3721641","-1.987744",".0524431","-.5903051",".8190522","-.7207173",".474508","-.2325008",".7435575","-.312687",".7558454","-.2325008",".7435575","-.312687",".7558454"
"_IdivXyea_6_2004","","","","","-.9228925",".4271782","-2.160439",".0356564","-1.33121",".530811","-2.507879",".0155075","-.3922023",".5428047","-.7225478",".4733924","-.2209818","1.038532","-.212783",".832379",".0982217",".8405768",".1168503",".9074563",".0982217",".8405768",".1168503",".9074563"
"_IdivXyea_6_2005","","","","","-1.057988",".6410666","-1.650356",".1052664","-1.525627",".8067713","-1.891027",".0645404","-.1426971",".635699","-.2244727",".8233229",".370917","1.1219",".330615",".7423449",".7279122",".9873982",".7372023",".4645148",".7279122",".9873982",".7372023",".4645148"
"_IdivXyea_6_2006","","","","","-1.044238",".6309473","-1.655031",".1043102","-1.571345",".8651902","-1.816185",".0754624",".1134952",".2146289",".5287975",".5993332",".7908447","1.156273",".6839601",".4972224","0",".",".",".","0",".",".","."
"_IdivXyea_6_2007","","","","","-1.316875",".7772562","-1.694261",".0965635","-1.903535","1.131946","-1.681648",".0990009","0",".",".",".",".4464249","1.306806",".3416154",".7341011","0",".",".",".","0",".",".","."
"_IdivXyea_7_1992","","","","","-.8348488","1.025679","-.8139473",".4196131",".9873099",".8606525","1.147164",".2568843","-.8371211","1.062259","-.7880572",".4344592","1.580434",".4466626","3.538317",".0008925","0",".",".",".","0",".",".","."
"_IdivXyea_7_1993","","","","","-.3798912",".8731488","-.4350819",".6654134","1.076235",".7172411","1.500521",".1398961","-.417342",".915863","-.4556816",".650632","1.566826",".3932696","3.984103",".0002245","0",".",".",".","0",".",".","."
"_IdivXyea_7_1994","","","","",".4402295",".4799792",".9171846",".3635383","1.531311",".371478","4.122211",".0001444",".3798119",".5054506",".7514322",".4559866","1.581131",".3952837","3.999991",".0002135","1.692329",".5413924","3.125883",".0029784","1.692329",".5413924","3.125883",".0029784"
"_IdivXyea_7_1995","","","","",".6621357",".335957","1.970894",".0543983","1.388812",".2759922","5.032067","6.93e-06",".6237822",".3404958","1.831982",".0730356","1.195009",".3170933","3.768635",".0004415","1.366524",".4362742","3.132259",".0029252","1.366524",".4362742","3.132259",".0029252"
"_IdivXyea_7_1996","","","","",".4010298",".2670675","1.501605",".1396164",".7639717",".2536118","3.012367",".0040933",".4277638",".2736605","1.563118",".1244609",".5919681",".1973026","3.000307",".0042323",".6566144",".2083046","3.152184",".0027645",".6566144",".2083046","3.152184",".0027645"
"_IdivXyea_7_1998","","","","",".4618074",".5748186",".8033967",".4256257","-.3162535",".5958057","-.5307997",".5979553",".2094356",".6185653",".3385829",".7363706","-.4074113",".4096248","-.9945962",".3248191","-.1372112",".4142814","-.3312029",".7419035","-.1372112",".4142814","-.3312029",".7419035"
"_IdivXyea_7_1999","","","","",".1163517",".5371349",".2166154",".8294074","-1.024989",".5360581","-1.912085",".0617211","-.0515276",".5744063","-.0897059",".9288866","-.5632605",".3826414","-1.472033",".1474063","-.3154131",".355778","-.8865447",".3796546","-.3154131",".355778","-.8865447",".3796546"
"_IdivXyea_7_2000","","","","",".1928027",".6489077",".2971189",".7676317","-1.311123",".6993535","-1.874765",".066792",".2254876",".6054288",".3724428",".7111693","-1.057575",".4962022","-2.13134",".0381024","-.5772444",".5352773","-1.078403",".2861344","-.5772444",".5352773","-1.078403",".2861344"
"_IdivXyea_7_2001","","","","","-.0016628",".6276741","-.0026492",".997897","-1.867459",".6182079","-3.020762",".003999","-.0476769",".648023","-.0735728",".9416498","-1.074982",".4698025","-2.288158",".026481","-.5722995",".4986669","-1.147659",".256682","-.5722995",".4986669","-1.147659",".256682"
"_IdivXyea_7_2002","","","","","-.1662678",".6433936","-.2584232",".7971627","-2.393374",".571741","-4.186115",".0001175","-.2090083",".6857602","-.3047833",".761822","-1.073259",".5181352","-2.071389",".0436092","-.5430534",".5473021","-.9922371",".3259566","-.5430534",".5473021","-.9922371",".3259566"
"_IdivXyea_7_2003","","","","","-.0826791",".6209467","-.13315",".8946201","-2.670816",".5876685","-4.544766",".0000361","-.0316609",".6614924","-.0478629",".9620201","-1.419533",".835114","-1.699807",".0955076","-.8887365",".8089738","-1.098597",".2773126","-.8887365",".8089738","-1.098597",".2773126"
"_IdivXyea_7_2004","","","","","1.433508",".5714598","2.508502",".0154834","-1.864803",".5326917","-3.500717",".0009992",".6815134",".4894856","1.392305",".1701167","-.9747654",".9860885","-.9885171",".3277558","-.2820576",".9929542","-.2840591",".777562","-.2820576",".9929542","-.2840591",".777562"
"_IdivXyea_7_2005","","","","","1.518929",".4532839","3.350945",".0015575","-2.141161",".7270651","-2.944937",".0049292","1.046706",".3130039","3.344067",".0015892","-.8368625","1.074515","-.7788284",".4398259","-.1026149","1.146616","-.0894937",".9290544","-.1026149","1.146616","-.0894937",".9290544"
"_IdivXyea_7_2006","","","","",".8352793",".5012718","1.66632",".1020305","-3.184168",".8243018","-3.862867",".0003291",".5449624",".2114558","2.577193",".0130217","-1.524484","1.17402","-1.298516",".2001884","0",".",".",".","0",".",".","."
"_IdivXyea_7_2007","","","","",".171011",".6826298",".2505179",".8032344","-4.209104","1.084134","-3.882457",".0003095","0",".",".",".","-2.55321","1.261636","-2.023729",".0484692","0",".",".",".","0",".",".","."
"_IdivXyea_8_1992","","","","","-1.542122","1.126354","-1.369127",".1772028",".0723162",".953209",".0758661",".9398346","-1.538334","1.167308","-1.317847",".1936831",".370691",".6209225",".5970005",".5532557","0",".",".",".","0",".",".","."
"_IdivXyea_8_1993","","","","","-.5935282",".8892879","-.6674195",".5076354",".6978174",".7511165",".9290401",".3574226","-.5788776",".9458847","-.611996",".5433699","1.165255",".4073042","2.860897",".0061938","0",".",".",".","0",".",".","."
"_IdivXyea_8_1994","","","","",".9668173",".4881465","1.980588",".0532659","1.934463",".3899918","4.960265","8.86e-06",".9878479",".534348","1.848698",".0705399","1.794482",".4753562","3.775027",".0004328","1.810474",".5871242","3.083631",".0033551","1.810474",".5871242","3.083631",".0033551"
"_IdivXyea_8_1995","","","","","1.461743",".5151981","2.837244",".0066007","2.106539",".5157661","4.084293",".0001631","1.475177",".5399953","2.731833",".0087325","1.547866",".6147637","2.517823",".0151263","1.602632",".6232575","2.571381",".0132153","1.602632",".6232575","2.571381",".0132153"
"_IdivXyea_8_1996","","","","",".8052055",".487451","1.65187",".1049562","1.127443",".4883883","2.308497",".0252321",".7979441",".4996799","1.596911",".1167155",".8280141",".4899738","1.689915",".0973977",".8974119",".4931467","1.819767",".0749062",".8974119",".4931467","1.819767",".0749062"
"_IdivXyea_8_1998","","","","",".6234452",".3494993","1.783824",".0806456",".3021436",".3237215",".9333442",".3552189",".6548794",".3277008","1.998406",".0512373",".29292",".2308454","1.268901",".210471",".1470796",".2568452",".572639",".5695075",".1470796",".2568452",".572639",".5695075"
"_IdivXyea_8_1999","","","","",".5189326",".3155674","1.644443",".1064862","-.1230175",".3144279","-.3912423",".6973143",".5244313",".3272615","1.602484",".1154763",".4664294",".4310184","1.082157",".2844799",".2787617",".3116817",".8943796",".3754911",".2787617",".3116817",".8943796",".3754911"
"_IdivXyea_8_2000","","","","",".6262569",".4915065","1.274158",".2086175","-.3358524",".595223","-.5642463",".5751603",".5743515",".4369612","1.314422",".1948238",".3585263",".6682407",".5365227",".594025",".2331376",".6335031",".3680133",".7144483",".2331376",".6335031",".3680133",".7144483"
"_IdivXyea_8_2001","","","","",".6225883",".5498141","1.132362",".2629934","-.6592068",".648988","-1.015746",".3147398",".5923003",".5728843","1.033892",".3062628",".3625643",".8476314",".4277382",".6707158",".245023",".8120591",".3017305",".7641345",".245023",".8120591",".3017305",".7641345"
"_IdivXyea_8_2002","","","","",".4400414",".6286062",".7000272",".4872207","-1.161044",".686085","-1.692275",".096944",".4083586",".6743804",".6055316",".5476204",".1394697",".7719975",".1806608",".857379",".0883105",".6664795",".1325029",".8951291",".0883105",".6664795",".1325029",".8951291"
"_IdivXyea_8_2003","","","","",".3941671",".5604049",".7033613",".4851594","-1.525758",".6062709","-2.516628",".0151716",".3373705",".6021064",".5603171",".5778161",".55714",".8139297",".6845063",".4968805",".3624727",".6528737",".5551958",".5812866",".3624727",".6528737",".5551958",".5812866"
"_IdivXyea_8_2004","","","","",".8246801",".4898338","1.683592",".098622","-1.413146",".4851636","-2.912721",".0053825",".7193881",".5615418","1.281095",".2061905",".9352259",".7711802","1.21272",".2310513",".7675469",".612432","1.253277",".2160524",".7675469",".612432","1.253277",".2160524"
"_IdivXyea_8_2005","","","","",".7484748",".5121255","1.461507",".1502602","-1.807825",".6762966","-2.673125",".0101788",".5731202",".4263251","1.344327",".1850337","1.094139",".7280922","1.502748",".139322",".8749558",".6514171","1.343157",".1854093",".8749558",".6514171","1.343157",".1854093"
"_IdivXyea_8_2006","","","","",".5333363",".5341876",".9984063",".3229875","-2.341301",".8098305","-2.8911",".0057082",".3145759",".2915947","1.078812",".2859535",".839833",".7077939","1.18655",".2411263","0",".",".",".","0",".",".","."
"_IdivXyea_8_2007","","","","",".2483384",".6945139",".3575715",".7221997","-2.944762","1.078548","-2.730302",".0087676","0",".",".",".",".2805409",".8200572",".3420991",".7337393","0",".",".",".","0",".",".","."
"_IdivXyea_9_1992","","","","","-.7560486","1.062462","-.7116003",".4800865","2.680731",".9447766","2.837424",".0065975","-.7554789","1.100174","-.6866904",".4955149",".4137162",".4603147",".898768",".3731717","0",".",".",".","0",".",".","."
"_IdivXyea_9_1993","","","","","-.5166446",".8223109","-.6282838",".5327357","2.231548",".717049","3.112128",".0030964","-.5236838",".8787018","-.5959744",".5539355",".9207796",".3034533","3.034337",".0038509","0",".",".",".","0",".",".","."
"_IdivXyea_9_1994","","","","","-.2511379",".4645757","-.5405748",".5912496","1.809089",".3934588","4.597913",".0000302","-.2631808",".5160074","-.510033",".6123181",".504182",".3767701","1.338169",".1870183",".7639102",".5455538","1.400247",".1677397",".7639102",".5455538","1.400247",".1677397"
"_IdivXyea_9_1995","","","","","-.1682478",".2315909","-.7264871",".4709966","1.204567",".192994","6.241476","9.92e-08","-.1759669",".2611807","-.6737363",".5036448",".1205118",".2936725",".4103611",".6833299",".3243026",".3785258",".8567517",".3957529",".3243026",".3785258",".8567517",".3957529"
"_IdivXyea_9_1996","","","","","-.0480456",".2380085","-.2018651",".8408579",".6380961",".2214084","2.881986",".0058509","-.0427154",".2356027","-.1813025",".856878",".1253912",".1669227",".7511932",".4561291",".2828142",".2442023","1.158114",".2524311",".2828142",".2442023","1.158114",".2524311"
"_IdivXyea_9_1998","","","","",".2727176",".2315948","1.177563",".2446587","-.4132174",".206284","-2.003148",".0507088",".251048",".1924196","1.30469",".1980928","-.4381666",".1835141","-2.387645",".0208577","-.6166189",".2113789","-2.917126",".0053183","-.6166189",".2113789","-2.917126",".0053183"
"_IdivXyea_9_1999","","","","",".0972137",".1480606",".6565805",".5145226","-1.27472",".1134802","-11.23297","3.69e-15",".0927116",".15589",".5947243",".5547643","-.4552036",".2534877","-1.795762",".0786998","-.7724539",".3387577","-2.280255",".0269809","-.7724539",".3387577","-2.280255",".0269809"
"_IdivXyea_9_2000","","","","",".9268148",".5760333","1.60896",".1140498","-1.131344",".6182534","-1.829903",".0733512",".9615304",".4877696","1.97128",".0543529","-.281767",".4009717","-.7027104",".4855615","-.5899589",".4985272","-1.183404",".2423589","-.5899589",".4985272","-1.183404",".2423589"
"_IdivXyea_9_2001","","","","",".6948801",".7398532",".9392135",".3522281","-2.049676",".7250125","-2.827091",".0067828",".7143934",".7340002",".9732878",".3351907","-1.124287",".4952821","-2.269994",".0276425","-1.434542",".6283275","-2.283112",".0267992","-1.434542",".6283275","-2.283112",".0267992"
"_IdivXyea_9_2002","","","","",".1253814",".7279512",".1722387",".8639593","-3.305532",".6725934","-4.914606",".0000104",".1453497",".7377162",".1970266",".8446217","-1.617215",".5604937","-2.885341",".005798","-2.042049",".7455965","-2.738813",".0085737","-2.042049",".7455965","-2.738813",".0085737"
"_IdivXyea_9_2003","","","","","-.2358843",".5477165","-.4306687",".6685978","-4.353507",".4960068","-8.777113","1.27e-11","-.1980618",".5224742","-.3790843",".7062631","-1.878783",".6267383","-2.997716",".0042627","-2.38029",".958134","-2.484298",".0164467","-2.38029",".958134","-2.484298",".0164467"
"_IdivXyea_9_2004","","","","",".038467",".5007487",".0768189",".9390804","-4.765586",".4345947","-10.96559","8.64e-15",".112609",".4580992",".245818",".8068499","-1.556774",".6768891","-2.299895",".0257537","-2.077296","1.090609","-1.904712",".0626961","-2.077296","1.090609","-1.904712",".0626961"
"_IdivXyea_9_2005","","","","","-.0408037",".5808721","-.0702456",".9442841","-5.531479",".6593462","-8.389339","4.88e-11",".0870653",".3063578",".2841949",".7774585","-1.613652",".6884046","-2.344045",".023175","-2.235901","1.22667","-1.822741",".0744471","-2.235901","1.22667","-1.822741",".0744471"
"_IdivXyea_9_2006","","","","","-.4838709",".6150185","-.7867583",".4352121","-6.66037",".7923341","-8.406012","4.61e-11","-.3215224",".2015844","-1.594976",".117148","-2.288246",".8637744","-2.649125",".010831","0",".",".",".","0",".",".","."
"_IdivXyea_9_2007","","","","","-.1842959",".7738316","-.2381602",".81275","-7.04721","1.053598","-6.688707","2.01e-08","0",".",".",".","-2.65302","1.065689","-2.489489",".0162357","0",".",".",".","0",".",".","."
"_IstaXt_2","","","","","","","","",".5355528",".0196244","27.29019","2.73e-31","","","","",".351493",".1147553","3.062978",".003555",".5360514",".188899","2.837766",".0065914",".5360514",".188899","2.837766",".0065914"
"_IstaXt_4","","","","","","","","",".3102993",".0197338","15.72429","8.84e-21","","","","",".0719817",".1068475",".6736867",".5036761",".2020712",".0865699","2.334198",".0237292",".2020712",".0865699","2.334198",".0237292"
"_IstaXt_5","","","","","","","","",".3189484",".0406677","7.842784","3.33e-10","","","","",".3065163",".1142317","2.683287",".0099137",".1546427",".1141462","1.354777",".1817023",".1546427",".1141462","1.354777",".1817023"
"_IstaXt_6","","","","","","","","",".6864174",".0197251","34.79924","3.26e-36","","","","",".2679088",".1075255","2.491584",".0161512",".4157842",".1972974","2.107399",".0402239",".4157842",".1972974","2.107399",".0402239"
"_IstaXt_8","","","","","","","","",".328189",".0199304","16.46675","1.31e-21","","","","",".1187413",".1124819","1.055648",".2963062",".1435514",".0900424","1.594264",".1173077",".1435514",".0900424","1.594264",".1173077"
"_IstaXt_9","","","","","","","","","-.1272317",".0212087","-5.999026","2.35e-07","","","","",".0110932",".1066899",".1039762",".9176127",".0549081",".0883822",".6212577",".5373096",".0549081",".0883822",".6212577",".5373096"
"_IstaXt_10","","","","","","","","",".2879025",".0239294","12.03134","3.07e-16","","","","","-.5786288",".0906179","-6.385372","5.94e-08",".2892301",".0506094","5.714948","6.41e-07",".2892301",".0506094","5.714948","6.41e-07"
"_IstaXt_12","","","","","","","","",".5946982",".0245982","24.17651","6.89e-29","","","","","-.4517318",".0896286","-5.040039","6.74e-06",".3314569",".117743","2.815087",".0070041",".3314569",".117743","2.815087",".0070041"
"_IstaXt_13","","","","","","","","",".5536916",".0247428","22.37788","2.24e-27","","","","","-.5550925",".1080339","-5.138134","4.81e-06",".2365716",".1184786","1.996745",".0514236",".2365716",".1184786","1.996745",".0514236"
"_IstaXt_15","","","","","","","","",".4766887",".0196319","24.28138","5.66e-29","","","","",".3623929",".1300069","2.787489",".0075385",".5799892",".1931317","3.003076",".0042",".5799892",".1931317","3.003076",".0042"
