"","est1","","","","est2","","","","owncorsup","","","","est4","","","","est5","","","","est6","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"stdum6",".0907057",".0257752","3.519109",".0004897",".0424139",".0292063","1.452215",".1473455","-.0172245",".0237075","-.7265425",".4679891",".0471086",".0434992","1.082977",".279697",".0391095",".0417513",".9367252",".3496484",".0064478",".0237112",".2719285",".785835"
"stdum7",".1131423",".0187139","6.045889","3.78e-09",".0658944",".0215341","3.059998",".0023858",".0104496",".0187372",".5576938",".577408",".0254557",".0386636",".6583889",".5107983",".0211815",".0365614",".5793404",".5627914",".0296989",".0190035","1.562812",".1189878"
"stdum8",".1012319",".0225134","4.496509","9.38e-06",".0488184",".026354","1.852408",".0648162","-.0080953",".0210033","-.3854286",".7001527",".0075384",".0434112",".1736505",".8622585",".0016456",".0418943",".0392787",".9686942",".0142147",".0217602",".6532426",".5140227"
"stdum9",".0516014",".0199286","2.589317",".0100146",".0292901",".0188329","1.555257",".1207963","-.0294509",".0258393","-1.139775",".2551551","-.0766792",".0453384","-1.691265",".0918351","-.0814524",".0440697","-1.848264",".0655417",".0021681",".0217598",".0996395",".9206868"
"stdum10",".0394033",".0193901","2.032132",".0428886",".0170211",".0191349",".8895317",".3743337","-.0425741",".0244872","-1.738626",".0829749","-.0789799",".0438423","-1.801456",".0726451","-.0848563",".0417037","-2.034742",".0427501","-.0068704",".0210817","-.3258926",".7446977"
"stdum11",".0014333",".0180368",".0794672",".936706","-.0017861",".0162768","-.1097335",".9126841","-.0635625",".0291196","-2.18281",".0297101","-.0976364",".0467857","-2.086884",".0377511","-.1006749",".0449209","-2.241163",".025742","-.0249413",".0206517","-1.207708",".2279637"
"stdum12",".1049093",".0224028","4.682859","4.04e-06",".0531029",".0253793","2.092375",".0371311","-.0010534",".0216029","-.0487628",".961136","-.0293645",".0415371","-.7069461",".4801543","-.0298696",".0403295","-.7406383",".4594882",".0163269",".0222144",".734968",".4628442"
"stdum13",".0772029",".0218609","3.531551",".0004679",".0483458",".0211292","2.288103",".0227324","-.0083964",".0238265","-.3523983",".7247504","-.0473471",".0445603","-1.062539",".2888541","-.0489767",".0429529","-1.140243",".2550887",".0234173",".022277","1.051186",".2938882"
"stdum14",".0189837",".0205467",".9239288",".3561545","-.0063153",".0209511","-.3014297",".7632674","-.0681889",".0246456","-2.766774",".0059603","-.0421999",".044247","-.9537347",".3409935","-.0495221",".0428886","-1.154669",".249139","-.0329764",".0224577","-1.468375",".1428879"
"stdum15",".0209622",".0242924",".8629098",".3887729","-.0203445",".0251649","-.8084495",".4193858","-.0810059",".0224739","-3.604448",".0003579","-.0894751",".051287","-1.744596",".0820897","-.0994923",".051567","-1.929378",".0546206","-.0559472",".0219489","-2.548981",".0112239"
"stdum16",".0000585",".0211859",".0027602",".9977992","-.0256125",".0210386","-1.217406",".2242771","-.0876843",".0240559","-3.64502",".0003077","-.1242806",".043805","-2.837134",".0048653","-.129283",".0419572","-3.081309",".0022508","-.0573905",".0212756","-2.697481",".00732"
"stdum17",".0204078",".0262168",".7784236",".4368408","-.0086944",".029111","-.2986647",".7653747","-.0682382",".0298918","-2.282838",".0230356","-.011849",".0622022","-.1904916",".849054","-.0200257",".059379","-.3372515",".7361616","-.0379458",".0300134","-1.264296",".2069534"
"stdum18",".0475666",".0235811","2.017145",".0444369","-.0041211",".0269874","-.152703",".8787213","-.0635774",".0211337","-3.008337",".0028159","-.0346539",".0482172","-.718703",".472889","-.040852",".045801","-.8919459",".373132","-.0450657",".0216086","-2.085545",".0377336"
