"","est1","","",""
"","b","se","t","p"
"149231.unitid#c.year",".0017814",".0011038","1.613921",".1069768"
"149772.unitid#c.year","-.0033001",".001178","-2.801498",".0052213"
"149781.unitid#c.year","-.001676",".0013682","-1.224995",".2209722"
"150066.unitid#c.year",".0029606",".001343","2.204478",".027802"
"150136.unitid#c.year","-.0019547",".0011573","-1.688941",".0916579"
"150145.unitid#c.year",".0035232",".0013296","2.649852",".008227"
"150163.unitid#c.year","-.0007593",".0013735","-.5528028",".5805677"
"150400.unitid#c.year","-.0045526",".0014746","-3.087383",".0020957"
"150534.unitid#c.year",".0023065",".0013993","1.648368",".0997075"
"150668.unitid#c.year",".002717",".0014269","1.904152",".0572833"
"150941.unitid#c.year","-.0033418",".0013129","-2.545327",".0111221"
"151102.unitid#c.year","-.0066367",".0012619","-5.259448","1.90e-07"
"151111.unitid#c.year","-.0021046",".0009172","-2.294485",".0220456"
"151306.unitid#c.year","-.0034242",".0012235","-2.798685",".0052665"
"151324.unitid#c.year","-.0054115",".0013097","-4.131721",".0000402"
"151333.unitid#c.year","-.0043452",".0013365","-3.251192",".001202"
"151342.unitid#c.year","-.0089218",".0012739","-7.003668","5.67e-12"
"151351.unitid#c.year",".0009063",".0006227","1.455306",".1460144"
"151360.unitid#c.year","-.0070808",".0013292","-5.327154","1.33e-07"
"151379.unitid#c.year","-.0067576",".0013186","-5.124962","3.81e-07"
"151388.unitid#c.year","-.0032357",".001312","-2.466237",".0138828"
"151777.unitid#c.year","-.0052461",".0013627","-3.849722",".0001286"
"151786.unitid#c.year","-.0031129",".0013281","-2.343883",".0193514"
"152080.unitid#c.year","-.00529",".0015165","-3.488394",".0005151"
"152248.unitid#c.year","-.0058092",".001285","-4.520642","7.19e-06"
"152363.unitid#c.year","-.0052684",".001384","-3.806656",".0001527"
"152530.unitid#c.year","-.0036181",".0013852","-2.61189",".0091894"
"152600.unitid#c.year","-.0046735",".0013537","-3.452483",".0005875"
"153001.unitid#c.year","-.0084237",".0013746","-6.128297","1.45e-09"
"153108.unitid#c.year","-.0005185",".0014123","-.3671391",".7136217"
"153269.unitid#c.year","-.0057496",".0013528","-4.250105",".0000241"
"153384.unitid#c.year","-.0024511",".0015194","-1.613235",".1071256"
"153603.unitid#c.year",".0018",".0008774","2.051522",".0405725"
"153834.unitid#c.year","-.0048675",".0015215","-3.199077",".0014383"
"154095.unitid#c.year","-.0017655",".001246","-1.416933",".1569292"
"155089.unitid#c.year","-.0107966",".001263","-8.548073","7.29e-17"
"155317.unitid#c.year","-.0006331",".0006164","-1.027203",".3046653"
"155335.unitid#c.year","-.0015531",".001304","-1.191029",".2340294"
"155399.unitid#c.year","-.0035909",".0009685","-3.707667",".000225"
"155520.unitid#c.year",".0018009",".0013157","1.368817",".1714774"
"155627.unitid#c.year","-.0058932",".0013806","-4.268531",".0000223"
"155937.unitid#c.year","-.0091922",".0013006","-7.067939","3.68e-12"
"156213.unitid#c.year",".0030394",".0013848","2.19482",".0284907"
"156286.unitid#c.year","-.0016998",".0015776","-1.077436",".2816414"
"156295.unitid#c.year",".0000681",".0014415",".0472261",".962346"
