"","est1","","","","t2_exceedquota_1","","","","t2_exceedquota_2","","","","t2_exceedquota_3","","","","t2_exceedquota_4","","","","t2_qrate_1","","","","t2_qrate_2","","","","t2_qrate_3","","","","t2_qrate_4","","","","t3_1","","","","t3_2","","","","t3_3","","","","t3_4","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"_Iyi_16","","","","","","","","","","","","","","","","","-.0092996",".1769778","-.0525466",".9588356","","","","","","","","","","","","","-.1597152",".1426287","-1.119797",".2816443","-.3581257",".0528623","-6.774688","1.64e-07","1.260999",".1240169","10.16796","3.10e-11","1.380414",".1252691","11.01959","4.55e-12","1.37935",".1258534","10.95997","5.19e-12"
"_Iyi_17","","","","","","","","","","","","","","","","","-.0041485",".0250748","-.1654469",".8709576","","","","","","","","","","","","","-.1146103",".1060174","-1.081052",".297945",".4900083",".0580262","8.444607","2.01e-09","-.0637778",".0512746","-1.243848",".2231873","-.0840317",".0671867","-1.250719",".2207043","-.084942",".0644672","-1.3176",".1976119"
"_Iyi_18","","","","","","","","","","","","","","","","","0",".",".",".","","","","","","","","","","","","","0",".",".",".",".7296896",".1221691","5.972784","1.50e-06","-.2604123",".042055","-6.192179","8.16e-07","-.2172514",".0328423","-6.614981","2.53e-07","-.2168697",".0336347","-6.447801","4.02e-07"
"_Iyi_19","","","","","","","","","","","","","","","","",".0397924",".186167",".2137457",".833827","","","","","","","","","","","","","-.0473345",".1382756","-.3423198",".7371951","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"_Iyi_20","","","","","","","","","","","","","","","","",".1409164",".1582985",".8901942",".3884034","","","","","","","","","","","","",".0416857",".1585738",".2628786",".7964732",".1793914",".0375684","4.775066",".0000439","-.1026478",".035442","-2.896217",".0069852","-.1442381",".0350879","-4.110764",".0002814","-.1430311",".035402","-4.040199",".0003419"
"_Iyi_21","","","","","","","","","","","","","","","","",".1424504",".1623174",".8776038",".3949701","","","","","","","","","","","","","-.0752276",".169324","-.4442819",".6636292","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"_Iyi_22","","","","","","","","","","","","","","","","",".0993269",".1893501",".5245675",".6080905","","","","","","","","","","","","","-.1619843",".1930667","-.8390068",".4155623",".4346187",".0481331","9.029523","4.66e-10","-.2339216",".0345765","-6.765339","1.68e-07","-.1825701",".0372744","-4.897998",".0000311","-.1809175",".0385938","-4.687732",".0000562"
"_Iyi_23","","","","","","","","","","","","","","","","","0",".",".",".","","","","","","","","","","","","","0",".",".",".","-.3753188",".0649788","-5.776016","2.61e-06","-.4772377",".0622415","-7.667519","1.49e-08","-.3489052",".0645077","-5.408735","7.35e-06","-.3474967",".0646394","-5.37593","8.06e-06"
"_Iyi_24","","","","","","","","","","","","","","","","","-.4556706",".1827396","-2.493552",".0257858","","","","","","","","","","","","","-.5170426",".1439592","-3.59159",".0029473","-.357804",".0521572","-6.860106","1.30e-07","1.353384",".0877454","15.42398","8.34e-16","1.419572",".0935148","15.18018","1.28e-15","1.419747",".0925668","15.33753","9.69e-16"
"_Iyi_25","","","","","","","","","","","","","","","","","-.251705",".2096776","-1.200438",".2498882","","","","","","","","","","","","","-.1928407",".1286143","-1.499373",".1559862",".4393987",".0496572","8.848638","7.29e-10","-.1397512",".0477314","-2.927868",".0064567","-.1273806",".0462071","-2.75673",".0098378","-.1263528",".0452727","-2.790927",".0090516"
"_Iyi_26","","","","","","","","","","","","","","","","","-.2024749",".1657935","-1.221247",".2421604","","","","","","","","","","","","",".0237041",".1486939",".1594157",".8756184",".4790918",".086899","5.513204","5.47e-06","-.8505925",".0725559","-11.72327","9.97e-13","-.4570851",".0676678","-6.754837","1.73e-07","-.4562872",".0679247","-6.717545","1.91e-07"
"_Iyi_27","","","","","","","","","","","","","","","","","-.2968529",".2345463","-1.265647",".2262975","","","","","","","","","","","","","-.3271303",".1810503","-1.806848",".09232",".3824721",".0539885","7.084322","7.06e-08",".2273484",".0836336","2.718386",".0107952",".3456409",".0628417","5.500183","5.68e-06",".346113",".0604217","5.728286","2.99e-06"
"_Iyi_28","","","","","","","","","","","","","","","","","-.073091",".1937225","-.3772974",".7116104","","","","","","","","","","","","","-.0856174",".1950016","-.4390601",".6673185",".1025864",".0504161","2.034794",".0507922","-.254571",".070419","-3.615092",".0010864","-.2125755",".0784897","-2.708322",".0110605","-.2101854",".0813081","-2.585047",".0148428"
