"","pu3","","","","est2","","","","pr3","","","","est4","","","","to3","","","","est6","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"_IleaXyea_4816230","","","","",".0278526","2.82e-07","98595.45","0","","","","",".0058417",".",".",".","","","","",".0200064",".",".","."
"_IleaXyea_4818000","","","","",".0071179",".0004552","15.63633","1.61e-27","","","","",".0195292",".0018639","10.47756","2.58e-17","","","","",".0012145",".0003718","3.266397",".0015367"
"_IleaXyea_4818300","","","","",".0311014",".0004552","68.3222","5.43e-80","","","","","-.0395659",".0018639","-21.22746","5.18e-37","","","","",".0253155",".0003718","68.08696","7.39e-80"
"_IleaXyea_4819700","","","","",".020693","2.82e-07","73251.11","0","","","","",".0288857",".",".",".","","","","",".0140822",".",".","."
"_IleaXyea_4823640","","","","",".0141138","2.82e-07","49961.31","0","","","","","-.0065928",".",".",".","","","","",".0096986",".",".","."
"_IleaXyea_4828500","","","","",".011888",".0004552","26.115","4.70e-44","","","","",".0340488",".0018639","18.26748","3.40e-32","","","","",".008028",".0003718","21.59151","1.42e-37"
"_IleaXyea_4838730","","","","","-.0029565","2.82e-07","-10465.71","1.8e-278","","","","","-.0572075",".",".",".","","","","","-.0082561",".",".","."
"_IleaXyea_4844280","","","","",".0208401","2.82e-07","73771.7","0","","","","","-.0122172",".",".",".","","","","",".0128839",".",".","."
"_IleaXyea_5102670","","","","",".0045939","2.82e-07","16262.1","6.9e-296","","","","","-.0199692",".",".",".","","","","",".0023283",".",".","."
"_IleaXyea_5103300","","","","",".0022824","2.82e-07","8079.599","3.1e-268","","","","","-.0221576",".",".",".","","","","",".0023836",".",".","."
"_IleaXyea_5307710","","","","","-.0244804",".0003813","-64.19864","1.40e-77","","","","","-.0161028",".0009427","-17.08105","3.91e-30","","","","","-.0147955",".0002393","-61.82544","3.99e-76"
"_IleaXyea_5308700","","","","",".0129523","2.59e-07","50017.85","0","","","","","-.0003668",".",".",".","","","","",".0043454",".",".","."
"_IleaXyea_5509600","","","","","0",".",".",".","","","","","0",".",".",".","","","","","0",".",".","."
"_IleaXyea_9999999","","","","",".0157571",".0004552","34.61454","3.58e-54","","","","","-.0296395",".0018639","-15.90186","5.21e-28","","","","",".0076021",".0003718","20.44608","8.75e-36"
"_cons","8.996588",".0238702","376.8968","4.1e-147","12.43892",".1761722","70.60661","2.88e-81","6.052482",".0654821","92.42961","9.16e-92","8.096532",".479245","16.89435","8.38e-30","10.55533",".0199086","530.1901","1.3e-160","12.36879",".1171023","105.6237","5.45e-97"
"N","368","","","","368","","","","367","","","","367","","","","368","","","","368","","",""
"r2",".6758178","","","",".9405456","","","",".1978198","","","",".7550386","","","",".7007784","","","",".9631474","","",""
"df_m","6","","","","8","","","","6","","","","5","","","","6","","","","5","","",""
"df_r","91","","","","91","","","","91","","","","91","","","","91","","","","91","","",""
"df_b","7","","","","10","","","","7","","","","6","","","","7","","","","6","","",""
"df","","","","","","","","","","","","","","","","","","","","","","","",""
