------------------------------------------------------------------------------------------------------------------------------
      name:  <unnamed>
       log:  E:\Dropbox\Dropbox\Academic Calendar\AEJ Policy\Files for Publication\Replication\\Output\figure_A2a_DnD.txt
  log type:  text
 opened on:  20 Oct 2020, 16:09:19

. areg gradrate4yr  block1 block2     i.year c.year#i.unitid $timevar   [aw=meansize] , cluster(unitid) abs(unitid)
(sum of wgt is   1.5022e+07)
note: 243780.unitid#c.year omitted because of collinearity

Linear regression, absorbing indicators         Number of obs     =     13,836
                                                F(  25,    730)   =          .
                                                Prob > F          =          .
                                                R-squared         =     0.9814
                                                Adj R-squared     =     0.9792
                                                Root MSE          =     0.0304

                                 (Std. Err. adjusted for 731 clusters in unitid)
--------------------------------------------------------------------------------
               |               Robust
   gradrate4yr |      Coef.   Std. Err.      t    P>|t|     [95% Conf. Interval]
---------------+----------------------------------------------------------------
       136172  |  -.0054397   .0012066    -4.51   0.000    -.0078084   -.0030709
       136950  |   .0005749   .0016106     0.36   0.721     -.002587    .0037369
       137546  |  -.0026835   .0015225    -1.76   0.078    -.0056725    .0003055
       138354  |  -.0033745   .0013443    -2.51   0.012    -.0060136   -.0007354
       138716  |  -.0053896   .0015847    -3.40   0.001    -.0085008   -.0022784
       138789  |  -.0037652   .0014987    -2.51   0.012    -.0067075   -.0008229
       139144  |  -.0025717   .0014785    -1.74   0.082    -.0054742    .0003309
       139366  |  -.0033937   .0014929    -2.27   0.023    -.0063247   -.0004628
       139393  |  -.0016679   .0014625    -1.14   0.254    -.0045391    .0012033
       139658  |  -.0076359   .0025737    -2.97   0.003    -.0126888   -.0025831
       139719  |  -.0058001    .001539    -3.77   0.000    -.0088215   -.0027788
       139755  |   .0011379   .0009586     1.19   0.236    -.0007441    .0030199
       139764  |  -.0087088   .0015639    -5.57   0.000    -.0117792   -.0056385
       139861  |   .0083738   .0014466     5.79   0.000     .0055337    .0112138
       139931  |  -.0001404   .0013598    -0.10   0.918      -.00281    .0025293
       139940  |   .0015081   .0011518     1.31   0.191     -.000753    .0037693
       139959  |   .0041594   .0010403     4.00   0.000     .0021171    .0062017
       140447  |   .0055022   .0015523     3.54   0.000     .0024548    .0085496
       140960  |  -.0055994   .0015451    -3.62   0.000    -.0086328    -.002566
       140988  |  -.0086731   .0013047    -6.65   0.000    -.0112345   -.0061117
       141185  |   .0016594   .0014427     1.15   0.250    -.0011729    .0044916
       141264  |  -.0067585   .0014561    -4.64   0.000    -.0096171   -.0038999
       141334  |  -.0030073   .0014615    -2.06   0.040    -.0058765   -.0001381
       141486  |  -.0035784   .0013942    -2.57   0.010    -.0063155   -.0008414
       141565  |  -.0069338   .0013343    -5.20   0.000    -.0095534   -.0043143
       141574  |  -.0028706   .0014478    -1.98   0.048     -.005713   -.0000281
       142276  |  -.0048982   .0012842    -3.81   0.000    -.0074193    -.002377
       142285  |  -.0014406   .0013712    -1.05   0.294    -.0041326    .0012514
       142461  |   .0001725   .0015824     0.11   0.913    -.0029342    .0032792
       143084  |  -.0016273   .0015274    -1.07   0.287    -.0046259    .0013714
       143288  |  -.0056849   .0014856    -3.83   0.000    -.0086014   -.0027683
       144005  |  -.0083482   .0013598    -6.14   0.000    -.0110178   -.0056786
       144281  |    .003847   .0012114     3.18   0.002     .0014688    .0062252
       144740  |   .0035866   .0011306     3.17   0.002      .001367    .0058063
       144892  |  -.0079197   .0012508    -6.33   0.000    -.0103753   -.0054642
       144962  |   .0031931   .0015867     2.01   0.045      .000078    .0063082
       144971  |   -.014042   .0014463    -9.71   0.000    -.0168813   -.0112026
       145600  |   .0027132   .0010836     2.50   0.013     .0005858    .0048406
       145619  |  -.0080203   .0015642    -5.13   0.000    -.0110912   -.0049493
       145637  |   .0022056   .0008963     2.46   0.014      .000446    .0039652
       145691  |   .0056974   .0013895     4.10   0.000     .0029694    .0084253
       145813  |   .0039122   .0011079     3.53   0.000     .0017372    .0060872
       146481  |  -.0033062   .0015795    -2.09   0.037    -.0064071   -.0002053
       146612  |  -.0017506    .001421    -1.23   0.218    -.0045404    .0010392
       146719  |   .0044502   .0018158     2.45   0.014     .0008855    .0080149
       146825  |  -.0190321   .0014191   -13.41   0.000    -.0218181   -.0162462
       147013  |  -.0047852   .0013746    -3.48   0.001    -.0074839   -.0020865
       147244  |  -.0106024   .0014581    -7.27   0.000     -.013465   -.0077398
       147341  |  -.0066084   .0013946    -4.74   0.000    -.0093462   -.0038705
       147703  |  -.0062108   .0011035    -5.63   0.000    -.0083771   -.0040444
       147767  |  -.0058747   .0014506    -4.05   0.000    -.0087226   -.0030268
       147776  |  -.0063695   .0012816    -4.97   0.000    -.0088857   -.0038534
       147828  |  -.0005829   .0014255    -0.41   0.683    -.0033816    .0022157
       148131  |  -.0047181   .0014298    -3.30   0.001    -.0075252   -.0019111
       148496  |   -.002476   .0013917    -1.78   0.076    -.0052082    .0002562
       148584  |  -.0067967   .0014963    -4.54   0.000    -.0097342   -.0038592
       148627  |  -.0058622    .001391    -4.21   0.000     -.008593   -.0031314
       149222  |  -.0021675   .0010294    -2.11   0.036    -.0041883   -.0001466
       149231  |   .0017278   .0011651     1.48   0.139    -.0005595    .0040151
       149772  |  -.0033439   .0012377    -2.70   0.007    -.0057737   -.0009141
       149781  |  -.0016698    .001452    -1.15   0.251    -.0045204    .0011809
       150066  |   .0029722    .001427     2.08   0.038     .0001706    .0057737
       150136  |  -.0019959     .00121    -1.65   0.099    -.0043715    .0003797
       150145  |   .0035439   .0014146     2.51   0.012     .0007667     .006321
       150163  |  -.0007222   .0014543    -0.50   0.620    -.0035772    .0021329
       150400  |  -.0044949   .0015543    -2.89   0.004    -.0075462   -.0014435
       150534  |   .0023401   .0014815     1.58   0.115    -.0005684    .0052487
       150668  |   .0027677   .0015114     1.83   0.067    -.0001995    .0057348
       150941  |  -.0033443    .001397    -2.39   0.017     -.006087   -.0006016
       151102  |  -.0066918   .0013308    -5.03   0.000    -.0093045   -.0040792
       151111  |  -.0021198   .0009367    -2.26   0.024    -.0039588   -.0002807
       151306  |  -.0034682   .0012953    -2.68   0.008    -.0060112   -.0009252
       151324  |  -.0054612   .0013749    -3.97   0.000    -.0081604    -.002762
       151333  |  -.0044085   .0014137    -3.12   0.002    -.0071839   -.0016331
       151342  |  -.0089776     .00135    -6.65   0.000    -.0116279   -.0063273
       151351  |    .000862   .0006369     1.35   0.176    -.0003885    .0021124
       151360  |   -.007142   .0014066    -5.08   0.000    -.0099035   -.0043805
       151379  |  -.0068009   .0013956    -4.87   0.000    -.0095407   -.0040612
       151388  |  -.0033072   .0013887    -2.38   0.017    -.0060335   -.0005809
       151777  |  -.0052287    .001446    -3.62   0.000    -.0080676   -.0023898
       151786  |  -.0031565   .0014091    -2.24   0.025    -.0059229   -.0003902
       152080  |  -.0051818   .0015514    -3.34   0.001    -.0082275   -.0021362
       152248  |   -.005868   .0013577    -4.32   0.000    -.0085334   -.0032025
       152363  |  -.0052371   .0014693    -3.56   0.000    -.0081217   -.0023525
       152530  |  -.0035851   .0014685    -2.44   0.015     -.006468   -.0007021
       152600  |  -.0046493   .0014334    -3.24   0.001    -.0074633   -.0018353
       153001  |  -.0083834   .0014583    -5.75   0.000    -.0112464   -.0055204
       153108  |  -.0005208   .0014693    -0.35   0.723    -.0034053    .0023638
       153269  |  -.0057509   .0014345    -4.01   0.000    -.0085671   -.0029347
       153384  |  -.0024073   .0016038    -1.50   0.134     -.005556    .0007413
       153603  |   .0017673   .0008996     1.96   0.050     1.13e-06    .0035335
       153834  |  -.0048205   .0016029    -3.01   0.003    -.0079674   -.0016736
       154095  |  -.0018122   .0012998    -1.39   0.164    -.0043639    .0007396
       155089  |  -.0108268   .0013493    -8.02   0.000    -.0134758   -.0081778
       155317  |  -.0006624   .0006134    -1.08   0.281    -.0018667     .000542
       155335  |  -.0015932   .0013948    -1.14   0.254    -.0043315    .0011451
       155399  |  -.0036081   .0009939    -3.63   0.000    -.0055594   -.0016568
       155520  |   .0018079    .001399     1.29   0.197    -.0009386    .0045545
       155627  |   -.005844   .0014592    -4.00   0.000    -.0087088   -.0029792
       155937  |  -.0092082   .0013862    -6.64   0.000    -.0119296   -.0064867
       156213  |   .0030648   .0014675     2.09   0.037     .0001837    .0059459
       156286  |  -.0016179   .0016601    -0.97   0.330    -.0048771    .0016412
       156295  |   .0000137   .0015122     0.01   0.993     -.002955    .0029825
       156365  |  -.0023784   .0014248    -1.67   0.095    -.0051755    .0004187
       156541  |  -.0040036   .0013617    -2.94   0.003    -.0066768   -.0013303
       156745  |   .0024033   .0015753     1.53   0.128    -.0006893    .0054958
       157058  |  -.0091888   .0014138    -6.50   0.000    -.0119643   -.0064132
       157076  |  -.0041707   .0013965    -2.99   0.003    -.0069124    -.001429
       157085  |  -.0017696   .0011427    -1.55   0.122    -.0040129    .0004737
       157289  |   .0036745   .0008173     4.50   0.000     .0020701     .005279
       157386  |  -.0034904   .0013302    -2.62   0.009    -.0061019   -.0008788
       157401  |  -.0032486   .0013507    -2.41   0.016    -.0059002    -.000597
       157447  |  -.0019587   .0011973    -1.64   0.102    -.0043091    .0003918
       157535  |    -.00072   .0012943    -0.56   0.578     -.003261     .001821
       157951  |  -.0048267   .0011398    -4.23   0.000    -.0070645    -.002589
       158477  |  -.0025977   .0014487    -1.79   0.073    -.0054419    .0002465
       159009  |  -.0052696   .0014827    -3.55   0.000    -.0081805   -.0023586
       159391  |   .0017073   .0010393     1.64   0.101     -.000333    .0037475
       159647  |  -.0021198   .0013282    -1.60   0.111    -.0047273    .0004877
       159717  |  -.0019652   .0014576    -1.35   0.178    -.0048269    .0008964
       159966  |  -.0014259   .0014485    -0.98   0.325    -.0042695    .0014178
       160038  |  -.0025034    .001423    -1.76   0.079     -.005297    .0002903
       160612  |  -.0020132   .0013179    -1.53   0.127    -.0046005    .0005742
       160621  |  -.0064286   .0013876    -4.63   0.000    -.0091528   -.0037043
       160658  |  -.0027651    .001319    -2.10   0.036    -.0053545   -.0001757
       161004  |  -.0032331   .0016519    -1.96   0.051    -.0064762    9.90e-06
       161226  |  -.0022648   .0013614    -1.66   0.097    -.0049376    .0004079
       161235  |  -.0027105   .0014464    -1.87   0.061      -.00555    .0001291
       161244  |  -.0023963   .0014469    -1.66   0.098     -.005237    .0004443
       161253  |  -.0014192   .0012013    -1.18   0.238    -.0037777    .0009393
       161554  |  -.0055853   .0012723    -4.39   0.000    -.0080831   -.0030875
       162007  |  -.0090803   .0013998    -6.49   0.000    -.0118284   -.0063322
       162210  |  -.0095704   .0014334    -6.68   0.000    -.0123845   -.0067563
       162283  |  -.0118593   .0014995    -7.91   0.000    -.0148032   -.0089155
       162584  |  -.0094769   .0013968    -6.78   0.000    -.0122191   -.0067346
       162654  |  -.0079742   .0015574    -5.12   0.000    -.0110318   -.0049167
       162760  |  -.0058463   .0013582    -4.30   0.000    -.0085128   -.0031798
       162928  |  -.0050085   .0032527    -1.54   0.124    -.0113942    .0013772
       163046  |  -.0017996   .0017884    -1.01   0.315    -.0053106    .0017114
       163268  |   .0006987   .0012293     0.57   0.570    -.0017147    .0031121
       163286  |   .0124047   .0005666    21.89   0.000     .0112923     .013517
       163453  |  -.0127704   .0012388   -10.31   0.000    -.0152025   -.0103383
       163462  |   -.006469   .0015252    -4.24   0.000    -.0094634   -.0034746
       163851  |  -.0068804    .001362    -5.05   0.000    -.0095543   -.0042066
       163912  |  -.0030341   .0013457    -2.25   0.024    -.0056761   -.0003921
       164076  |   .0010303   .0011633     0.89   0.376    -.0012535    .0033141
       164173  |   .0065128   .0013198     4.93   0.000     .0039217    .0091039
       164216  |  -.0002994   .0016753    -0.18   0.858    -.0035885    .0029896
       164270  |  -.0032398   .0015597    -2.08   0.038    -.0063019   -.0001776
       164447  |  -.0095641   .0015637    -6.12   0.000    -.0126339   -.0064942
       164492  |  -.0123601   .0013931    -8.87   0.000    -.0150951   -.0096251
       164562  |  -.0034927   .0015621    -2.24   0.026    -.0065593    -.000426
       165015  |  -.0002511   .0015149    -0.17   0.868    -.0032251    .0027229
       165024  |  -.0044258   .0015013    -2.95   0.003    -.0073731   -.0014785
       165334  |   .0031326   .0015668     2.00   0.046     .0000566    .0062085
       165662  |   .0088403   .0013982     6.32   0.000     .0060954    .0115852
       165671  |   .0051834   .0014181     3.66   0.000     .0023993    .0079674
       165820  |    -.00486   .0015538    -3.13   0.002    -.0079104   -.0018097
       165866  |  -.0028448   .0015717    -1.81   0.071    -.0059305    .0002408
       165936  |    .004667   .0014186     3.29   0.001      .001882    .0074519
       166027  |  -.0116783   .0028668    -4.07   0.000    -.0173064   -.0060502
       166124  |   -.005202   .0016596    -3.13   0.002    -.0084602   -.0019438
       166513  |  -.0044027   .0015273    -2.88   0.004     -.007401   -.0014044
       166629  |   .0055907   .0012773     4.38   0.000     .0030832    .0080983
       166638  |  -.0072923   .0014828    -4.92   0.000    -.0102033   -.0043812
       166683  |  -.0085981   .0017782    -4.84   0.000    -.0120892   -.0051071
       167288  |  -.0021599   .0016572    -1.30   0.193    -.0054133    .0010936
       167987  |  -.0073302   .0014103    -5.20   0.000     -.010099   -.0045614
       167996  |  -.0036774   .0016217    -2.27   0.024    -.0068613   -.0004936
       168005  |  -.0014411   .0013716    -1.05   0.294     -.004134    .0012517
       168148  |  -.0011535   .0013585    -0.85   0.396    -.0038205    .0015135
       168254  |   .0027174   .0015413     1.76   0.078    -.0003086    .0057433
       168281  |   .0007393   .0017096     0.43   0.666    -.0026169    .0040956
       168342  |    -.00716   .0015669    -4.57   0.000    -.0102362   -.0040838
       168546  |  -.0091187   .0015062    -6.05   0.000    -.0120756   -.0061618
       168786  |  -.0008232   .0014133    -0.58   0.560    -.0035978    .0019514
       169080  |  -.0007934   .0013626    -0.58   0.561    -.0034684    .0018817
       169798  |  -.0056171   .0012393    -4.53   0.000      -.00805   -.0031841
       169910  |  -.0059151   .0013314    -4.44   0.000    -.0085289   -.0033013
       170082  |   .0018696   .0009097     2.06   0.040     .0000836    .0036555
