"","m1_allapps","","","","m1_DIonly","","","","m1_SSItotal","","","","m1_SSDItotal","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"42001.county",".5332935",".0200128","26.64767","2.68e-08",".4823752",".0034693","139.0426","2.63e-13",".0509184",".0179406","2.838165",".0251105",".680946",".0200153","34.02125","4.91e-09"
"42003.county","1.870424",".0093208","200.671","2.01e-14",".4225599",".0016166","261.3873","3.17e-15","1.447864",".0083536","173.3217","5.62e-14","1.315463",".0093204","141.1383","2.36e-13"
"42005.county","2.516058",".0390383","64.45107","5.69e-11",".9390351",".0067705","138.6946","2.67e-13","1.577023",".0349679","45.09916","6.89e-10","1.87592",".0389532","48.15837","4.36e-10"
"42007.county","2.601179",".0236427","110.0203","1.35e-12",".7889912",".0040987","192.4999","2.69e-14","1.812187",".0211869","85.53329","7.86e-12","2.037929",".0236146","86.29939","7.39e-12"
"42009.county","2.232883",".0630192","35.43181","3.70e-09",".8006476",".0109326","73.23517","2.33e-11","1.432235",".0564107","25.3894","3.76e-08","1.825928",".0627877","29.08097","1.46e-08"
"42011.county","1.539466",".0109458","140.6439","2.42e-13",".4837358",".001903","254.2012","3.85e-15","1.05573",".0097666","108.096","1.53e-12","1.172769",".0108204","108.3851","1.50e-12"
"42013.county","3.076319",".0144688","212.6171","1.34e-14",".829166",".0025097","330.3835","6.15e-16","2.247153",".0129575","173.4252","5.59e-14","2.211859",".0144309","153.2721","1.33e-13"
"42015.county","2.209971",".0176595","125.1435","5.49e-13",".8522198",".0030612","278.3903","2.04e-15","1.357751",".0158225","85.81126","7.69e-12","1.699578",".0176262","96.42345","3.40e-12"
"42017.county",".4180584",".0059569","70.18077","3.14e-11",".4371365",".0010328","423.2657","1.09e-16","-.0190782",".0053444","-3.56978",".0090996",".5280908",".005968","88.4876","6.20e-12"
"42019.county","1.012789",".0061532","164.5966","8.06e-14",".4377987",".0010695","409.3577","1.37e-16",".5749906",".005494","104.6571","1.92e-12",".9396527",".0060895","154.306","1.27e-13"
"42021.county","2.70254",".0440941","61.29034","8.08e-11",".7894178",".0076458","103.2492","2.11e-12","1.913122",".0394885","48.44762","4.18e-10","1.972759",".0439773","44.85856","7.15e-10"
