"name","value","note","date"
"signMismatchEpsPointOneGaussianPerfectPriv","14.1\%",NA,2026-09-04
"signMismatchRoundedEpsPointOneGaussianPerfectPriv","14\%",NA,2026-09-04
"signMatchEpsPointOneLaplacePerfectPriv","80.9\%",NA,2026-09-04
"signMatchRoundedEpsPointOneLaplacePerfectPriv","81\%",NA,2026-09-04
"signMismatchEpsPointOneLaplacePerfectPriv","19.1\%",NA,2026-09-04
"signMismatchRoundedEpsPointOneLaplacePerfectPriv","19\%",NA,2026-09-04
"signMatchEpsPointZeroOneGaussianPerfectPriv","77.6\%",NA,2026-09-04
"signMatchRoundedEpsPointZeroOneGaussianPerfectPriv","78\%",NA,2026-09-04
"signMismatchEpsPointZeroOneGaussianPerfectPriv","22.4\%",NA,2026-09-04
"signMismatchRoundedEpsPointZeroOneGaussianPerfectPriv","22\%",NA,2026-09-04
"signMatchEpsPointZeroOneLaplacePerfectPriv","75.1\%",NA,2026-09-04
"signMatchRoundedEpsPointZeroOneLaplacePerfectPriv","75\%",NA,2026-09-04
"signMismatchEpsPointZeroOneLaplacePerfectPriv","24.9\%",NA,2026-09-04
"signMismatchRoundedEpsPointZeroOneLaplacePerfectPriv","25\%",NA,2026-09-04
"signMatchEpsPointZeroZeroOneGaussianPerfectPriv","71.4\%",NA,2026-09-04
"signMatchRoundedEpsPointZeroZeroOneGaussianPerfectPriv","71\%",NA,2026-09-04
"signMismatchEpsPointZeroZeroOneGaussianPerfectPriv","28.6\%",NA,2026-09-04
"signMismatchRoundedEpsPointZeroZeroOneGaussianPerfectPriv","29\%",NA,2026-09-04
"signMatchEpsPointZeroZeroOneLaplacePerfectPriv","67.6\%",NA,2026-09-04
"signMatchRoundedEpsPointZeroZeroOneLaplacePerfectPriv","68\%",NA,2026-09-04
"signMismatchEpsPointZeroZeroOneLaplacePerfectPriv","32.4\%",NA,2026-09-04
"signMismatchRoundedEpsPointZeroZeroOneLaplacePerfectPriv","32\%",NA,2026-09-04
"signMatchEpsPointZeroZeroZeroOneGaussianPerfectPriv","68.0\%",NA,2026-09-04
"signMatchRoundedEpsPointZeroZeroZeroOneGaussianPerfectPriv","68\%",NA,2026-09-04
"signMismatchEpsPointZeroZeroZeroOneGaussianPerfectPriv","32.0\%",NA,2026-09-04
"signMismatchRoundedEpsPointZeroZeroZeroOneGaussianPerfectPriv","32\%",NA,2026-09-04
"signMatchEpsPointZeroZeroZeroOneLaplacePerfectPriv","66.2\%",NA,2026-09-04
"signMatchRoundedEpsPointZeroZeroZeroOneLaplacePerfectPriv","66\%",NA,2026-09-04
"signMismatchEpsPointZeroZeroZeroOneLaplacePerfectPriv","33.8\%",NA,2026-09-04
"signMismatchRoundedEpsPointZeroZeroZeroOneLaplacePerfectPriv","34\%",NA,2026-09-04
"epiParityEpsOneThousandGaussianAlphaOne","99.3\%",NA,2026-09-04
"epiParityRoundedEpsOneThousandGaussianAlphaOne","99\%",NA,2026-09-04
"epiDisparityEpsOneThousandGaussianAlphaOne","0.7\%",NA,2026-09-04
"epiDisparityRoundedEpsOneThousandGaussianAlphaOne","1\%",NA,2026-09-04
