"name","value","note","date"
"epiSignDisparityEpsOneHundredGaussianAlphaFivePerfectPriv","6.3\%",NA,2026-09-04
"epiSignDisparityRoundedEpsOneHundredGaussianAlphaFivePerfectPriv","6\%",NA,2026-09-04
"epiSignParityEpsOneHundredLaplaceAlphaFivePerfectPriv","94.3\%",NA,2026-09-04
"epiSignParityRoundedEpsOneHundredLaplaceAlphaFivePerfectPriv","94\%",NA,2026-09-04
"epiSignDisparityEpsOneHundredLaplaceAlphaFivePerfectPriv","5.7\%",NA,2026-09-04
"epiSignDisparityRoundedEpsOneHundredLaplaceAlphaFivePerfectPriv","6\%",NA,2026-09-04
"ciCoverageEpsOneHundredGaussianAlphaFivePerfectPriv","98.3\%",NA,2026-09-04
"ciCoverageRoundedEpsOneHundredGaussianAlphaFivePerfectPriv","98\%",NA,2026-09-04
"ciCoverageEpsOneHundredLaplaceAlphaFivePerfectPriv","99.2\%",NA,2026-09-04
"ciCoverageRoundedEpsOneHundredLaplaceAlphaFivePerfectPriv","99\%",NA,2026-09-04
"epiSignParityFPREpsOneHundredGaussianAlphaFivePerfectPriv","0.0\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsOneHundredGaussianAlphaFivePerfectPriv","0\%",NA,2026-09-04
"epiSignParityFPREpsOneHundredLaplaceAlphaFivePerfectPriv","0.0\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsOneHundredLaplaceAlphaFivePerfectPriv","0\%",NA,2026-09-04
"signFlipEpsOneHundredGaussianAlphaFivePerfectPriv","0.0\%",NA,2026-09-04
"signFlipRoundedEpsOneHundredGaussianAlphaFivePerfectPriv","0\%",NA,2026-09-04
"signFlipEpsOneHundredLaplaceAlphaFivePerfectPriv","0.0\%",NA,2026-09-04
"signFlipRoundedEpsOneHundredLaplaceAlphaFivePerfectPriv","0\%",NA,2026-09-04
"epiParityEpsOneHundredGaussianAlphaTenPerfectPriv","96.9\%",NA,2026-09-04
"epiParityRoundedEpsOneHundredGaussianAlphaTenPerfectPriv","97\%",NA,2026-09-04
"epiDisparityEpsOneHundredGaussianAlphaTenPerfectPriv","3.1\%",NA,2026-09-04
"epiDisparityRoundedEpsOneHundredGaussianAlphaTenPerfectPriv","3\%",NA,2026-09-04
"epiParityEpsOneHundredLaplaceAlphaTenPerfectPriv","97.5\%",NA,2026-09-04
"epiParityRoundedEpsOneHundredLaplaceAlphaTenPerfectPriv","98\%",NA,2026-09-04
"epiDisparityEpsOneHundredLaplaceAlphaTenPerfectPriv","2.5\%",NA,2026-09-04
"epiDisparityRoundedEpsOneHundredLaplaceAlphaTenPerfectPriv","2\%",NA,2026-09-04
"epiSignParityEpsOneHundredGaussianAlphaTenPerfectPriv","96.4\%",NA,2026-09-04
"epiSignParityRoundedEpsOneHundredGaussianAlphaTenPerfectPriv","96\%",NA,2026-09-04
"epiSignDisparityEpsOneHundredGaussianAlphaTenPerfectPriv","3.6\%",NA,2026-09-04
"epiSignDisparityRoundedEpsOneHundredGaussianAlphaTenPerfectPriv","4\%",NA,2026-09-04
"epiSignParityEpsOneHundredLaplaceAlphaTenPerfectPriv","96.9\%",NA,2026-09-04
"epiSignParityRoundedEpsOneHundredLaplaceAlphaTenPerfectPriv","97\%",NA,2026-09-04
"epiSignDisparityEpsOneHundredLaplaceAlphaTenPerfectPriv","3.1\%",NA,2026-09-04
"epiSignDisparityRoundedEpsOneHundredLaplaceAlphaTenPerfectPriv","3\%",NA,2026-09-04
"ciCoverageEpsOneHundredGaussianAlphaTenPerfectPriv","98.0\%",NA,2026-09-04
"ciCoverageRoundedEpsOneHundredGaussianAlphaTenPerfectPriv","98\%",NA,2026-09-04
"ciCoverageEpsOneHundredLaplaceAlphaTenPerfectPriv","98.8\%",NA,2026-09-04
"ciCoverageRoundedEpsOneHundredLaplaceAlphaTenPerfectPriv","99\%",NA,2026-09-04
"epiSignParityFPREpsOneHundredGaussianAlphaTenPerfectPriv","0.1\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsOneHundredGaussianAlphaTenPerfectPriv","0\%",NA,2026-09-04
"epiSignParityFPREpsOneHundredLaplaceAlphaTenPerfectPriv","0.1\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsOneHundredLaplaceAlphaTenPerfectPriv","0\%",NA,2026-09-04
"signFlipEpsOneHundredGaussianAlphaTenPerfectPriv","0.0\%",NA,2026-09-04
"signFlipRoundedEpsOneHundredGaussianAlphaTenPerfectPriv","0\%",NA,2026-09-04
"signFlipEpsOneHundredLaplaceAlphaTenPerfectPriv","0.0\%",NA,2026-09-04
"signFlipRoundedEpsOneHundredLaplaceAlphaTenPerfectPriv","0\%",NA,2026-09-04
"epiParityEpsTenGaussianAlphaOnePerfectPriv","94.1\%",NA,2026-09-04
"epiParityRoundedEpsTenGaussianAlphaOnePerfectPriv","94\%",NA,2026-09-04
"epiDisparityEpsTenGaussianAlphaOnePerfectPriv","5.9\%",NA,2026-09-04
"epiDisparityRoundedEpsTenGaussianAlphaOnePerfectPriv","6\%",NA,2026-09-04
"epiParityEpsTenLaplaceAlphaOnePerfectPriv","89.7\%",NA,2026-09-04
"epiParityRoundedEpsTenLaplaceAlphaOnePerfectPriv","90\%",NA,2026-09-04
"epiDisparityEpsTenLaplaceAlphaOnePerfectPriv","10.3\%",NA,2026-09-04
"epiDisparityRoundedEpsTenLaplaceAlphaOnePerfectPriv","10\%",NA,2026-09-04
"epiSignParityEpsTenGaussianAlphaOnePerfectPriv","92.9\%",NA,2026-09-04
"epiSignParityRoundedEpsTenGaussianAlphaOnePerfectPriv","93\%",NA,2026-09-04
"epiSignDisparityEpsTenGaussianAlphaOnePerfectPriv","7.1\%",NA,2026-09-04
"epiSignDisparityRoundedEpsTenGaussianAlphaOnePerfectPriv","7\%",NA,2026-09-04
"epiSignParityEpsTenLaplaceAlphaOnePerfectPriv","89.7\%",NA,2026-09-04
"epiSignParityRoundedEpsTenLaplaceAlphaOnePerfectPriv","90\%",NA,2026-09-04
"epiSignDisparityEpsTenLaplaceAlphaOnePerfectPriv","10.3\%",NA,2026-09-04
"epiSignDisparityRoundedEpsTenLaplaceAlphaOnePerfectPriv","10\%",NA,2026-09-04
"ciCoverageEpsTenGaussianAlphaOnePerfectPriv","97.3\%",NA,2026-09-04
"ciCoverageRoundedEpsTenGaussianAlphaOnePerfectPriv","97\%",NA,2026-09-04
"ciCoverageEpsTenLaplaceAlphaOnePerfectPriv","94.0\%",NA,2026-09-04
"ciCoverageRoundedEpsTenLaplaceAlphaOnePerfectPriv","94\%",NA,2026-09-04
"epiSignParityFPREpsTenGaussianAlphaOnePerfectPriv","0.0\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsTenGaussianAlphaOnePerfectPriv","0\%",NA,2026-09-04
"epiSignParityFPREpsTenLaplaceAlphaOnePerfectPriv","0.2\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsTenLaplaceAlphaOnePerfectPriv","0\%",NA,2026-09-04
"signFlipEpsTenGaussianAlphaOnePerfectPriv","0.0\%",NA,2026-09-04
"signFlipRoundedEpsTenGaussianAlphaOnePerfectPriv","0\%",NA,2026-09-04
"signFlipEpsTenLaplaceAlphaOnePerfectPriv","0.2\%",NA,2026-09-04
"signFlipRoundedEpsTenLaplaceAlphaOnePerfectPriv","0\%",NA,2026-09-04
"epiParityEpsTenGaussianAlphaFivePerfectPriv","91.6\%",NA,2026-09-04
"epiParityRoundedEpsTenGaussianAlphaFivePerfectPriv","92\%",NA,2026-09-04
"epiDisparityEpsTenGaussianAlphaFivePerfectPriv","8.4\%",NA,2026-09-04
"epiDisparityRoundedEpsTenGaussianAlphaFivePerfectPriv","8\%",NA,2026-09-04
"epiParityEpsTenLaplaceAlphaFivePerfectPriv","89.4\%",NA,2026-09-04
"epiParityRoundedEpsTenLaplaceAlphaFivePerfectPriv","89\%",NA,2026-09-04
"epiDisparityEpsTenLaplaceAlphaFivePerfectPriv","10.6\%",NA,2026-09-04
"epiDisparityRoundedEpsTenLaplaceAlphaFivePerfectPriv","11\%",NA,2026-09-04
"epiSignParityEpsTenGaussianAlphaFivePerfectPriv","90.4\%",NA,2026-09-04
"epiSignParityRoundedEpsTenGaussianAlphaFivePerfectPriv","90\%",NA,2026-09-04
"epiSignDisparityEpsTenGaussianAlphaFivePerfectPriv","9.6\%",NA,2026-09-04
"epiSignDisparityRoundedEpsTenGaussianAlphaFivePerfectPriv","10\%",NA,2026-09-04
"epiSignParityEpsTenLaplaceAlphaFivePerfectPriv","88.6\%",NA,2026-09-04
"epiSignParityRoundedEpsTenLaplaceAlphaFivePerfectPriv","89\%",NA,2026-09-04
"epiSignDisparityEpsTenLaplaceAlphaFivePerfectPriv","11.4\%",NA,2026-09-04
"epiSignDisparityRoundedEpsTenLaplaceAlphaFivePerfectPriv","11\%",NA,2026-09-04
"ciCoverageEpsTenGaussianAlphaFivePerfectPriv","96.4\%",NA,2026-09-04
"ciCoverageRoundedEpsTenGaussianAlphaFivePerfectPriv","96\%",NA,2026-09-04
"ciCoverageEpsTenLaplaceAlphaFivePerfectPriv","91.9\%",NA,2026-09-04
"ciCoverageRoundedEpsTenLaplaceAlphaFivePerfectPriv","92\%",NA,2026-09-04
"epiSignParityFPREpsTenGaussianAlphaFivePerfectPriv","0.3\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsTenGaussianAlphaFivePerfectPriv","0\%",NA,2026-09-04
"epiSignParityFPREpsTenLaplaceAlphaFivePerfectPriv","0.6\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsTenLaplaceAlphaFivePerfectPriv","1\%",NA,2026-09-04
"signFlipEpsTenGaussianAlphaFivePerfectPriv","0.1\%",NA,2026-09-04
"signFlipRoundedEpsTenGaussianAlphaFivePerfectPriv","0\%",NA,2026-09-04
"signFlipEpsTenLaplaceAlphaFivePerfectPriv","0.5\%",NA,2026-09-04
"signFlipRoundedEpsTenLaplaceAlphaFivePerfectPriv","0\%",NA,2026-09-04
"epiParityEpsTenGaussianAlphaTenPerfectPriv","94.1\%",NA,2026-09-04
"epiParityRoundedEpsTenGaussianAlphaTenPerfectPriv","94\%",NA,2026-09-04
"epiDisparityEpsTenGaussianAlphaTenPerfectPriv","5.9\%",NA,2026-09-04
"epiDisparityRoundedEpsTenGaussianAlphaTenPerfectPriv","6\%",NA,2026-09-04
"epiParityEpsTenLaplaceAlphaTenPerfectPriv","91.6\%",NA,2026-09-04
"epiParityRoundedEpsTenLaplaceAlphaTenPerfectPriv","92\%",NA,2026-09-04
"epiDisparityEpsTenLaplaceAlphaTenPerfectPriv","8.4\%",NA,2026-09-04
"epiDisparityRoundedEpsTenLaplaceAlphaTenPerfectPriv","8\%",NA,2026-09-04
"epiSignParityEpsTenGaussianAlphaTenPerfectPriv","93.0\%",NA,2026-09-04
"epiSignParityRoundedEpsTenGaussianAlphaTenPerfectPriv","93\%",NA,2026-09-04
"epiSignDisparityEpsTenGaussianAlphaTenPerfectPriv","7.0\%",NA,2026-09-04
"epiSignDisparityRoundedEpsTenGaussianAlphaTenPerfectPriv","7\%",NA,2026-09-04
"epiSignParityEpsTenLaplaceAlphaTenPerfectPriv","90.8\%",NA,2026-09-04
"epiSignParityRoundedEpsTenLaplaceAlphaTenPerfectPriv","91\%",NA,2026-09-04
"epiSignDisparityEpsTenLaplaceAlphaTenPerfectPriv","9.2\%",NA,2026-09-04
"epiSignDisparityRoundedEpsTenLaplaceAlphaTenPerfectPriv","9\%",NA,2026-09-04
"ciCoverageEpsTenGaussianAlphaTenPerfectPriv","95.4\%",NA,2026-09-04
"ciCoverageRoundedEpsTenGaussianAlphaTenPerfectPriv","95\%",NA,2026-09-04
"ciCoverageEpsTenLaplaceAlphaTenPerfectPriv","89.8\%",NA,2026-09-04
"ciCoverageRoundedEpsTenLaplaceAlphaTenPerfectPriv","90\%",NA,2026-09-04
"epiSignParityFPREpsTenGaussianAlphaTenPerfectPriv","0.3\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsTenGaussianAlphaTenPerfectPriv","0\%",NA,2026-09-04
"epiSignParityFPREpsTenLaplaceAlphaTenPerfectPriv","0.9\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsTenLaplaceAlphaTenPerfectPriv","1\%",NA,2026-09-04
"signFlipEpsTenGaussianAlphaTenPerfectPriv","0.1\%",NA,2026-09-04
"signFlipRoundedEpsTenGaussianAlphaTenPerfectPriv","0\%",NA,2026-09-04
"signFlipEpsTenLaplaceAlphaTenPerfectPriv","0.6\%",NA,2026-09-04
"signFlipRoundedEpsTenLaplaceAlphaTenPerfectPriv","1\%",NA,2026-09-04
"epiParityEpsOneGaussianAlphaOnePerfectPriv","85.3\%",NA,2026-09-04
"epiParityRoundedEpsOneGaussianAlphaOnePerfectPriv","85\%",NA,2026-09-04
"epiDisparityEpsOneGaussianAlphaOnePerfectPriv","14.7\%",NA,2026-09-04
"epiDisparityRoundedEpsOneGaussianAlphaOnePerfectPriv","15\%",NA,2026-09-04
"epiParityEpsOneLaplaceAlphaOnePerfectPriv","77.0\%",NA,2026-09-04
"epiParityRoundedEpsOneLaplaceAlphaOnePerfectPriv","77\%",NA,2026-09-04
"epiDisparityEpsOneLaplaceAlphaOnePerfectPriv","23.0\%",NA,2026-09-04
"epiDisparityRoundedEpsOneLaplaceAlphaOnePerfectPriv","23\%",NA,2026-09-04
"epiSignParityEpsOneGaussianAlphaOnePerfectPriv","85.3\%",NA,2026-09-04
"epiSignParityRoundedEpsOneGaussianAlphaOnePerfectPriv","85\%",NA,2026-09-04
"epiSignDisparityEpsOneGaussianAlphaOnePerfectPriv","14.7\%",NA,2026-09-04
"epiSignDisparityRoundedEpsOneGaussianAlphaOnePerfectPriv","15\%",NA,2026-09-04
"epiSignParityEpsOneLaplaceAlphaOnePerfectPriv","76.8\%",NA,2026-09-04
"epiSignParityRoundedEpsOneLaplaceAlphaOnePerfectPriv","77\%",NA,2026-09-04
"epiSignDisparityEpsOneLaplaceAlphaOnePerfectPriv","23.2\%",NA,2026-09-04
"epiSignDisparityRoundedEpsOneLaplaceAlphaOnePerfectPriv","23\%",NA,2026-09-04
"ciCoverageEpsOneGaussianAlphaOnePerfectPriv","91.2\%",NA,2026-09-04
"ciCoverageRoundedEpsOneGaussianAlphaOnePerfectPriv","91\%",NA,2026-09-04
"ciCoverageEpsOneLaplaceAlphaOnePerfectPriv","84.4\%",NA,2026-09-04
"ciCoverageRoundedEpsOneLaplaceAlphaOnePerfectPriv","84\%",NA,2026-09-04
"epiSignParityFPREpsOneGaussianAlphaOnePerfectPriv","0.5\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsOneGaussianAlphaOnePerfectPriv","1\%",NA,2026-09-04
"epiSignParityFPREpsOneLaplaceAlphaOnePerfectPriv","0.7\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsOneLaplaceAlphaOnePerfectPriv","1\%",NA,2026-09-04
"signFlipEpsOneGaussianAlphaOnePerfectPriv","0.4\%",NA,2026-09-04
"signFlipRoundedEpsOneGaussianAlphaOnePerfectPriv","0\%",NA,2026-09-04
"signFlipEpsOneLaplaceAlphaOnePerfectPriv","0.4\%",NA,2026-09-04
"signFlipRoundedEpsOneLaplaceAlphaOnePerfectPriv","0\%",NA,2026-09-04
"epiParityEpsOneGaussianAlphaFivePerfectPriv","86.1\%",NA,2026-09-04
"epiParityRoundedEpsOneGaussianAlphaFivePerfectPriv","86\%",NA,2026-09-04
"epiDisparityEpsOneGaussianAlphaFivePerfectPriv","13.9\%",NA,2026-09-04
"epiDisparityRoundedEpsOneGaussianAlphaFivePerfectPriv","14\%",NA,2026-09-04
"epiParityEpsOneLaplaceAlphaFivePerfectPriv","76.4\%",NA,2026-09-04
"epiParityRoundedEpsOneLaplaceAlphaFivePerfectPriv","76\%",NA,2026-09-04
"epiDisparityEpsOneLaplaceAlphaFivePerfectPriv","23.6\%",NA,2026-09-04
"epiDisparityRoundedEpsOneLaplaceAlphaFivePerfectPriv","24\%",NA,2026-09-04
"epiSignParityEpsOneGaussianAlphaFivePerfectPriv","85.1\%",NA,2026-09-04
"epiSignParityRoundedEpsOneGaussianAlphaFivePerfectPriv","85\%",NA,2026-09-04
"epiSignDisparityEpsOneGaussianAlphaFivePerfectPriv","14.9\%",NA,2026-09-04
"epiSignDisparityRoundedEpsOneGaussianAlphaFivePerfectPriv","15\%",NA,2026-09-04
"epiSignParityEpsOneLaplaceAlphaFivePerfectPriv","75.4\%",NA,2026-09-04
"epiSignParityRoundedEpsOneLaplaceAlphaFivePerfectPriv","75\%",NA,2026-09-04
"epiSignDisparityEpsOneLaplaceAlphaFivePerfectPriv","24.6\%",NA,2026-09-04
"epiSignDisparityRoundedEpsOneLaplaceAlphaFivePerfectPriv","25\%",NA,2026-09-04
"ciCoverageEpsOneGaussianAlphaFivePerfectPriv","88.4\%",NA,2026-09-04
"ciCoverageRoundedEpsOneGaussianAlphaFivePerfectPriv","88\%",NA,2026-09-04
"ciCoverageEpsOneLaplaceAlphaFivePerfectPriv","80.1\%",NA,2026-09-04
"ciCoverageRoundedEpsOneLaplaceAlphaFivePerfectPriv","80\%",NA,2026-09-04
"epiSignParityFPREpsOneGaussianAlphaFivePerfectPriv","0.8\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsOneGaussianAlphaFivePerfectPriv","1\%",NA,2026-09-04
"epiSignParityFPREpsOneLaplaceAlphaFivePerfectPriv","1.4\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsOneLaplaceAlphaFivePerfectPriv","1\%",NA,2026-09-04
"signFlipEpsOneGaussianAlphaFivePerfectPriv","0.5\%",NA,2026-09-04
"signFlipRoundedEpsOneGaussianAlphaFivePerfectPriv","1\%",NA,2026-09-04
"signFlipEpsOneLaplaceAlphaFivePerfectPriv","0.5\%",NA,2026-09-04
"signFlipRoundedEpsOneLaplaceAlphaFivePerfectPriv","1\%",NA,2026-09-04
"epiParityEpsOneGaussianAlphaTenPerfectPriv","88.1\%",NA,2026-09-04
"epiParityRoundedEpsOneGaussianAlphaTenPerfectPriv","88\%",NA,2026-09-04
"epiDisparityEpsOneGaussianAlphaTenPerfectPriv","11.9\%",NA,2026-09-04
"epiDisparityRoundedEpsOneGaussianAlphaTenPerfectPriv","12\%",NA,2026-09-04
"epiParityEpsOneLaplaceAlphaTenPerfectPriv","80.2\%",NA,2026-09-04
"epiParityRoundedEpsOneLaplaceAlphaTenPerfectPriv","80\%",NA,2026-09-04
"epiDisparityEpsOneLaplaceAlphaTenPerfectPriv","19.8\%",NA,2026-09-04
"epiDisparityRoundedEpsOneLaplaceAlphaTenPerfectPriv","20\%",NA,2026-09-04
"epiSignParityEpsOneGaussianAlphaTenPerfectPriv","87.5\%",NA,2026-09-04
"epiSignParityRoundedEpsOneGaussianAlphaTenPerfectPriv","88\%",NA,2026-09-04
"epiSignDisparityEpsOneGaussianAlphaTenPerfectPriv","12.5\%",NA,2026-09-04
"epiSignDisparityRoundedEpsOneGaussianAlphaTenPerfectPriv","12\%",NA,2026-09-04
"epiSignParityEpsOneLaplaceAlphaTenPerfectPriv","79.5\%",NA,2026-09-04
"epiSignParityRoundedEpsOneLaplaceAlphaTenPerfectPriv","80\%",NA,2026-09-04
"epiSignDisparityEpsOneLaplaceAlphaTenPerfectPriv","20.5\%",NA,2026-09-04
"epiSignDisparityRoundedEpsOneLaplaceAlphaTenPerfectPriv","20\%",NA,2026-09-04
"ciCoverageEpsOneGaussianAlphaTenPerfectPriv","87.0\%",NA,2026-09-04
"ciCoverageRoundedEpsOneGaussianAlphaTenPerfectPriv","87\%",NA,2026-09-04
"ciCoverageEpsOneLaplaceAlphaTenPerfectPriv","78.3\%",NA,2026-09-04
"ciCoverageRoundedEpsOneLaplaceAlphaTenPerfectPriv","78\%",NA,2026-09-04
"epiSignParityFPREpsOneGaussianAlphaTenPerfectPriv","1.4\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsOneGaussianAlphaTenPerfectPriv","1\%",NA,2026-09-04
"epiSignParityFPREpsOneLaplaceAlphaTenPerfectPriv","2.1\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsOneLaplaceAlphaTenPerfectPriv","2\%",NA,2026-09-04
"signFlipEpsOneGaussianAlphaTenPerfectPriv","0.6\%",NA,2026-09-04
"signFlipRoundedEpsOneGaussianAlphaTenPerfectPriv","1\%",NA,2026-09-04
"signFlipEpsOneLaplaceAlphaTenPerfectPriv","0.8\%",NA,2026-09-04
"signFlipRoundedEpsOneLaplaceAlphaTenPerfectPriv","1\%",NA,2026-09-04
"epiParityEpsPointOneGaussianAlphaOnePerfectPriv","70.3\%",NA,2026-09-04
"epiParityRoundedEpsPointOneGaussianAlphaOnePerfectPriv","70\%",NA,2026-09-04
"epiDisparityEpsPointOneGaussianAlphaOnePerfectPriv","29.7\%",NA,2026-09-04
"epiDisparityRoundedEpsPointOneGaussianAlphaOnePerfectPriv","30\%",NA,2026-09-04
"epiParityEpsPointOneLaplaceAlphaOnePerfectPriv","65.1\%",NA,2026-09-04
"epiParityRoundedEpsPointOneLaplaceAlphaOnePerfectPriv","65\%",NA,2026-09-04
"epiDisparityEpsPointOneLaplaceAlphaOnePerfectPriv","34.9\%",NA,2026-09-04
"epiDisparityRoundedEpsPointOneLaplaceAlphaOnePerfectPriv","35\%",NA,2026-09-04
"epiSignParityEpsPointOneGaussianAlphaOnePerfectPriv","71.8\%",NA,2026-09-04
"epiSignParityRoundedEpsPointOneGaussianAlphaOnePerfectPriv","72\%",NA,2026-09-04
"epiSignDisparityEpsPointOneGaussianAlphaOnePerfectPriv","28.2\%",NA,2026-09-04
"epiSignDisparityRoundedEpsPointOneGaussianAlphaOnePerfectPriv","28\%",NA,2026-09-04
"epiSignParityEpsPointOneLaplaceAlphaOnePerfectPriv","66.0\%",NA,2026-09-04
"epiSignParityRoundedEpsPointOneLaplaceAlphaOnePerfectPriv","66\%",NA,2026-09-04
"epiSignDisparityEpsPointOneLaplaceAlphaOnePerfectPriv","34.0\%",NA,2026-09-04
"epiSignDisparityRoundedEpsPointOneLaplaceAlphaOnePerfectPriv","34\%",NA,2026-09-04
"ciCoverageEpsPointOneGaussianAlphaOnePerfectPriv","78.5\%",NA,2026-09-04
"ciCoverageRoundedEpsPointOneGaussianAlphaOnePerfectPriv","79\%",NA,2026-09-04
"ciCoverageEpsPointOneLaplaceAlphaOnePerfectPriv","67.9\%",NA,2026-09-04
"ciCoverageRoundedEpsPointOneLaplaceAlphaOnePerfectPriv","68\%",NA,2026-09-04
"epiSignParityFPREpsPointOneGaussianAlphaOnePerfectPriv","0.5\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsPointOneGaussianAlphaOnePerfectPriv","1\%",NA,2026-09-04
"epiSignParityFPREpsPointOneLaplaceAlphaOnePerfectPriv","0.7\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsPointOneLaplaceAlphaOnePerfectPriv","1\%",NA,2026-09-04
"signFlipEpsPointOneGaussianAlphaOnePerfectPriv","0.5\%",NA,2026-09-04
"signFlipRoundedEpsPointOneGaussianAlphaOnePerfectPriv","1\%",NA,2026-09-04
"signFlipEpsPointOneLaplaceAlphaOnePerfectPriv","0.7\%",NA,2026-09-04
"signFlipRoundedEpsPointOneLaplaceAlphaOnePerfectPriv","1\%",NA,2026-09-04
"epiParityEpsPointOneGaussianAlphaFivePerfectPriv","68.1\%",NA,2026-09-04
"epiParityRoundedEpsPointOneGaussianAlphaFivePerfectPriv","68\%",NA,2026-09-04
"epiDisparityEpsPointOneGaussianAlphaFivePerfectPriv","31.9\%",NA,2026-09-04
"epiDisparityRoundedEpsPointOneGaussianAlphaFivePerfectPriv","32\%",NA,2026-09-04
"epiParityEpsPointOneLaplaceAlphaFivePerfectPriv","62.8\%",NA,2026-09-04
"epiParityRoundedEpsPointOneLaplaceAlphaFivePerfectPriv","63\%",NA,2026-09-04
"epiDisparityEpsPointOneLaplaceAlphaFivePerfectPriv","37.2\%",NA,2026-09-04
"epiDisparityRoundedEpsPointOneLaplaceAlphaFivePerfectPriv","37\%",NA,2026-09-04
"epiSignParityEpsPointOneGaussianAlphaFivePerfectPriv","69.1\%",NA,2026-09-04
"epiSignParityRoundedEpsPointOneGaussianAlphaFivePerfectPriv","69\%",NA,2026-09-04
"epiSignDisparityEpsPointOneGaussianAlphaFivePerfectPriv","30.9\%",NA,2026-09-04
"epiSignDisparityRoundedEpsPointOneGaussianAlphaFivePerfectPriv","31\%",NA,2026-09-04
"epiSignParityEpsPointOneLaplaceAlphaFivePerfectPriv","63.9\%",NA,2026-09-04
"epiSignParityRoundedEpsPointOneLaplaceAlphaFivePerfectPriv","64\%",NA,2026-09-04
"epiSignDisparityEpsPointOneLaplaceAlphaFivePerfectPriv","36.1\%",NA,2026-09-04
"epiSignDisparityRoundedEpsPointOneLaplaceAlphaFivePerfectPriv","36\%",NA,2026-09-04
"ciCoverageEpsPointOneGaussianAlphaFivePerfectPriv","74.9\%",NA,2026-09-04
"ciCoverageRoundedEpsPointOneGaussianAlphaFivePerfectPriv","75\%",NA,2026-09-04
"ciCoverageEpsPointOneLaplaceAlphaFivePerfectPriv","64.9\%",NA,2026-09-04
"ciCoverageRoundedEpsPointOneLaplaceAlphaFivePerfectPriv","65\%",NA,2026-09-04
"epiSignParityFPREpsPointOneGaussianAlphaFivePerfectPriv","1.8\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsPointOneGaussianAlphaFivePerfectPriv","2\%",NA,2026-09-04
"epiSignParityFPREpsPointOneLaplaceAlphaFivePerfectPriv","2.0\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsPointOneLaplaceAlphaFivePerfectPriv","2\%",NA,2026-09-04
"signFlipEpsPointOneGaussianAlphaFivePerfectPriv","0.9\%",NA,2026-09-04
"signFlipRoundedEpsPointOneGaussianAlphaFivePerfectPriv","1\%",NA,2026-09-04
"signFlipEpsPointOneLaplaceAlphaFivePerfectPriv","1.1\%",NA,2026-09-04
"signFlipRoundedEpsPointOneLaplaceAlphaFivePerfectPriv","1\%",NA,2026-09-04
"epiParityEpsPointOneGaussianAlphaTenPerfectPriv","70.2\%",NA,2026-09-04
"epiParityRoundedEpsPointOneGaussianAlphaTenPerfectPriv","70\%",NA,2026-09-04
"epiDisparityEpsPointOneGaussianAlphaTenPerfectPriv","29.8\%",NA,2026-09-04
"epiDisparityRoundedEpsPointOneGaussianAlphaTenPerfectPriv","30\%",NA,2026-09-04
"epiParityEpsPointOneLaplaceAlphaTenPerfectPriv","63.2\%",NA,2026-09-04
"epiParityRoundedEpsPointOneLaplaceAlphaTenPerfectPriv","63\%",NA,2026-09-04
"epiDisparityEpsPointOneLaplaceAlphaTenPerfectPriv","36.8\%",NA,2026-09-04
"epiDisparityRoundedEpsPointOneLaplaceAlphaTenPerfectPriv","37\%",NA,2026-09-04
"epiSignParityEpsPointOneGaussianAlphaTenPerfectPriv","71.1\%",NA,2026-09-04
"epiSignParityRoundedEpsPointOneGaussianAlphaTenPerfectPriv","71\%",NA,2026-09-04
"epiSignDisparityEpsPointOneGaussianAlphaTenPerfectPriv","28.9\%",NA,2026-09-04
"epiSignDisparityRoundedEpsPointOneGaussianAlphaTenPerfectPriv","29\%",NA,2026-09-04
"epiSignParityEpsPointOneLaplaceAlphaTenPerfectPriv","64.1\%",NA,2026-09-04
"epiSignParityRoundedEpsPointOneLaplaceAlphaTenPerfectPriv","64\%",NA,2026-09-04
"epiSignDisparityEpsPointOneLaplaceAlphaTenPerfectPriv","35.9\%",NA,2026-09-04
"epiSignDisparityRoundedEpsPointOneLaplaceAlphaTenPerfectPriv","36\%",NA,2026-09-04
"ciCoverageEpsPointOneGaussianAlphaTenPerfectPriv","72.6\%",NA,2026-09-04
