"","est1","","","","est2","","","","est3","","","","est4","","","","est5","","","","est6","","","","est7","","","","est8","","","","est9","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"statetimefe_128","170.553","42.97829","3.968354",".0002409","4.403858",".6427223","6.851882","1.24e-08","178.4044","58.67452","3.040577",".0023613","1.714921",".3813935","4.496461","6.91e-06","-8.590397","4.173107","-2.058513",".0395409","13.97915","7.572509","1.846039",".0648866","77.09536","18.16644","4.243834",".000022","101.8068","37.10298","2.743899",".0060714","-7.601491","9.144813","-.8312353",".4058407"
"statetimefe_129","-145.3048","33.97002","-4.277441",".0000896","-4.229169",".3818096","-11.07664","8.02e-15","3.068312","39.12626",".0784208",".9374933","-.3084691",".2683142","-1.149656",".2502855","2.174447","2.545457",".8542461",".3929687","-4.597104","5.410481","-.8496665",".3955105","-15.79895","14.18748","-1.113584",".2654576","7.190672","18.70216",".3844835",".7006201","14.40769","5.040558","2.858352",".0042585"
"statetimefe_130","-6.49198","89.90631","-.0722083",".9427362","5.149652",".7942126","6.483971","4.55e-08","59.17701","137.892",".4291549",".6678105","1.944918",".5310297","3.662541",".0002497","-30.08727","10.47351","-2.872701",".0040698","12.41629","8.788422","1.4128",".1577144","-9.409038","22.35167","-.4209547",".6737882","91.6302","91.65419",".9997382",".3174372","-7.31808","14.86932","-.4921598",".6226064"
"statetimefe_131","31.76151","93.52311",".3396114",".7356307","8.93699",".5559847","16.07417","5.94e-21","287.8173","33.69466","8.541928","0","2.464126",".3902636","6.314005","2.72e-10","-2.852123","3.834435","-.7438184",".4569863","23.16855","7.13497","3.247182",".0011655","2.017055","9.619191",".2096907",".8339091","244.3368","22.1415","11.03524","0","18.68286","3.984006","4.689467","2.74e-06"
"statetimefe_132","106.8913","30.00331","3.562648",".0008415","4.101557",".4319056","9.496419","1.34e-12","97.01841","71.47604","1.357356",".1746683","-.1439082",".4128811","-.3485464",".7274299","-13.84861","5.56477","-2.488622",".0128239","12.80012","10.28925","1.244028",".2134893","58.08102","22.01938","2.637723",".0083465","60.46515","37.76256","1.601193",".1093341","-20.33535","11.69789","-1.738377",".0821444"
"statetimefe_133","150.0119","21.02066","7.136405","4.54e-09","2.424955",".1553847","15.60614","1.96e-20","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"statetimefe_134","112.5624","32.35577","3.478897",".0010811","-1.706489",".1265613","-13.4835","6.09e-18","184.4343","21.34548","8.640439","0","1.402932",".157122","8.928935","0","17.02112","1.792761","9.494363","0","9.167509","4.993286","1.835967",".0663625","36.22538","9.246305","3.917823",".0000894","88.87859","11.68732","7.604706","2.86e-14","31.73881","3.598398","8.820259","0"
"statetimefe_135","-286.3526","41.82697","-6.846124","1.27e-08","-3.783183",".3656956","-10.34517","8.24e-14","-196.9586","46.77684","-4.210601",".0000255",".2405277",".2771287",".8679278",".3854339","-14.15657","2.42184","-5.845375","5.05e-09","-29.54545","7.189428","-4.109569",".0000396","-52.90094","17.53237","-3.01733",".0025501","-67.48404","21.55953","-3.130126",".0017473","-33.11213","7.626977","-4.341449",".0000142"
"statetimefe_136","21.80162","42.50251",".5129489",".6103399","3.840654",".8102271","4.740219",".0000194","23.1166","65.78473",".3513976",".7252901","1.580109",".4956991","3.187637",".0014344","-20.2576","5.169729","-3.918504",".0000891","-2.449249","15.95422","-.1535174",".8779903","-11.02405","17.49352","-.6301792",".5285774","67.13298","39.81597","1.686082",".09178","-11.86559","9.202313","-1.289414",".1972542"
"statetimefe_137","-140.6656","9.54829","-14.73202","1.96e-19","-1.828355",".2546356","-7.18028","3.89e-09","-78.03901","37.37771","-2.087849",".0368115","-.7359117",".2107834","-3.491316",".0004806","-6.917646","2.395405","-2.887882",".0038785","-8.125922","6.567789","-1.237239",".2159985","-89.38206","12.99399","-6.878721","6.04e-12","28.50908","19.98732","1.426358",".153765","-1.386567","6.681688","-.2075175",".8356057"
