"","col3aa","","","","col3ab","","","","col3ba","","","","col3bb","","","","col4ab","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"_Idistrict_8005","0",".",".",".","0",".",".",".","","","","","","","","","0",".",".","."
"_Idistrict_8006","0",".",".",".","0",".",".",".","","","","","","","","","0",".",".","."
"_Idistrict_8007","0",".",".",".","0",".",".",".","","","","","","","","","0",".",".","."
"_Idistrict_8008","0",".",".",".","0",".",".",".","","","","","","","","","0",".",".","."
"_Idistrict_8009","0",".",".",".","0",".",".",".","","","","","","","","","0",".",".","."
"_Idistrict_8010","0",".",".",".","0",".",".",".","","","","","","","","","0",".",".","."
"_Idistrict_8011","0",".",".",".","0",".",".",".","","","","","","","","","0",".",".","."
"_Idistrict_8012","0",".",".",".","0",".",".",".","","","","","","","","","0",".",".","."
"_Idistrict_8013","0",".",".",".","0",".",".",".","","","","","","","","","0",".",".","."
"_Idistrict_8014","0",".",".",".","0",".",".",".","","","","","","","","","0",".",".","."
"_Idistrict_9001",".0108237",".0499356",".2167542",".8295907",".1421809",".0545283","2.607467",".0130748","","","","","","","","",".0761631",".0328587","2.317895",".0260895"
"_Idistrict_9002","-.0076851",".1343888","-.0571854",".9547052","-.0080133",".1273535","-.0629221",".9501673","","","","","","","","","-.0605509",".1437563","-.4212053",".676042"
"_Idistrict_9003",".2693792",".1419028","1.898336",".0654731","-.2138898",".1803662","-1.185864",".2432358","","","","","","","","","-.2270132",".1899837","-1.194909",".2397259"
"_Idistrict_9004",".3820462",".1364386","2.800133",".0080718","-.481241",".1898567","-2.534759",".0156133","","","","","","","","","-.50247",".1823115","-2.756107",".0090259"
"_Idistrict_9005",".0664485",".006069","10.94879","3.66e-13","-.0783079",".0721042","-1.086038",".2844873","","","","","","","","","-.118293",".0435793","-2.714435",".0100245"
"_Idistrict_9006","-.0477166",".0559387","-.8530166",".3991386",".1235741",".1701297",".7263524",".472193","","","","","","","","",".08593",".1693211",".5074975",".6148177"
"_Idistrict_9007",".1663982",".0246156","6.759855","5.93e-08","-.1295895",".0713454","-1.816368",".0774227","","","","","","","","","-.1440634",".0566112","-2.544785",".0152383"
"_Idistrict_9008",".0351493",".063562",".5529916",".5835951",".0319126",".1593823",".2002267",".8423998","","","","","","","","","-.1286461",".0961171","-1.338431",".1889231"
"_Idistrict_9009","-.016876",".1448717","-.1164891",".907895",".0199349",".1289562",".1545864",".8779876","","","","","","","","","-.0085791",".1372722","-.062497",".9505035"
"_Idistrict_9010",".2687439",".0548158","4.902671",".000019","-.2639052",".0881318","-2.994437",".0048806","","","","","","","","","-.2625855",".0650262","-4.038151",".0002606"
"_Idistrict_9011",".0070415",".0793668",".0887214",".9297818","-.0160304",".1096312","-.1462207",".8845409","","","","","","","","","-.0569787",".0860854","-.6618853",".5121463"
"_Idistrict_9012","-.1121316",".036998","-3.030747",".004435",".3129019",".1073586","2.914549",".0060139","","","","","","","","",".2514648",".083433","3.013972",".0046359"
"_Idistrict_9013","-.0712243",".0691625","-1.029812",".3097836",".110668",".0801798","1.380247",".1757934","","","","","","","","",".0914151",".072432","1.262082",".2148171"
"_Idistrict_9014",".0316531",".0789823",".4007616",".6909006","-.1159776",".1390272","-.8342081",".4095174","","","","","","","","","-.1424197",".1302472","-1.093457",".2812615"
"_Idistrict_9015",".1075464",".1450017",".7416907",".4629569","-.1266229",".1470092","-.8613266",".394606","","","","","","","","","-.15007",".1413248","-1.06188",".2951721"
"_Idistrict_9016",".3261892",".1011902","3.223526",".0026446","-.3879015",".1096909","-3.536313",".0011114","","","","","","","","","-.3863457",".1185064","-3.260125",".0023936"
"_Idistrict_9017",".0463138",".0691346",".6699074",".5070764","-.070779",".1010736","-.7002717",".4881379","","","","","","","","","-.1010646",".0889064","-1.136753",".2629504"
"_Idistrict_9018",".126042",".0094691","13.31086","1.11e-15","-.0784111",".0610694","-1.283966",".2071361","","","","","","","","","-.1018106",".0385074","-2.643921",".0119503"
"_Idistrict_9019",".0621244",".105492",".588902",".5595055","-.0013745",".0796198","-.0172631",".9863195","","","","","","","","","-.0667496",".0674759","-.9892364",".3289729"
"_Idistrict_10001",".1123226",".0762716","1.472666",".1492975",".0805201",".0956151",".8421271",".4051274","","","","","","","","",".0211634",".0635281",".3331339",".7409136"
"_Idistrict_10002","-.0310815",".0521121","-.5964356",".5545162",".1403715",".1512231",".9282412",".3592987","","","","","","","","",".0903996",".1398908",".6462155",".5221281"
"_Idistrict_10003","-.0182841",".0597264","-.3061304",".7612213",".2164722",".1304432","1.659514",".1054662","","","","","","","","",".0685522",".075399",".909193",".3691329"
"_Idistrict_10004","-.0249612",".0117286","-2.128236",".0400422",".1201493",".1010921","1.188513",".242204","","","","","","","","",".0318438",".0486582",".6544386",".5168769"
"_Idistrict_10005","-.0776737",".0112074","-6.930585","3.51e-08",".2829295",".0597128","4.738176",".0000316","","","","","","","","",".1969737",".0479626","4.106818",".0002127"
"_Idistrict_10006","-.0532133",".0498364","-1.067761",".2925457",".3038933",".1626843","1.867994",".0696983","","","","","","","","",".1591009",".063151","2.519374",".0162053"
"_Idistrict_10007","-.0503497",".0607961","-.828173",".4128828",".411547",".1440546","2.856881",".0069805","","","","","","","","",".2559156",".0525616","4.868874",".0000211"
"_Idistrict_10008",".0029108",".116713",".0249398",".980237",".2773608",".2411833","1.15",".2575229","","","","","","","","",".1815344",".179383","1.011993",".3181137"
"_Idistrict_10009","-.0621133",".0289376","-2.146453",".0384615",".3741773",".1165232","3.211182",".0027347","","","","","","","","",".2838532",".063635","4.460645",".0000736"
"_Idistrict_10010","-.085565",".028295","-3.024038",".0045143",".3605903",".0816899","4.414134",".0000847","","","","","","","","",".260587",".0788129","3.306402",".0021086"
"_Idistrict_10011","-.0294254",".070476","-.4175236",".6787085",".3325813",".1591908","2.089199",".043624","","","","","","","","",".2342658",".0916719","2.555482",".0148473"
"_Idistrict_10012","-.1504865",".0270927","-5.554502","2.52e-06",".4360465",".0665089","6.556216","1.11e-07","","","","","","","","",".3429126",".0505694","6.781027","5.56e-08"
"_Idistrict_10013",".2188123",".18401","1.189133",".241963","-.0648387",".2851124","-.2274145",".8213534","","","","","","","","","-.1815384",".2142087","-.8474836",".4021746"
"_Idistrict_10014","-.1849533",".0731548","-2.528245",".0158616",".4750777",".0838741","5.664179","1.79e-06","","","","","","","","",".4078568",".0344995","11.82212","3.96e-14"
"_Idistrict_11001","-.1425303",".0685073","-2.080513",".0444582",".0811519",".0996927",".8140208",".4208412","","","","","","","","",".066403",".0956623",".6941402",".4919299"
"_Idistrict_11002","-.1368153",".0518991","-2.63618",".0121814",".1415586",".0903151","1.567385",".1255384","","","","","","","","",".1427915",".0709409","2.012823",".0514531"
"_Idistrict_11003","-.1989368",".1809117","-1.099635",".2785947",".1698295",".2143557",".7922789",".4332487","","","","","","","","",".1537397",".2168568",".7089456",".4828016"
"_Idistrict_11004","-.1848286",".1690043","-1.093633",".2811853",".1556442",".1026021","1.516969",".1377729","","","","","","","","",".1410773",".0973979","1.448463",".1559096"
"_Idistrict_11005",".0843466",".050744","1.662199",".1049235","-.1769279",".1286173","-1.375615",".177212","","","","","","","","","-.1742059",".1069157","-1.629376",".1117192"
"_Idistrict_11006",".0048355",".0375777",".1286788",".8983088","-.1118442",".1142678","-.9787903",".3340404","","","","","","","","","-.1191403",".1029102","-1.157711",".2544009"
"_Idistrict_11007",".0713847",".0323959","2.203512",".0338618","-.1767759",".0786361","-2.248023",".0306204","","","","","","","","","-.1880849",".064827","-2.901335",".0062236"
"_Idistrict_11008",".1310095",".0351248","3.729833",".0006402","-.2601921",".0949841","-2.739323",".0094164","","","","","","","","","-.2739291",".0853532","-3.209358",".0027483"
"_Idistrict_11009","-.0133943",".0122726","-1.091396",".2821548","-.0399459",".061456","-.6499919",".519713","","","","","","","","","-.0498861",".0389146","-1.281938",".2078392"
