	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)
	OLS	OLS	OLS	OLS	OLS	PROBIT		PROBIT		PROBIT		PROBIT		OLS	OLS	OLS	OLS	OLS	PROBIT		PROBIT		PROBIT		PROBIT		OLS	OLS	OLS	OLS	OLS	PROBIT		PROBIT		PROBIT		PROBIT		OLS	OLS	OLS	OLS	OLS	OLS	OLS	OLS	OLS	OLS	OLS
VARIABLES	No contr No FE	No contr FE	GEO	GEO+REL	GEO+REL+FAC	No contr FE	MFX	GEO	MFX	GEO+REL	MFX	GEO+REL+FAC	MFX	No contr No FE	No contr FE	GEO	GEO+REL	GEO+REL+FAC	No contr FE	MFX	GEO	MFX	GEO+REL	MFX	GEO+REL+FAC	MFX	No contr No FE	No contr FE	GEO	GEO+REL	GEO+REL+FAC	No contr FE	MFX	GEO	MFX	GEO+REL	MFX	GEO+REL+FAC	MFX	No contr No FE	No contr FE	GEO	GEO+REL	GEO+REL+FAC	No contr No FE	No contr FE	GEO	GEO+REL	GEO+REL+FAC	No contr No FE
																																																		
kelurDum	0.0739***	0.0065	0.0575***	0.0573***	0.0552***	0.0287	0.0095	0.2881***	0.1006***	0.2856***	0.0997***	0.2774***	0.0966***	0.0739***	0.0065	0.0575***	0.0573***	0.0552***	0.0287	0.0095	0.2881***	0.1006***	0.2856***	0.0997***	0.2774***	0.0966***	0.0739***	0.0065	0.0575***	0.0573***	0.0552***	0.0287	0.0095	0.2881***	0.1006***	0.2856***	0.0997***	0.2774***	0.0966***	0.0739***	0.0065	0.0575***	0.0573***	0.0552***	0.0739***	0.0065	0.0575***	0.0573***	0.0552***	0.0739***
prayerhouseph_1996				-0.0007	-0.0006					-0.0041	.	-0.0038	.				-0.0007	-0.0006					-0.0041	.	-0.0038	.				-0.0007	-0.0006					-0.0041	.	-0.0038	.				-0.0007	-0.0006				-0.0007	-0.0006	
				(0.001)	(0.001)					(0.004)	(.)	(0.004)	(.)				(0.001)	(0.001)					(0.004)	(.)	(0.004)	(.)				(0.001)	(0.001)					(0.004)	(.)	(0.004)	(.)				(0.001)	(0.001)				(0.001)	(0.001)	
churchesph_1996				-0.0119**	-0.0118**					-0.0379**	.	-0.0371***	.				-0.0119**	-0.0118**					-0.0379**	.	-0.0371***	.				-0.0119**	-0.0118**					-0.0379**	.	-0.0371***	.				-0.0119**	-0.0118**				-0.0119**	-0.0118**	
				(0.005)	(0.005)					(0.015)	(.)	(0.014)	(.)				(0.005)	(0.005)					(0.015)	(.)	(0.014)	(.)				(0.005)	(0.005)					(0.015)	(.)	(0.014)	(.)				(0.005)	(0.005)				(0.005)	(0.005)	
viharaph_1996				0.0167	0.0156					0.0515	.	0.0487	.				0.0167	0.0156					0.0515	.	0.0487	.				0.0167	0.0156					0.0515	.	0.0487	.				0.0167	0.0156				0.0167	0.0156	
				(0.015)	(0.015)					(0.051)	(.)	(0.051)	(.)				(0.015)	(0.015)					(0.051)	(.)	(0.051)	(.)				(0.015)	(0.015)					(0.051)	(.)	(0.051)	(.)				(0.015)	(0.015)				(0.015)	(0.015)	
num_TVs_1996_pc					0.0002*							0.0008**	.					0.0002*							0.0008**	.					0.0002*							0.0008**	.					0.0002*					0.0002*	
					(0.000)							(0.000)	(.)					(0.000)							(0.000)	(.)					(0.000)							(0.000)	(.)					(0.000)					(0.000)	
num_hospitals_1996_pc					0.0516							0.1822	.					0.0516							0.1822	.					0.0516							0.1822	.					0.0516					0.0516	
					(0.043)							(0.159)	(.)					(0.043)							(0.159)	(.)					(0.043)							(0.159)	(.)					(0.043)					(0.043)	
num_maternhosp_1996_pc					-0.0102							-0.0336	.					-0.0102							-0.0336	.					-0.0102							-0.0336	.					-0.0102					-0.0102	
					(0.020)							(0.069)	(.)					(0.020)							(0.069)	(.)					(0.020)							(0.069)	(.)					(0.020)					(0.020)	
num_polyclinic_1996_pc					0.0576*							0.1860*	.					0.0576*							0.1860*	.					0.0576*							0.1860*	.					0.0576*					0.0576*	
					(0.030)							(0.095)	(.)					(0.030)							(0.095)	(.)					(0.030)							(0.095)	(.)					(0.030)					(0.030)	
num_puskesmas_1996_pc					0.0280**							0.0908**	.					0.0280**							0.0908**	.					0.0280**							0.0908**	.					0.0280**					0.0280**	
					(0.013)							(0.043)	(.)					(0.013)							(0.043)	(.)					(0.013)							(0.043)	(.)					(0.013)					(0.013)	
num_kindgarden_1996_pc					-0.0287***							-0.1167***	.					-0.0287***							-0.1167***	.					-0.0287***							-0.1167***	.					-0.0287***					-0.0287***	
					(0.008)							(0.031)	(.)					(0.008)							(0.031)	(.)					(0.008)							(0.031)	(.)					(0.008)					(0.008)	
num_primarysch_1996_pc					0.0018							0.0050	.					0.0018							0.0050	.					0.0018							0.0050	.					0.0018					0.0018	
					(0.002)							(0.007)	(.)					(0.002)							(0.007)	(.)					(0.002)							(0.007)	(.)					(0.002)					(0.002)	
num_HS_1996_pc					-0.0002							-0.0004	.					-0.0002							-0.0004	.					-0.0002							-0.0004	.					-0.0002					-0.0002	
					(0.005)							(0.018)	(.)					(0.005)							(0.018)	(.)					(0.005)							(0.018)	(.)					(0.005)					(0.005)	
o.idkab_dum1		-	-	-	-										-	-	-	-										-	-	-	-										-	-	-	-		-	-	-	-	
																																																		
idkab_dum2		-0.3957***	-0.4898***	-0.4564***	-0.4586***	0.6058***	.	0.5835***	.	0.7906***	.	0.7809***	.		-0.3957***	-0.4898***	-0.4564***	-0.4586***	0.6058***	.	0.5835***	.	0.7906***	.	0.7809***	.		-0.3957***	-0.4898***	-0.4564***	-0.4586***	0.6058***	.	0.5835***	.	0.7906***	.	0.7809***	.		-0.3957***	-0.4898***	-0.4564***	-0.4586***		-0.3957***	-0.4898***	-0.4564***	-0.4586***	
		(0.008)	(0.021)	(0.020)	(0.021)	(0.001)	(.)	(0.024)	(.)	(0.058)	(.)	(0.057)	(.)		(0.008)	(0.021)	(0.020)	(0.021)	(0.001)	(.)	(0.024)	(.)	(0.058)	(.)	(0.057)	(.)		(0.008)	(0.021)	(0.020)	(0.021)	(0.001)	(.)	(0.024)	(.)	(0.058)	(.)	(0.057)	(.)		(0.008)	(0.021)	(0.020)	(0.021)		(0.008)	(0.021)	(0.020)	(0.021)	
