	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)
	GolkarFirst	GolkarFirst	GolkarFirst	GolkarFirst	GolkarFirst	GolkarFirst	PDIFirst	PDIFirst	PDIFirst	PDIFirst	PDIFirst	PDIFirst	GolkarFirst	GolkarFirst	GolkarFirst	GolkarFirst	GolkarFirst	GolkarFirst	PDIFirst	PDIFirst	PDIFirst	PDIFirst	PDIFirst	PDIFirst
VARIABLES	Whole Sample	PDI Won Large	PDI Won	Golkar Won	Golkar Won Large	Neither Won	Whole Sample	PDI Won Large	PDI Won	Golkar Won	Golkar Won Large	Neither Won	Whole Sample	PDI Won Large	PDI Won	Golkar Won	Golkar Won Large	Neither Won	Whole Sample	PDI Won Large	PDI Won	Golkar Won	Golkar Won Large	Neither Won
																								
num_TVs_1996_pc	0.0002*	0.0001	0.0001	0.0008***	0.0002	-0.0001	0.0001	0.0002	0.0002	-0.0006**	-0.0002	0.0008**	0.0002*	0.0001	0.0001	0.0008***	0.0002	-0.0001	0.0001	0.0002	0.0002	-0.0006**	-0.0002	0.0008**
	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)
num_hospitals_1996_pc	0.0516	0.0898	-0.0548	0.1601***	-0.2372**	0.0651	-0.0103	-0.0353	0.1799*	-0.1181**	0.1098	-0.0276	0.0516	0.0898	-0.0548	0.1601***	-0.2372**	0.0651	-0.0103	-0.0353	0.1799*	-0.1181**	0.1098	-0.0276
	(0.043)	(0.066)	(0.079)	(0.056)	(0.104)	(0.127)	(0.044)	(0.070)	(0.099)	(0.050)	(0.127)	(0.178)	(0.043)	(0.066)	(0.079)	(0.056)	(0.104)	(0.127)	(0.044)	(0.070)	(0.099)	(0.050)	(0.127)	(0.178)
num_maternhosp_1996_pc	-0.0102	-0.0250	0.1427*	0.0839**	-0.0191	-0.0323*	0.0153	0.0406	-0.1432*	-0.0732*	0.0275	0.0239	-0.0102	-0.0250	0.1427*	0.0839**	-0.0191	-0.0323*	0.0153	0.0406	-0.1432*	-0.0732*	0.0275	0.0239
	(0.020)	(0.054)	(0.073)	(0.033)	(0.034)	(0.016)	(0.020)	(0.057)	(0.076)	(0.042)	(0.027)	(0.027)	(0.020)	(0.054)	(0.073)	(0.033)	(0.034)	(0.016)	(0.020)	(0.057)	(0.076)	(0.042)	(0.027)	(0.027)
num_polyclinic_1996_pc	0.0576*	0.1392***	0.0208	0.0100	-0.0028	0.1227	-0.0012	-0.1024***	0.0969**	0.0692	0.0289	-0.0991	0.0576*	0.1392***	0.0208	0.0100	-0.0028	0.1227	-0.0012	-0.1024***	0.0969**	0.0692	0.0289	-0.0991
	(0.030)	(0.029)	(0.025)	(0.071)	(0.020)	(0.086)	(0.038)	(0.033)	(0.041)	(0.063)	(0.024)	(0.100)	(0.030)	(0.029)	(0.025)	(0.071)	(0.020)	(0.086)	(0.038)	(0.033)	(0.041)	(0.063)	(0.024)	(0.100)
num_puskesmas_1996_pc	0.0280**	0.0250	0.0483*	0.0414**	-0.0068	0.0377	-0.0089	0.0143	-0.0673**	-0.0309	0.0249	0.0092	0.0280**	0.0250	0.0483*	0.0414**	-0.0068	0.0377	-0.0089	0.0143	-0.0673**	-0.0309	0.0249	0.0092
	(0.013)	(0.027)	(0.028)	(0.018)	(0.017)	(0.061)	(0.013)	(0.032)	(0.033)	(0.021)	(0.017)	(0.029)	(0.013)	(0.027)	(0.028)	(0.018)	(0.017)	(0.061)	(0.013)	(0.032)	(0.033)	(0.021)	(0.017)	(0.029)
num_kindgarden_1996_pc	-0.0287***	-0.0292*	-0.0607***	-0.0439**	-0.0235	0.0038	0.0019	-0.0017	-0.0300	0.0321	0.0253***	-0.0157	-0.0287***	-0.0292*	-0.0607***	-0.0439**	-0.0235	0.0038	0.0019	-0.0017	-0.0300	0.0321	0.0253***	-0.0157
	(0.008)	(0.016)	(0.015)	(0.017)	(0.017)	(0.010)	(0.011)	(0.029)	(0.032)	(0.021)	(0.009)	(0.013)	(0.008)	(0.016)	(0.015)	(0.017)	(0.017)	(0.010)	(0.011)	(0.029)	(0.032)	(0.021)	(0.009)	(0.013)
num_primarysch_1996_pc	0.0018	0.0078***	-0.0013	-0.0053*	0.0100**	-0.0010	-0.0074**	-0.0102***	0.0019	-0.0100***	-0.0121**	-0.0055	0.0018	0.0078***	-0.0013	-0.0053*	0.0100**	-0.0010	-0.0074**	-0.0102***	0.0019	-0.0100***	-0.0121**	-0.0055
	(0.002)	(0.003)	(0.002)	(0.003)	(0.004)	(0.004)	(0.003)	(0.003)	(0.005)	(0.002)	(0.005)	(0.006)	(0.002)	(0.003)	(0.002)	(0.003)	(0.004)	(0.004)	(0.003)	(0.003)	(0.005)	(0.002)	(0.005)	(0.006)
num_HS_1996_pc	-0.0002	-0.0023	0.0111	-0.0083	-0.0060	0.0033	-0.0103**	-0.0183	-0.0123	0.0035	0.0003	-0.0173**	-0.0002	-0.0023	0.0111	-0.0083	-0.0060	0.0033	-0.0103**	-0.0183	-0.0123	0.0035	0.0003	-0.0173**
	(0.005)	(0.007)	(0.011)	(0.012)	(0.009)	(0.006)	(0.005)	(0.012)	(0.015)	(0.007)	(0.008)	(0.006)	(0.005)	(0.007)	(0.011)	(0.012)	(0.009)	(0.006)	(0.005)	(0.012)	(0.015)	(0.007)	(0.008)	(0.006)
o.idkab_dum1	-	-	-	-		-	-	-	-	-		-	-	-	-	-		-	-	-	-	-		-
																								
idkab_dum2	-0.4586***			0.1990***			0.3807***			0.4800***			-0.4586***			0.1990***			0.3807***			0.4800***		
	(0.021)			(0.053)			(0.024)			(0.050)			(0.021)			(0.053)			(0.024)			(0.050)		
idkab_dum3	-0.2892***			0.2231**			0.3041***			0.5384***			-0.2892***			0.2231**			0.3041***			0.5384***		
	(0.034)			(0.094)			(0.036)			(0.088)			(0.034)			(0.094)			(0.036)			(0.088)		
idkab_dum4	-0.6083***		0.1180				0.5203***		-0.0960				-0.6083***		0.1180				0.5203***		-0.0960			
	(0.071)		(0.082)				(0.068)		(0.103)				(0.071)		(0.082)				(0.068)		(0.103)			
idkab_dum5	-0.2518***				-0.2564***		0.2522***				0.2873***		-0.2518***				-0.2564***		0.2522***				0.2873***	
	(0.043)				(0.043)		(0.046)				(0.045)		(0.043)				(0.043)		(0.046)				(0.045)	
idkab_dum6	-0.4634***		0.1635**				0.2333***		-0.3244***				-0.4634***		0.1635**				0.2333***		-0.3244***			
	(0.040)		(0.073)				(0.044)		(0.103)				(0.040)		(0.073)				(0.044)		(0.103)			
idkab_dum7	-0.6646***	0.1020***					0.5747***	-0.2099***					-0.6646***	0.1020***					0.5747***	-0.2099***				
	(0.014)	(0.013)					(0.015)	(0.019)					(0.014)	(0.013)					(0.015)	(0.019)				
idkab_dum8	-0.0612***				-0.0782***		0.0171				0.0300		-0.0612***				-0.0782***		0.0171				0.0300	
	(0.020)				(0.023)		(0.021)				(0.018)		(0.020)				(0.023)		(0.021)				(0.018)	
idkab_dum9	-0.4600***					0.1542***	0.2870***					0.1409***	-0.4600***					0.1542***	0.2870***					0.1409***
	(0.024)					(0.022)	(0.024)					(0.044)	(0.024)					(0.022)	(0.024)					(0.044)
idkab_dum10	0.0515**				-0.0065		0.0145				0.0452***		0.0515**				-0.0065		0.0145				0.0452***	
	(0.025)				(0.016)		(0.024)				(0.013)		(0.025)				(0.016)		(0.024)				(0.013)	
idkab_dum11	-0.0024				-0.0302		0.0694***				0.0795***		-0.0024				-0.0302		0.0694***				0.0795***	
	(0.021)				(0.020)		(0.022)				(0.018)		(0.021)				(0.020)		(0.022)				(0.018)	
idkab_dum12	0.0531**				-0.0193		0.0078				0.0457***		0.0531**				-0.0193		0.0078				0.0457***	
	(0.023)				(0.018)		(0.022)				(0.017)		(0.023)				(0.018)		(0.022)				(0.017)	
idkab_dum13	-0.0240				-0.0928***		0.0378				0.0800***		-0.0240				-0.0928***		0.0378				0.0800***	
	(0.024)				(0.017)		(0.023)				(0.014)		(0.024)				(0.017)		(0.023)				(0.014)	
idkab_dum14	-0.0230				-0.0833***		0.0759***				0.1121***		-0.0230				-0.0833***		0.0759***				0.1121***	
	(0.025)				(0.015)		(0.024)				(0.014)		(0.025)				(0.015)		(0.024)				(0.014)	
idkab_dum15	0.0856***						-0.0579***						0.0856***						-0.0579***					
	(0.019)						(0.021)						(0.019)						(0.021)					
idkab_dum16	-0.0094				-0.0709***		0.0357*				0.0818***		-0.0094				-0.0709***		0.0357*				0.0818***	
	(0.021)				(0.012)		(0.020)				(0.012)		(0.021)				(0.012)		(0.020)				(0.012)	
idkab_dum17	-0.2015***			0.5141***			0.2375***			0.2548***			-0.2015***			0.5141***			0.2375***			0.2548***		
	(0.025)			(0.052)			(0.025)			(0.043)			(0.025)			(0.052)			(0.025)			(0.043)		
idkab_dum18	0.0025				-0.0505***		0.0282				0.0615***		0.0025				-0.0505***		0.0282				0.0615***	
	(0.022)				(0.017)		(0.020)				(0.014)		(0.022)				(0.017)		(0.020)				(0.014)	
idkab_dum19	-0.0789***				-0.1278***		0.0105				0.0279*		-0.0789***				-0.1278***		0.0105				0.0279*	
	(0.024)				(0.016)		(0.024)				(0.014)		(0.024)				(0.016)		(0.024)				(0.014)	
idkab_dum20	0.0018				-0.0728***		0.0180				0.0832***		0.0018				-0.0728***		0.0180				0.0832***	
	(0.019)				(0.016)		(0.020)				(0.016)		(0.019)				(0.016)		(0.020)				(0.016)	
