"","est1","","","","est2","","","","est3","","","","est4","","","","est5","","","","est6","","","","est7","","","","est8","","","","est9","","","","est10","","",""
"stateyrv99","-.020938",".0320504","-.6532851",".5135725","-.0591651",".0121861","-4.855113","1.20e-06","-.0146758",".0306633","-.4786106",".6322156","-.0246305",".0320151","-.7693415",".4416906","-.0034022",".0299672","-.1135291",".9096111","-.2195978",".0360259","-6.095556","1.09e-09",".0180254",".026323",".6847776",".4934843","-.0921611",".0285438","-3.228756",".0012433","-.0929812",".0292187","-3.182253",".0014613","-.0738514",".0272953","-2.705651",".0068171"
"stateyrv100","-.1060132",".0152406","-6.955962","3.50e-12","-.0261913",".0103211","-2.537653",".0111599","-.0981642",".0121403","-8.085806","6.66e-16","-.0977501",".0119075","-8.209133","2.22e-16","-.098633",".0125937","-7.831947","4.88e-15","-.2041851",".0253732","-8.047278","8.88e-16",".0056444",".0229826",".2455949",".8059958","-.0607851",".0222989","-2.725927",".0064121","-.0606505",".0222643","-2.724109",".0064475","-.0637907",".021971","-2.903399",".0036914"
"stateyrv101","-.0678828",".0129114","-5.257587","1.46e-07",".0028368",".0090277",".3142352",".7533424","-.0615987",".0094045","-6.549898","5.76e-11","-.0623756",".0090702","-6.876944","6.12e-12","-.0607189",".0100243","-6.057142","1.39e-09","-.1784214",".0260407","-6.851647","7.30e-12",".0327689",".0211798","1.547176",".1218208","-.0321605",".0222735","-1.44389",".14877","-.0320447",".0222616","-1.439462",".1500197","-.0347445",".0216711","-1.603265",".1088763"
"stateyrv102","-.0981193",".0135194","-7.257652","3.94e-13","-.0007186",".0093306","-.077019",".9386084","-.0908721",".0098795","-9.198051","0","-.0900036",".0091762","-9.808395","0","-.0918557",".0109521","-8.387069","0","-.1982869",".0241782","-8.201052","2.22e-16",".0026138",".0201074",".129991",".8965735","-.0517664",".0201517","-2.568844",".0102038","-.0516057",".0200937","-2.568256",".0102212","-.0553562",".0195014","-2.838572",".0045316"
"stateyrv103","-.0704295",".0126606","-5.562903","2.65e-08","-.0042364",".0096522","-.4389061",".6607295","-.0641795",".008779","-7.310544","2.66e-13","-.0632595",".0083356","-7.589068","3.22e-14","-.0652214",".0096133","-6.784503","1.16e-11","-.1782801",".0235022","-7.585671","3.31e-14",".0075676",".0206542",".3663972",".7140687","-.0354056",".0189073","-1.872595",".0611244","-.0352451",".018859","-1.868876",".0616401","-.0389901",".0182617","-2.135076",".0327548"
"stateyrv104","-.1165155",".0182616","-6.380345","1.77e-10","-.0072286",".0091506","-.7899633",".4295492","-.1092754",".0140024","-7.804024","6.00e-15","-.0993118",".0143848","-6.903942","5.06e-12","-.120559",".0153399","-7.859188","3.77e-15","-.198861",".0253925","-7.831494","4.88e-15",".0110234",".0239406",".46045",".6451933","-.0483151",".0212643","-2.272118",".0230794","-.0474616",".0210919","-2.250224",".0244347","-.0673689",".0215171","-3.130946",".0017424"
"stateyrv105","-.0947874",".0144784","-6.546816","5.88e-11",".0106427",".0092641","1.148812",".2506336","-.0871421",".0107681","-8.092607","6.66e-16","-.0838327",".0107722","-7.782356","7.11e-15","-.09089",".0111828","-8.127636","4.44e-16","-.1839401",".0240011","-7.663811","1.80e-14",".0200284",".0208701",".9596684",".3372221","-.036242",".0194959","-1.858954",".0630337","-.0358451",".0194157","-1.846191",".0648645","-.0451035",".01897","-2.37762",".0174248"
"stateyrv106","-.1131228",".0246482","-4.589503","4.44e-06",".0020309",".0139122",".1459797",".8839374","-.1052799",".0199978","-5.264572","1.41e-07","-.0893047",".0215322","-4.147498",".0000336","-.1233716",".0214652","-5.747526","9.06e-09","-.2515085",".0273956","-9.180622","0","-.0017716",".0244595","-.072431",".9422589","-.0942215",".0227131","-4.148328",".0000335","-.0926483",".0226891","-4.083391",".0000444","-.129345",".025249","-5.122774","3.01e-07"
"stateyrv107","-.1077602",".0135948","-7.926559","2.22e-15",".018593",".008422","2.207663",".0272677","-.1010166",".0101859","-9.917277","0","-.1038802",".0099851","-10.40353","0","-.0977737",".0108726","-8.992627","0","-.1255132",".0236485","-5.307442","1.11e-07",".0217048",".0212671","1.020584",".3074514",".0166216",".0196112",".847554",".3966864",".0164446",".0197633",".8320765",".4053658",".0205725",".0188316","1.092446",".2746373"
"stateyrv108","-.109316",".0126393","-8.648922","0",".0306093",".0082059","3.730171",".0001913","-.1012466",".0085434","-11.85088","0","-.1005178",".0081949","-12.26591","0","-.1020718",".0091449","-11.16156","0","-.1998016",".0238463","-8.378713","0",".040221",".0200077","2.010273",".0444023","-.0544885",".0201347","-2.706203",".0068058","-.0543275",".0199683","-2.720687",".0065146","-.058083",".0193125","-3.007535",".0026338"
"stateyrv109","-.1022574",".015287","-6.689157","2.24e-11","-.0033354",".0093246","-.357693",".7205731","-.0938154",".0114175","-8.216837","2.22e-16","-.0909168",".0111741","-8.136391","4.44e-16","-.0970979",".0120253","-8.074443","6.66e-16","-.2147579",".026554","-8.087604","6.66e-16","-.0079368",".0232715","-.3410529",".7330638","-.0713693",".0241797","-2.951626",".0031611","-.0710181",".0239776","-2.961857",".0030579","-.0792095",".0230398","-3.437937",".0005862"
"stateyrv110","-.0872706",".024002","-3.635975",".0002769","-.0172599",".0117623","-1.467389",".1422703","-.0801605",".0179947","-4.454663","8.40e-06","-.0826655",".017461","-4.734279","2.20e-06","-.0773237",".0189925","-4.071287",".0000468","-.2302128",".0359425","-6.405024","1.50e-10","-.0007744",".0225137","-.0343968",".9725607","-.0973522",".027295","-3.566662",".0003616","-.0973422",".0273045","-3.565059",".0003638","-.0975762",".0270982","-3.60084",".0003172"
"stateyrv111","-.0790651",".0143641","-5.504348","3.71e-08","-.0105206",".0091188","-1.153733",".2486096","-.0709812",".0100713","-7.047894","1.82e-12","-.0661825",".0099843","-6.628656","3.39e-11","-.0764157",".0109277","-6.992844","2.69e-12","-.0844353",".0253079","-3.336326",".0008489",".0397783",".026347","1.509785",".1310984",".0652161",".0217661","2.996217",".0027335",".0657384",".0216472","3.036808",".002391",".053555",".0214114","2.501235",".0123761"
"stateyrv112","-.0884439",".0194763","-4.541102","5.60e-06",".0081272",".0088578",".9175223",".358869","-.08035",".013618","-5.900282","3.63e-09","-.0669076",".015771","-4.242436",".0000221","-.0955734",".014319","-6.674598","2.48e-11","-.1879969",".0275803","-6.816341","9.34e-12",".0373515",".0268314","1.392078",".1638988","-.0347675",".0232945","-1.492523",".135562","-.0335571",".0232199","-1.445186",".1484055","-.0617912",".0240775","-2.566342",".0102778"
"stateyrv113","-.0623275",".0151029","-4.126842",".0000368",".0059658",".0089862",".6638895",".506761","-.0542946",".0097636","-5.560916","2.68e-08","-.0480523",".0099647","-4.82223","1.42e-06","-.0613639",".0114152","-5.375623","7.63e-08","-.1773491",".0247692","-7.160065","8.06e-13",".0263286",".0206813","1.273062",".202996","-.0285673",".0205732","-1.388569",".1649638","-.0279143",".020319","-1.373801",".1695035","-.0431453",".0206924","-2.085086",".0370615"
"stateyrv114","-.0696079",".021343","-3.26139",".0011087","-.0047705",".0085199","-.5599278",".5755287","-.0614972",".0141231","-4.35437",".0000133","-.0447429",".0177223","-2.524669",".0115807","-.0804713",".014369","-5.600343","2.14e-08","-.1776327",".0258491","-6.871923","6.33e-12",".0266445",".0212106","1.256189",".2090474","-.0236205",".020935","-1.128282",".2592007","-.0220134",".0209197","-1.052279",".2926717","-.0595018",".0216827","-2.744202",".0060658"
"stateyrv115","-.0602511",".0179419","-3.358128",".0007847","-.0206864",".0098615","-2.097685",".035933","-.0531373",".0133942","-3.967186",".0000727","-.0421278",".0147243","-2.861108",".0042216","-.0656054",".0140832","-4.658408","3.19e-06","-.1863706",".0254623","-7.319478","2.49e-13",".0128096",".021984",".5826804",".5601085","-.0316896",".0216102","-1.466416",".142535","-.0305686",".021513","-1.420935",".1553356","-.0567153",".0211968","-2.675655",".0074583"
"stateyrv116","-.066672",".016857","-3.955142",".0000765",".0316294",".0089552","3.531967",".0004125","-.0584267",".0124827","-4.680627","2.86e-06","-.049535",".012673","-3.908696",".0000928","-.0684964",".0130266","-5.258189","1.45e-07","-.1636067",".0243987","-6.705543","2.01e-11",".0257416",".0213468","1.205878",".2278645","-.011461",".0198174","-.5783283",".5630425","-.01056",".019744","-.5348451",".592757","-.0315768",".0192711","-1.638555",".1013059"
"stateyrv117","-.1820714",".0558909","-3.257622",".0011235","-.0269232",".0100504","-2.678811",".0073884","-.1701623",".042717","-3.98348",".0000679","-.1204345",".0523792","-2.29928",".021489","-.2264783",".0447757","-5.058065","4.24e-07","-.1698973",".0444016","-3.826376",".00013",".0254489",".0257229",".9893486",".3224926",".0090949",".0353941",".2569619",".7972082",".0135928",".0375556",".3619391",".7173975","-.0913238",".0486812","-1.875955",".0606614"
"stateyrv118","-.094662",".0146887","-6.444533","1.16e-10",".0231918",".0091741","2.527974",".0114723","-.0867784",".0102312","-8.481763","0","-.0813635",".0098111","-8.29303","0","-.0929106",".0116187","-7.996639","1.33e-15","-.2002272",".0238957","-8.379226","0",".0364251",".023463","1.552444",".1205559","-.0539072",".0196184","-2.74779",".0059998","-.0533265",".0194261","-2.745103",".0060492","-.0668717",".019447","-3.43867",".0005846"
"stateyrv119","-.0871055",".014897","-5.847172","5.00e-09",".0221408",".0084069","2.633657",".0084471","-.0782823",".0098575","-7.941381","2.00e-15","-.072298",".0100035","-7.227247","4.93e-13","-.0850593",".0105912","-8.031135","8.88e-16","-.1810731",".0242641","-7.462605","8.48e-14",".0225038",".0209418","1.074591",".2825579","-.0333082",".0206054","-1.616475",".1059917","-.0326747",".019919","-1.640377",".1009267","-.0474501",".020142","-2.355775",".0184841"
"stateyrv120","-.0921888",".0178636","-5.160711","2.46e-07",".006327",".0098544",".6420499",".5208408","-.0828883",".0123692","-6.70117","2.07e-11","-.0734171",".0130258","-5.636266","1.74e-08","-.0936143",".0123813","-7.56095","4.00e-14","-.1889007",".0284907","-6.630265","3.35e-11",".0060516",".021598",".280193",".7793294","-.041524",".0253136","-1.640385",".1009252","-.0405273",".0247364","-1.638368",".101345","-.063775",".0256609","-2.485301",".0129442"
"stateyrv121","-.0995293",".0224374","-4.435872","9.17e-06",".005423",".0094362",".5747037",".5654917","-.0913545",".018614","-4.907837","9.21e-07","-.0870291",".017743","-4.90498","9.34e-07","-.096253",".0198763","-4.842611","1.28e-06","-.2053457",".0387623","-5.297566","1.17e-07",".015728",".0288919",".5443733",".5861846","-.066713",".0290485","-2.296604",".0216414","-.0661758",".0287143","-2.304632",".0211872","-.0787058",".0315413","-2.495323",".0125842"
"stateyrv122","0",".",".",".",".006134",".0135489",".4527303",".6507429","0",".",".",".","0",".",".",".","0",".",".",".","-.1452084",".0244144","-5.94766","2.72e-09",".0384131",".0620798",".6187704",".5360677","-.0001054",".0207917","-.0050699",".9959549","-.0000427",".0208463","-.002047",".9983667","-.0015061",".0192052","-.0784198",".9374941"
"stateyrv123","0",".",".",".",".0025658",".0093364",".2748174",".7834566","0",".",".",".","0",".",".",".","0",".",".",".","-.1258798",".0252785","-4.979722","6.37e-07",".0482734",".025802","1.870916",".0613567",".0211811",".0215567",".9825753",".3258165",".021427",".0215153",".9958964",".3193005",".0156907",".0205944",".7618908",".4461252"
"stateyrv124","0",".",".",".","-.0916561",".0847656","-1.081288",".2795689","0",".",".",".","0",".",".",".","0",".",".",".","-.1523248",".0240025","-6.346214","2.21e-10","-.0455821",".0341678","-1.334066",".1821823","-.0061137",".0199206","-.3069044",".7589161","-.0061031",".0199537","-.305866",".7597067","-.0063498",".0191587","-.3314292",".7403203"
"stateyrv125","0",".",".",".","-.0102986",".0124159","-.8294729",".4068369","0",".",".",".","0",".",".",".","0",".",".",".","-.1304141",".0235036","-5.548677","2.88e-08","-.0078908",".0296676","-.2659724",".7902604",".0145559",".0189047",".7699601",".4413236",".0148628",".0187971",".7906958",".4291215",".007704",".0181818",".4237218",".6717687"
"stateyrv126","0",".",".",".","-.0055539",".0099197","-.5598831",".5755592","0",".",".",".","0",".",".",".","0",".",".",".","-.1054098",".024181","-4.359198",".0000131",".0266669",".0340731",".7826373",".4338401",".0422505",".0202543","2.085998",".0369788",".0427567",".0201505","2.121872",".0338485",".0309474",".0191647","1.614812",".1063515"
"stateyrv127","0",".",".",".",".0273928",".0092452","2.962908",".0030475","0",".",".",".","0",".",".",".","0",".",".",".","-.1489044",".0237573","-6.267724","3.66e-10",".0417191",".0287362","1.451795",".1465587","-.0004388",".0193399","-.0226871",".9818999","-.0000993",".0192874","-.0051475",".9958929","-.008018",".0184471","-.4346486",".6638175"
"stateyrv128","0",".",".",".","-.0057794",".010607","-.5448629",".5858478","0",".",".",".","0",".",".",".","0",".",".",".","-.0538929",".0316067","-1.705111",".0881738","-.0148186",".0304507","-.4866426",".6265116",".072451",".0246313","2.941418",".0032671",".0700037",".0271007","2.583091",".0097919",".1270895",".0306761","4.142944",".0000343"
"stateyrv129","0",".",".",".",".0209317",".0081697","2.562108",".0104039","0",".",".",".","0",".",".",".","0",".",".",".","-.1909752",".0235931","-8.094524","6.66e-16",".0644882",".0309641","2.08268",".0372804","-.0479436",".0193163","-2.482024",".0130638","-.0480901",".0194498","-2.472523",".0134163","-.0446726",".0184361","-2.423104",".0153885"
"stateyrv130","0",".",".",".",".0342873",".0087014","3.940417",".0000813","0",".",".",".","0",".",".",".","0",".",".",".","-.1467187",".0238665","-6.147469","7.87e-10",".0890234",".0234968","3.788743",".0001514","-.0032387",".019758","-.1639187",".8697951","-.0033804",".0199828","-.1691664",".8656658","-.0000747",".0189942","-.0039343",".9968609"
"stateyrv131","0",".",".",".",".0379156",".0090223","4.202416",".0000264","0",".",".",".","0",".",".",".","0",".",".",".","-.1405536",".027338","-5.141324","2.73e-07",".0397612",".0436638",".9106222",".3624944",".0065736",".0244103",".2692946",".787703",".0070149",".0241127",".2909201",".7711124","-.0032793",".0237206","-.1382485",".8900441"
"stateyrv132","0",".",".",".","-.0177366",".0155643","-1.139568",".2544664","0",".",".",".","0",".",".",".","0",".",".",".","-.1473669",".0354732","-4.154322",".0000326","-.0142204",".0315786","-.4503185",".6524808","-.001751",".0259003","-.0676037",".9461011","-.0010315",".0255615","-.0403546",".9678105","-.0178128",".0272825","-.6529022",".5138194"
"stateyrv133","0",".",".",".","-.0184282",".0125503","-1.468343",".1420111","0",".",".",".","0",".",".",".","0",".",".",".","-.1283129",".0247418","-5.186066","2.15e-07",".0331256",".0226902","1.459908",".1443153",".0170905",".020015",".8538826",".39317",".0173746",".0198637",".8746893",".381743",".0107473",".0195554",".549583",".5826054"
"stateyrv134","0",".",".",".","-.0154789",".0085818","-1.803692",".0712796","0",".",".",".","0",".",".",".","0",".",".",".","-.1290564",".0280822","-4.595663","4.31e-06",".017926",".0246447",".7273782",".4669943",".0213533",".0243202",".8780054",".3799408",".0219591",".0242229",".9065416",".3646492",".0078284",".0245502",".3188748",".7498214"
"stateyrv135","0",".",".",".",".0212281",".0126063","1.683932",".0921948","0",".",".",".","0",".",".",".","0",".",".",".","-.1882851",".0238391","-7.898159","2.89e-15",".0289677",".0244265","1.185913",".2356566","-.0379018",".0192654","-1.967354",".0491425","-.0372447",".0190655","-1.953507",".0507595","-.0525733",".0187263","-2.807454",".0049935"
"stateyrv136","0",".",".",".","-.0275213",".0085901","-3.203843",".0013561","0",".",".",".","0",".",".",".","0",".",".",".","-.1353398",".023828","-5.679871","1.35e-08",".0182167",".0233242",".7810232",".4347888",".0120147",".019253",".624046",".5325974",".0127143",".0190476",".6675018",".5044516","-.0036029",".0187771","-.1918794",".8478367"
"stateyrv137","0",".",".",".","-.0041348",".0088217","-.4687092",".6392775","0",".",".",".","0",".",".",".","0",".",".",".","-.144922",".0308438","-4.698574","2.62e-06",".0431471",".0247318","1.744601",".0810543",".004805",".0272957",".1760361",".8602655",".0056862",".0271082",".2097585",".8338562","-.0148672",".0272583","-.5454167",".585467"
"stateyrv138","0",".",".",".","-.0013554",".0085435","-.1586444",".8739491","0",".",".",".","0",".",".",".","0",".",".",".","-.1797679",".0375745","-4.784303","1.72e-06",".0373446",".0205521","1.817068",".0692067","-.0197092",".0271449","-.7260744",".4677932","-.0190599",".0265248","-.718567",".4724078","-.0342063",".0316563","-1.080553",".279896"
"stateyrv139","0",".",".",".","-.0025529",".0099791","-.255824",".7980867","0",".",".",".","0",".",".",".","0",".",".",".","-.1568215",".0264173","-5.936328","2.91e-09",".0464068",".035679","1.300673",".1933703","-.0109209",".0229055","-.4767809",".6335181","-.010415",".0227558","-.4576844",".6471792","-.022216",".0234984","-.9454235",".3444427"
"stateyrv140","0",".",".",".",".0092752",".0085449","1.085472",".2777127","0",".",".",".","0",".",".",".","0",".",".",".","-.2112799",".0237333","-8.90225","0",".0404958",".0212168","1.90867",".0563047","-.0716795",".0193198","-3.710161",".0002071","-.0714767",".019257","-3.711731",".0002058","-.0762079",".0186187","-4.093073",".0000426"
"stateyrv141","0",".",".",".",".0129992",".0084142","1.544917",".1223662","0",".",".",".","0",".",".",".","0",".",".",".","-.1797539",".0237459","-7.569894","3.73e-14",".0642437",".0207058","3.102696",".0019177","-.0353935",".0192159","-1.841887",".0654917","-.0349223",".0190678","-1.831474",".0670299","-.0459131",".0186419","-2.462903",".0137817"
"stateyrv142","0",".",".",".",".0280833",".0107836","2.60425",".0092076","0",".",".",".","0",".",".",".","0",".",".",".","-.1331267",".0244889","-5.436205","5.44e-08",".027663",".0222968","1.240672",".2147269",".0155415",".0204917",".7584285",".4481945",".0160865",".020156",".7981026",".424811",".0033738",".0204695",".1648185",".8690869"
"stateyrv143","0",".",".",".","-.0022782",".0125272","-.1818617",".8556912","0",".",".",".","0",".",".",".","0",".",".",".","-.1784149",".0246523","-7.237241","4.58e-13",".0220752",".0430848",".5123647",".6083958","-.0264622",".0240712","-1.099329",".2716245","-.025345",".0241643","-1.048857",".2942437","-.0514045",".022188","-2.316777",".0205159"
"stateyrv144","-.0664844",".0140234","-4.740972","2.13e-06","-.0163699",".0093551","-1.749845",".080145","-.0588525",".0107456","-5.476908","4.33e-08","-.0588906",".0103452","-5.69254","1.25e-08","-.0588094",".0114533","-5.134692","2.83e-07","-.1055512",".0258465","-4.083762",".0000443",".0353309",".0217151","1.627017",".1037336",".0398967",".0212411","1.878279",".060343",".0399624",".0212196","1.88328",".0596624",".0384295",".0208986","1.838854",".0659366"
"stateyrv145","-.0723841",".0137008","-5.283198","1.27e-07","-.0308863",".0082063","-3.763728",".0001674","-.0656322",".0099459","-6.598949","4.14e-11","-.062571",".0094102","-6.649295","2.94e-11","-.0690989",".0111268","-6.210115","5.29e-10","-.0506365",".0253812","-1.995044",".0460381",".068158",".0238483","2.857987",".0042634",".0982034",".021046","4.666135","3.07e-06",".0985418",".0209231","4.709703","2.48e-06",".0906488",".021311","4.253623",".000021"
"stateyrv146","-.1020918",".0137512","-7.424201","1.13e-13","-.0159169",".0111879","-1.422684",".1548277","-.0945018",".0089929","-10.50845","0","-.0892003",".0091876","-9.708788","0","-.1005058",".0101435","-9.90837","0","-.146263",".023908","-6.117746","9.49e-10",".0533297",".0214975","2.480739",".013111",".0057588",".0193044",".298314",".7654636",".0063228",".0191477",".3302129",".7412391","-.0068336",".018611","-.3671809",".7134841"
"stateyrv147","-.0717794",".0137962","-5.202822","1.96e-07","-.0385141",".0085519","-4.503566","6.68e-06","-.0653444",".009813","-6.658934","2.76e-11","-.0619765",".0092662","-6.688434","2.26e-11","-.0691585",".0110959","-6.232785","4.58e-10","-.1078024",".0235406","-4.57943","4.66e-06",".0246052",".0206632","1.190775",".2337419",".0382343",".0190716","2.004783",".0449862",".0386175",".018936","2.039369",".0414133",".0296809",".0184537","1.608393",".1077492"
"stateyrv148","-.0423441",".0150696","-2.809903",".0049556","-.0193565",".0091743","-2.109866",".0348699","-.0360003",".0120004","-2.999924",".0027005","-.0353001",".0115662","-3.052006",".0022732","-.0367932",".0127563","-2.884323",".0039226","-.0630246",".0264755","-2.38049",".0172897",".0337615",".0243112","1.388718",".1649184",".0800856",".0226953","3.528735",".0004176",".0802113",".0226572","3.540217",".0003998",".0772799",".0226491","3.41206",".0006447"
"stateyrv149","-.0865319",".0145181","-5.960279","2.52e-09","-.0170155",".0091724","-1.855083",".0635843","-.0791509",".0113294","-6.986309","2.82e-12","-.0788298",".0100922","-7.810992","5.77e-15","-.0795146",".0133299","-5.965129","2.44e-09","-.1016933",".0237993","-4.272954",".0000193",".0542822",".0209876","2.586388",".0096988",".0433223",".0199137","2.175503",".0295924",".0434449",".0198911","2.184135",".0289523",".0405856",".0202326","2.005952",".0448613"
"stateyrv150","-.0640879",".0170118","-3.767257",".0001651","-.0177704",".0113938","-1.559654",".1188416","-.0574191",".0139567","-4.114098",".0000389","-.0538871",".0126123","-4.272601",".0000193","-.061419",".0163208","-3.763241",".0001677","-.1021776",".0273976","-3.729434",".0001919",".0268405",".0286845",".935712",".3494215",".0436297",".0230534","1.892553",".0584173",".0440021",".0229145","1.920277",".0548229",".0353147",".0246122","1.434849",".1513302"
"stateyrv151","-.1460618",".01722","-8.482118","0","-.0041745",".0087896","-.4749286",".6348379","-.1375983",".0120468","-11.42199","0","-.1285279",".0127304","-10.09615","0","-.1478704",".0126786","-11.66296","0","-.1933061",".0247188","-7.820206","5.33e-15",".0674508",".0208796","3.230465",".0012359","-.0451006",".0198644","-2.270423",".0231819","-.044185",".0197298","-2.23951",".0251228","-.0655402",".0196121","-3.34182",".0008323"
"stateyrv152","-.1249315",".0133533","-9.35588","0","-.00484",".0083593","-.5789906",".5625955","-.1165766",".0089367","-13.04475","0","-.1136709",".0083557","-13.60407","0","-.1198673",".0103633","-11.56648","0","-.1309295",".0236046","-5.546786","2.91e-08",".0549603",".0199872","2.749774",".0059636",".0170074",".0190988",".8904981",".3731985",".0173657",".0189769",".9150962",".3601411",".0090092",".0183163",".4918674",".6228131"
"stateyrv153","-.0876483",".0193666","-4.525744","6.02e-06","-.0003579",".0092448","-.0387094",".969122","-.0798936",".0172796","-4.623574","3.77e-06","-.0793676",".0165738","-4.78873","1.68e-06","-.0804893",".0181916","-4.424525","9.67e-06","-.0909233",".0247689","-3.670864",".0002417",".049832",".0206411","2.414215",".0157691",".0561068",".020589","2.725085",".0064285",".0562427",".020572","2.733947",".006258",".0530729",".0197634","2.685414",".007244"
"stateyrv154","-.0335134",".0249063","-1.34558",".1784381","-.0337516",".0110242","-3.061592",".0022016","-.0260505",".0177026","-1.471559",".1411401","-.0131973",".0211762","-.6232125",".5331449","-.0406065",".016742","-2.425426",".0152904","-.0663224",".0420416","-1.577544",".1146705",".0281258",".0290446",".968369",".3328601",".0912919",".0303148","3.011458",".0026",".0924711",".0302474","3.057155",".0022345",".0649661",".0323628","2.007432",".0447037"
"stateyrv155","-.0467478",".0148182","-3.154752",".0016063","-.0027757",".0101685","-.272966",".7848793","-.0399013",".0118871","-3.356688",".0007888","-.0431985",".0119376","-3.618699",".0002961","-.0361673",".01229","-2.942824",".0032523","-.0601906",".0308248","-1.952667",".050859",".0903837",".0233774","3.866286",".0001105",".0875021",".026954","3.246348",".001169",".0872832",".0271008","3.220684",".0012789",".0923904",".0269911","3.422995",".0006194"
"stateyrv156","-.0539364",".0136198","-3.960153",".0000749",".0160869",".009028","1.781882",".0747685","-.0482008",".0102253","-4.713862","2.43e-06","-.0530754",".0107881","-4.919806","8.66e-07","-.0426803",".0100786","-4.23475",".0000229","-.0354494",".0254879","-1.390835",".1642754",".0629089",".0216909","2.900242",".0037287",".1090214",".0210423","5.181066","2.21e-07",".1087158",".0212736","5.110367","3.22e-07",".1158457",".0203354","5.696763","1.22e-08"
"stateyrv157","-.0652345",".0129766","-5.027099","4.98e-07",".0047948",".009382",".5110598",".6093092","-.0586184",".0097769","-5.99558","2.03e-09","-.0590097",".0094999","-6.211601","5.24e-10","-.0581752",".010289","-5.654133","1.57e-08","-.094082",".0236443","-3.979058",".0000692",".0160932",".0206999",".7774514",".4368925",".0572001",".0190046","3.009804",".0026142",".0572414",".019022","3.009221",".0026192",".0562777",".0182056","3.091233",".0019933"
"stateyrv158","-.0451726",".0144933","-3.116805",".0018282","-.0136481",".0083814","-1.62838",".1034443","-.0399675",".011052","-3.616319",".0002988","-.0468737",".0119094","-3.935839",".0000829","-.0321463",".0109471","-2.936516",".0033192","-.0616348",".0241322","-2.554052",".0106477",".0030202",".0207084",".1458465",".8840426",".0775641",".0193127","4.016225",".0000591",".0770084",".0197785","3.893548",".0000988",".0899724",".0186623","4.821084","1.43e-06"
"stateyrv159","-.0678667",".0148281","-4.576891","4.72e-06","-.0068973",".0096625","-.7138197",".4753387","-.0614736",".0115259","-5.333513","9.63e-08","-.0593462",".0106741","-5.559832","2.70e-08","-.0638828",".0128412","-4.974828","6.53e-07","-.0418205",".0255278","-1.638231",".1013734",".0231417",".0289983",".7980362",".4248495",".1029634",".0215135","4.786001","1.70e-06",".103202",".0214619","4.808615","1.52e-06",".097637",".0205485","4.751532","2.02e-06"
"stateyrv160","-.0394244",".0140002","-2.815997",".0048626","-.0002572",".008551","-.0300778",".976005","-.0325927",".0108464","-3.004924",".0026565","-.0349954",".0107109","-3.267265",".0010859","-.0298717",".0114884","-2.600154",".0093182","-.0700568",".0236033","-2.968095",".0029965",".0356773",".0218052","1.636181",".1018017",".0757168",".0195651","3.869996",".0001088",".0755838",".0196601","3.844521",".0001208",".0786874",".0186261","4.224579",".0000239"
"stateyrv161","-.0349136",".0182221","-1.915999",".0553653",".0044217",".0155041",".2851926",".7754966","-.0295038",".015489","-1.904831",".056802","-.0349025",".0160012","-2.181247",".0291652","-.0233899",".0157542","-1.484674",".1376302","-.1570074",".0300711","-5.221211","1.78e-07",".0035661",".028642",".1245065",".9009143","-.0148587",".0267494","-.5554776",".5785681","-.0152364",".0269702","-.5649351",".5721179","-.0064261",".0264476","-.2429765",".8080236"
"stateyrv162","-.0770112",".0144647","-5.324082","1.01e-07",".0120964",".0200126",".6044395",".5455515","-.0706777",".0113276","-6.239449","4.39e-10","-.0715625",".011132","-6.428552","1.29e-10","-.0696757",".0117059","-5.952193","2.65e-09","-.1495843",".0239269","-6.25172","4.06e-10",".0483946",".0222972","2.170434",".029974",".0018934",".0192918",".098143",".9218187",".0018912",".019334",".0978164",".9220781",".0019418",".0184603",".1051868",".9162276"
"stateyrv163","-.0602116",".0126984","-4.741669","2.12e-06",".0189556",".0082084","2.309277",".0209282","-.0528267",".0092507","-5.710539","1.13e-08","-.0549492",".009665","-5.685387","1.31e-08","-.050423",".0092598","-5.445349","5.17e-08","-.0899174",".023567","-3.81539",".000136",".0295511",".0201093","1.469522",".1416913",".0584804",".0198371","2.948033",".003198",".0583553",".0200293","2.913493",".0035741",".0612736",".0184628","3.318761",".0009042"
"stateyrv164","-.0662566",".0149461","-4.43305","9.29e-06",".0113582",".0096433","1.177832",".2388636","-.0593043",".0123048","-4.819599","1.44e-06","-.0639108",".0134876","-4.73847","2.15e-06","-.0540876",".011444","-4.726302","2.29e-06","-.052223",".0253948","-2.05644",".0397401",".0128845",".0232515",".5541377",".5794846",".0940822",".021456","4.384889",".0000116",".0937839",".0216979","4.322254",".0000154",".1007424",".0203462","4.951418","7.37e-07"
"stateyrv165","-.0430964",".020211","-2.132319",".0329806",".0089727",".0151316",".5929794",".5531949","-.0375112",".0272823","-1.37493",".169153","-.035022",".0266063","-1.316305",".1880718","-.0403303",".0282766","-1.426279",".1537878",".0634385",".0566841","1.119159",".2630724","-.0013699",".0212797","-.0643777",".9486695",".2212617",".0665825","3.323119",".0008902",".2216299",".0666058","3.327487",".0008763",".2130408",".0642673","3.314919",".0009167"
