"","est1","","","","est2","","","","est3","","","","est4","","","","est5","","","","est6","","","","est7","","","","est8","","",""
"stateyrv77","-.2046819",".0352207","-5.811413","9.27e-09","-.0274924",".0197971","-1.38871",".164921","-.2051801",".0349098","-5.877437","6.35e-09","-.0166614",".0211257","-.78868",".4302991",".2241565",".0233597","9.595868","1.99e-20","-.0044661",".0346261","-.1289798",".8973737",".2241681",".0233682","9.592862","2.04e-20","-.0001657",".0350598","-.0047261",".9962292"
"stateyrv78","-.1329376",".0262272","-5.068695","5.09e-07",".0464208",".014176","3.274592",".0010581","-.1337963",".026143","-5.117861","3.96e-07",".0585783",".0147002","3.984859",".0000675",".1979231",".0114675","17.25955","7.85e-55","-.0294091",".0217189","-1.354078",".1757115",".197771",".011474","17.23645","1.03e-54","-.023237",".0220373","-1.05444",".2916817"
"stateyrv79","-.1692212",".024075","-7.028929","4.80e-12",".0029392",".0108372",".2712122",".7862278","-.1694132",".0238841","-7.093151","3.11e-12",".0153607",".011438","1.34296",".1792849",".2098831",".0148815","14.1036","2.15e-39","-.0192776",".0244514","-.7884042",".4304603",".2099664",".0146348","14.34705","1.56e-40","-.0139679",".0247999","-.5632245",".573282"
"stateyrv80","-.1712086",".0243972","-7.01756","5.18e-12",".0083445",".011225",".7433835",".4572495","-.1707968",".024196","-7.058874","3.93e-12",".0091432",".0125336",".7294947",".4656991",".2099097",".0083046","25.27644","1.62e-97","-.0173508",".0202834","-.8554185",".3923195",".2097376",".0083571","25.09687","1.52e-96","-.0170084",".0206604","-.8232398",".4103716"
"stateyrv81","-.1800357",".0239433","-7.519242","1.63e-13",".0001698",".0097605",".0173942",".9861221","-.179676",".0238181","-7.543677","1.37e-13",".0008714",".009506",".0916661",".9269633",".1948381",".0026303","74.07524","9.1e-311","-.0320665",".0189271","-1.694206",".0902262",".1946198",".0026698","72.89741","6.9e-307","-.0317489",".0190366","-1.667783",".0953588"
"stateyrv82","-.1732107",".0249089","-6.953776","7.93e-12","-.0064236",".0126799","-.5065961",".6124383","-.1732028",".0246813","-7.017563","5.18e-12",".008818",".0129795",".6793812",".4968963",".2170877",".0089389","24.28574","3.82e-92","-.0142068",".0211602","-.6713921",".5019707",".2174499",".0087864","24.7484","1.18e-94","-.0074947",".021526","-.3481714",".7277115"
"stateyrv83","-.1794519",".0239686","-7.486968","2.04e-13",".001538",".0096473",".1594262",".8733331","-.1801671",".0238025","-7.569249","1.14e-13",".0110406",".0103363","1.068145",".2854551",".2008713",".0057547","34.90535","1.2e-148","-.0257826",".0197164","-1.307671",".1909849",".2006286",".0057786","34.71942","1.1e-147","-.0210794",".020133","-1.047011",".2950947"
"stateyrv84","-.1784395",".0254199","-7.019674","5.11e-12","-.0301451",".0141318","-2.133133",".0329138","-.177645",".0251764","-7.056011","4.00e-12","-.0060649",".0129505","-.4683158",".6395588",".2034007",".008017","25.37114","4.96e-98","-.0383758",".0214259","-1.791093",".0732784",".2051326",".0078553","26.1138","4.7e-102","-.0253644",".0202406","-1.253147",".2101523"
"stateyrv85","-.1866478",".0238679","-7.820031","1.86e-14","-.007824",".0101469","-.7710777",".4406609","-.1870351",".0236949","-7.893486","1.08e-14",".0006368",".0103586",".0614771",".9509792",".171889",".0046904","36.64677","1.7e-157","-.0557442",".019364","-2.878755",".0039925",".1717725",".0047573","36.10729","8.9e-155","-.0514321",".0197324","-2.606482",".0091478"
"stateyrv86","-.16453",".0236408","-6.959564","7.63e-12",".01378",".0088874","1.5505",".1210216","-.1651698",".0234651","-7.038967","4.49e-12",".0249029",".0091994","2.707005",".0067893",".1987555",".0067366","29.50384","2.5e-120","-.0290439",".0199076","-1.458934",".1445834",".1986629",".0071265","27.87656","1.4e-111","-.0234478",".0203369","-1.152964",".248925"
"stateyrv87","-.1983975",".0243037","-8.163262","1.44e-15","-.0171366",".0105105","-1.630431",".1030104","-.1987156",".02416","-8.224989","8.99e-16","-.0113641",".01073","-1.059091",".2895584",".1347515",".0149532","9.011555","2.48e-18","-.0917686",".0238505","-3.847664",".0001192",".1344882",".0149918","8.970792","3.44e-18","-.0889091",".024275","-3.662574",".0002497"
"stateyrv88","-.2063083",".0199443","-10.3442","1.72e-23","-.0131671",".0208432","-.6317243",".527567","-.2081754",".0201214","-10.34596","1.70e-23","-.0038783",".0210069","-.1846222",".8535254",".1631879",".0185409","8.801529","1.33e-17","-.0599978",".0264827","-2.265548",".0234791",".1624941",".0188433","8.623425","5.39e-17","-.0562798",".0270046","-2.084083",".0371526"
"stateyrv89","-.2017649",".0248683","-8.11335","2.10e-15","-.0168835",".012135","-1.391307",".1641323","-.2033453",".024815","-8.194458","1.13e-15","-.0030774",".0120879","-.2545848",".7990438",".2140255",".0116731","18.33501","2.35e-60","-.0107684",".0223083","-.4827107",".6293012",".2135457",".0115814","18.43871","6.80e-61","-.0040055",".0231172","-.1732687",".8624402"
"stateyrv90","-.2145682",".0243032","-8.82879","7.83e-18","-.0399099",".0106813","-3.736426",".0001867","-.2149934",".0241347","-8.908063","4.12e-18","-.0275638",".0112943","-2.440503",".0146668",".2039632",".0129723","15.723","3.77e-47","-.0245135",".0230539","-1.063313",".2876399",".20396",".0127788","15.96082","2.55e-48","-.018063",".0236889","-.7625117",".4457547"
"stateyrv91","-.2336586",".0243267","-9.60501","1.20e-20","-.0484585",".0118794","-4.079197",".0000452","-.2348069",".0242537","-9.681278","6.23e-21","-.0387309",".0135982","-2.848226",".0043964",".2007473",".0083344","24.08652","4.60e-91","-.0238214",".0205182","-1.160991",".2456457",".2002346",".0084724","23.63371","1.31e-88","-.0190571",".0211604","-.9006026",".3677997"
"stateyrv92","-.2090539",".0238871","-8.75176","1.46e-17","-.0349104",".0093444","-3.735981",".000187","-.2085102",".0237629","-8.774592","1.21e-17","-.030662",".0095749","-3.202323",".0013632",".1941224",".002629","73.83981","5.4e-310","-.0356617",".0187707","-1.899853",".0574524",".1942809",".0026727","72.69161","3.3e-306","-.0333284",".0191159","-1.743491",".081248"
"stateyrv93","-.2046222",".0245561","-8.332861","3.93e-16","-.0078555",".0145134","-.5412584",".5883295","-.2053019",".0244509","-8.396493","2.40e-16","-.0121189",".0125962","-.9621085",".3359951",".1751613",".0091365","19.17157","1.02e-64","-.0454724",".0213985","-2.125032",".033584",".1741296",".0092105","18.9055","2.51e-63","-.0457042",".0217444","-2.101883",".0355635"
"stateyrv94","-.226128",".0252724","-8.94764","2.99e-18","-.0433377",".0122744","-3.530733",".0004144","-.2269924",".0252506","-8.989579","2.12e-18","-.0340566",".0115716","-2.943124",".0032492",".2064865",".0048999","42.14065","2.1e-184","-.0192919",".0194229","-.9932546",".3205859",".2061304",".0049714","41.46289","3.5e-181","-.0145741",".0199142","-.731845",".4642632"
"stateyrv95","-.2163123",".0250587","-8.632236","3.78e-17",".0135526",".0209089",".6481704",".5168747","-.2165464",".0250237","-8.653648","3.19e-17","-.0228573",".0131226","-1.741828",".0815385",".1676554",".0074153","22.60932","4.56e-83","-.0357313",".0247467","-1.443885",".1487712",".1643523",".0075992","21.6277","8.85e-78","-.0560231",".0204263","-2.742695",".0060937"
"stateyrv96","-.249532",".0237074","-10.52547","3.28e-24","-.0683448",".0091666","-7.455879","8.93e-14","-.250357",".0235724","-10.62077","1.36e-24","-.0580443",".0101138","-5.739097","9.52e-09",".1763792",".0043461","40.58355","6.0e-177","-.050135",".0193187","-2.595147",".0094551",".1761193",".004469","39.4088","3.1e-171","-.0449531",".0200301","-2.244279",".0248144"
"stateyrv97","-.2170874",".0237035","-9.158444","5.26e-19","-.0331357",".0092967","-3.564253",".0003649","-.2180382",".0235501","-9.258482","2.28e-19","-.024083",".0095633","-2.518273",".0117932",".2099863",".0066028","31.80238","1.6e-132","-.0150605",".0200792","-.7500528",".4532229",".2095348",".0069947","29.9563","9.8e-123","-.0106935",".0206493","-.5178617",".6045547"
"stateyrv98","-.2411312",".0248468","-9.704731","5.08e-21","-.0600986",".0126483","-4.751507","2.02e-06","-.2419713",".0246353","-9.822139","1.82e-21","-.0495323",".0134813","-3.674147",".0002386",".1432393",".014025","10.21314","9.60e-23","-.0826972",".0234241","-3.530438",".0004149",".1429055",".0140608","10.16339","1.49e-22","-.0770272",".024056","-3.201995",".0013648"
"stateyrv99","-.2092288",".0329198","-6.355706","3.66e-10","-.013028",".030637","-.4252374",".6706636","-.2108355",".0332349","-6.343799","3.94e-10","-.0086411",".0286421","-.3016919",".762887",".1303047",".0193255","6.742619","3.56e-11","-.0891403",".0285991","-3.116894",".0018277",".1291275",".0194858","6.626762","7.44e-11","-.0847713",".029353","-2.887994",".0038771"
"stateyrv100","-.2697885",".025276","-10.6737","8.30e-25","-.0982327",".0121779","-8.066478","6.66e-16","-.2705489",".0251291","-10.76637","3.50e-25","-.0802889",".0130201","-6.166544","6.98e-10",".1699719",".0119484","14.22554","5.80e-40","-.061281",".0222156","-2.758461",".0058074",".1703338",".0118245","14.40519","8.30e-41","-.0518634",".0232081","-2.234711",".0254363"
"stateyrv101","-.2358566",".0239376","-9.852985","1.39e-21","-.0614701",".0094968","-6.472746","9.62e-11","-.2360707",".0237891","-9.923472","7.49e-22","-.0507525",".0099881","-5.081282","3.75e-07",".1984326",".0122155","16.2443","1.00e-49","-.0325868",".0221384","-1.471957",".1410325",".1987603",".0121276","16.38909","1.91e-50","-.0252747",".0227676","-1.110118",".2669481"
"stateyrv102","-.2614916",".0238695","-10.95507","5.91e-26","-.0910159",".0100184","-9.08489","0","-.2607249",".0236844","-11.00828","3.56e-26","-.0856039",".0107789","-7.941822","2.00e-15",".1792178",".0077818","23.03045","2.41e-85","-.0523587",".0199777","-2.620852",".008771",".1796098",".0078966","22.74534","8.39e-84","-.0493593",".0204185","-2.417377",".0156328"
"stateyrv103","-.234685",".0237661","-9.874776","1.15e-21","-.0643318",".0088473","-7.271352","3.56e-13","-.2332656",".0236482","-9.863979","1.26e-21","-.0645658",".0089741","-7.194677","6.26e-13",".1955766",".002531","77.27393","4.5e-321","-.035997",".0187481","-1.920041",".0548527",".1959629",".0024996","78.39727","0","-.0358446",".0189558","-1.890959",".0586298"
"stateyrv104","-.2597827",".0249994","-10.39154","1.12e-23","-.1109246",".0132661","-8.361505","0","-.2589306",".0247855","-10.44685","6.75e-24","-.0878334",".0108979","-8.059671","6.66e-16",".1886845",".0087449","21.57644","1.67e-77","-.0514586",".0212958","-2.416376",".0156759",".1902005",".0086619","21.95832","1.47e-79","-.0407658",".0203746","-2.000812",".0454127"
"stateyrv105","-.2523639",".0247646","-10.19052","6.92e-23","-.0876899",".0106626","-8.224078","2.22e-16","-.2525102",".0245096","-10.30248","2.52e-23","-.0692876",".0116898","-5.927181","3.08e-09",".1967928",".0052736","37.31632","7.2e-161","-.037704",".0194137","-1.942138",".0521204",".1975754",".0052516","37.62179","2.1e-162","-.0280542",".0197703","-1.419007",".155897"
"stateyrv106","-.2424937",".0267274","-9.072835","1.07e-18","-.1079243",".0188547","-5.723999","1.04e-08","-.2425741",".0263983","-9.18899","4.08e-19","-.064434",".0149535","-4.308975",".0000164",".1490288",".0081864","18.20447","1.11e-59","-.1000164",".0232839","-4.295519",".0000174",".1517226",".0079019","19.20069","7.14e-65","-.0760538",".0201008","-3.783624",".0001546"
"stateyrv107","-.2798888",".0239009","-11.7104","3.88e-29","-.1005426",".0103435","-9.72033","0","-.2795971",".023767","-11.76407","2.27e-29","-.0985102",".0099085","-9.941959","0",".2446726",".0056135","43.58681","3.2e-191",".0172734",".0195036",".885655",".3758035",".2445197",".0056713","43.11545","5.1e-189",".0182521",".0199742",".9137875",".3608285"
"stateyrv108","-.2721751",".0237933","-11.43914","5.60e-28","-.1013672",".0085721","-11.82526","0","-.272118",".0236051","-11.52794","2.35e-28","-.0899873",".0088611","-10.15537","0",".1764976",".0070161","25.15598","7.29e-97","-.0550815",".0198739","-2.771549",".005579",".1768958",".0073495","24.06905","5.72e-91","-.0489289",".0204174","-2.39643",".0165557"
"stateyrv109","-.2599457",".0248749","-10.45011","6.55e-24","-.0942952",".0113553","-8.304065","0","-.2593158",".0246824","-10.5061","3.92e-24","-.0835642",".0116109","-7.197063","6.15e-13",".1612683",".0155677","10.35913","2.63e-23","-.0726628",".0238342","-3.048674",".0022985",".1619712",".0155715","10.40176","1.80e-23","-.0664454",".0246303","-2.697712",".0069818"
"stateyrv110","-.2582396",".0352017","-7.336008","5.89e-13","-.0797459",".0181628","-4.39062",".0000113","-.2588656",".0353769","-7.317367","6.71e-13","-.0689015",".0181768","-3.790628",".0001503",".1323228",".0175544","7.537858","1.70e-13","-.0973892",".0272404","-3.575169",".00035",".1324774",".0176061","7.524501","1.86e-13","-.0921442",".0271623","-3.392349",".000693"
"stateyrv111","-.2329097",".0241509","-9.643938","8.60e-21","-.0717756",".0098423","-7.292578","3.04e-13","-.2329239",".0239272","-9.734675","3.92e-21","-.0515191",".0100209","-5.141144","2.73e-07",".2993399",".0108983","27.46668","2.3e-109",".0632922",".0216863","2.91853",".0035169",".3003256",".0108332","27.72262","9.4e-111",".0741383",".0217236","3.412807",".000643"
"stateyrv112","-.2231646",".0245114","-9.104516","8.23e-19","-.0825751",".0122937","-6.716865","1.86e-11","-.2217994",".0242291","-9.154257","5.45e-19","-.0569529",".0104369","-5.456895","4.85e-08",".2053322",".011721","17.51834","3.76e-56","-.039226",".0234772","-1.670812",".0947588",".2074233",".0114914","18.05038","6.97e-59","-.0268032",".0220063","-1.217977",".2232326"
"stateyrv113","-.2130309",".0237725","-8.961214","2.67e-18","-.0553279",".0095987","-5.764109","8.21e-09","-.2127989",".0235834","-9.023244","1.61e-18","-.0343148",".0104029","-3.298586",".0009717",".2066912",".0072955","28.33133","4.9e-114","-.0309724",".0204456","-1.51487",".1298052",".2078873",".0073442","28.30638","6.7e-114","-.0195548",".0204108","-.9580639",".3380305"
"stateyrv114","-.1969881",".0239741","-8.216691","9.57e-16","-.0642705",".0120865","-5.317541","1.05e-07","-.1950887",".0236984","-8.232149","8.51e-16","-.0366435",".0090377","-4.054521",".0000502",".2199246",".0028749","76.49707","1.3e-318","-.0295404",".0212477","-1.390283",".164443",".2226574",".0024681","90.21253","0","-.0138734",".0191818","-.7232619",".469519"
"stateyrv115","-.2013318",".0251511","-8.00488","4.73e-15","-.0549597",".012423","-4.424016","9.69e-06","-.1989628",".0250377","-7.946541","7.31e-15","-.0431121",".0118314","-3.643872",".0002686",".2076329",".0092887","22.35337","1.10e-81","-.0358184",".0216144","-1.657156",".0974879",".2095702",".0093277","22.46762","2.65e-82","-.0291061",".0211606","-1.375487",".1689806"
"stateyrv116","-.2113042",".0248191","-8.513789","9.61e-17","-.0598985",".0114506","-5.231022","1.69e-07","-.2091291",".0246815","-8.473113","1.32e-16","-.0506352",".012077","-4.192695",".0000276",".2259516",".0055654","40.59907","5.0e-177","-.0147798",".0198322","-.7452435",".4561246",".2275344",".0055594","40.92776","1.3e-178","-.0092146",".0195871","-.4704417",".6380395"
"stateyrv117","-.2327386",".0279197","-8.336013","3.83e-16","-.1783936",".037441","-4.764657","1.89e-06","-.2322727",".0266762","-8.707118","2.08e-17","-.0713125",".0174222","-4.093199",".0000425",".2777441",".0099407","27.9401","6.3e-112","-.0074726",".0392705","-.1902847",".8490861",".2851836",".0081474","35.00289","3.8e-149",".048776",".0207938","2.345695",".0189916"
"stateyrv118","-.2473444",".023909","-10.34526","1.71e-23","-.0876747",".0099932","-8.773466","0","-.2475498",".0236524","-10.46617","5.65e-24","-.0644854",".009729","-6.628169","3.40e-11",".1807237",".0049124","36.78938","3.2e-158","-.0560462",".0195126","-2.872308",".0040749",".1818059",".0048712","37.32296","6.7e-161","-.0435752",".0195803","-2.225463",".0260502"
"stateyrv119","-.2375892",".0240305","-9.886968","1.03e-21","-.0792728",".0093269","-8.499353","0","-.237076",".0237699","-9.973773","4.80e-22","-.0612596",".0093989","-6.51774","7.14e-11",".2017807",".0066881","30.17021","7.1e-124","-.0356414",".0201266","-1.77086",".0765839",".2029425",".0069826","29.06417","5.7e-118","-.0258508",".0201701","-1.28164",".1999689"
"stateyrv120","-.2344845",".0242063","-9.68692","5.93e-21","-.0844561",".0111209","-7.594373","3.09e-14","-.2318753",".0240978","-9.622266","1.04e-20","-.0778415",".0110585","-7.039046","1.94e-12",".1967192",".0156859","12.54112","2.52e-32","-.045195",".0250357","-1.805226",".0710394",".1984519",".0154941","12.8082","1.68e-33","-.0413909",".0250234","-1.654087",".0981098"
"stateyrv121","-.2543295",".0338669","-7.509682","1.74e-13","-.0920705",".0186473","-4.937476","7.91e-07","-.2537202",".0338407","-7.497492","1.90e-13","-.0782661",".0195129","-4.010989",".0000605",".1675399",".0205419","8.156022","1.92e-15","-.0686916",".0293808","-2.337974",".0193886",".1685436",".0204293","8.250111","9.46e-16","-.0609703",".0298658","-2.041477",".0412034"
"stateyrv122","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".",".2300273",".0100555","22.87576","1.66e-84","-.0003365",".0204838","-.0164275",".9868934",".2302661",".0101805","22.61838","4.07e-83",".0047942",".0206584",".23207",".8164836"
"stateyrv123","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".",".2529047",".0110625","22.86152","1.98e-84",".0202752",".0213449",".949887",".3421697",".2534262",".0110846","22.86291","1.94e-84",".0195725",".0219004",".8937046",".37148"
"stateyrv124","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".",".223566",".0072825","30.69901","1.1e-126","-.0061527",".019775","-.3111327",".7556997",".2237185",".0074012","30.22732","3.5e-124","-.0024765",".0200701","-.1233936",".9017954"
"stateyrv125","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".",".2468091",".0024609","100.2936","0",".0134255",".0187215",".7171155",".4733028",".2474236",".0024058","102.8454","0",".010205",".0191001",".5342919",".5931396"
"stateyrv126","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".",".2762351",".0083672","33.01396","7.2e-139",".0403856",".0199931","2.019982",".0433853",".2771774",".0085351","32.47515","4.7e-136",".0416467",".0200704","2.075025",".0379843"
"stateyrv127","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".",".2320973",".0052261","44.41088","4.7e-195","-.0016892",".0191766","-.0880877",".929807",".2327777",".0052853","44.04208","2.4e-193",".0024337",".0192157",".1266517",".8992161"
"stateyrv128","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".",".2807854",".0076754","36.58251","3.5e-157",".0814655",".0264096","3.084692",".0020376",".2769223",".0079936","34.64282","2.7e-147",".0432418",".0200224","2.159673",".030798"
"stateyrv129","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".",".180372",".0045354","39.77","5.3e-173","-.0474039",".0191972","-2.469309",".0135374",".1802769",".0046611","38.67674","1.2e-167","-.0415007",".0196661","-2.110264",".0348356"
"stateyrv130","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".",".2251185",".0062104","36.24889","1.7e-155","-.0027167",".019726","-.1377218",".8904603",".2250291",".0065823","34.18695","5.9e-145",".0021511",".0203474",".1057166",".9158072"
"stateyrv131","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".",".2399941",".0155879","15.39613","1.49e-45",".004948",".0240909",".2053881",".8372689",".2408274",".0155509","15.48643","5.42e-46",".0035457",".0243436",".1456517",".8841963"
"stateyrv132","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".",".2340847",".0159484","14.67759","4.26e-42","-.0044009",".0259918","-.1693192",".8655456",".2353748",".0159249","14.78034","1.38e-42",".0002248",".0258683",".0086917",".9930651"
"stateyrv133","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".",".2491457",".0067573","36.8707","1.2e-158",".0160439",".0198432",".8085346",".4187829",".2497333",".0066908","37.32495","6.5e-161",".0179553",".0202825",".8852614",".3760157"
"stateyrv134","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".",".2562021",".0148054","17.30468","4.63e-55",".0191219",".0243247",".7861107",".4318026",".2572971",".0147557","17.4371","9.78e-56",".0167259",".0257302",".6500496",".5156602"
"stateyrv135","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".",".197393",".0027727","71.19191","3.6e-301","-.0403224",".0191076","-2.110278",".0348344",".1985734",".0027134","73.18178","7.9e-308","-.041077",".0194968","-2.106861",".0351296"
"stateyrv136","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".",".2476777",".0029128","85.03121","0",".0094381",".0191041",".4940353",".6212812",".2489165",".0029391","84.69066","0",".0035673",".0201607",".176945",".8595516"
"stateyrv137","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".",".2420451",".0194979","12.41388","9.05e-32",".0015594",".0271893",".0573545",".9542628",".2435867",".0194679","12.51222","3.37e-32",".0020839",".0272513",".0764692",".9390458"
"stateyrv138","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".",".2155178",".0166431","12.94936","3.97e-34","-.022101",".0275691","-.8016586",".4227505",".216687",".0162975","13.29575","1.11e-35","-.0221309",".0287572","-.7695767",".441551"
"stateyrv139","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".",".2230606",".0126604","17.61877","1.15e-56","-.0127844",".0229181","-.5578295",".5769608",".2239996",".0126389","17.72305","3.37e-57","-.0129905",".02301","-.5645577",".5723746"
"stateyrv140","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".",".1596698",".0043907","36.36578","4.4e-156","-.0724266",".0191602","-3.780047",".0001568",".1601253",".004276","37.44755","1.6e-161","-.0715089",".0194699","-3.672782",".0002399"
"stateyrv141","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".",".1982864",".0039733","49.90452","1.2e-219","-.037129",".019086","-1.945354",".0517323",".1991711",".0038107","52.26597","9.5e-230","-.0366506",".0193264","-1.8964",".0579071"
"stateyrv142","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".",".2498625",".0075213","33.22059","6.0e-140",".013534",".0202948",".6668702",".5048551",".2508669",".0073818","33.98429","6.6e-144",".0148264",".020395",".726964",".467248"
"stateyrv143","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".",".2128279",".0134194","15.85969","8.03e-48","-.0305773",".0238055","-1.284461",".1989806",".2147477",".0134898","15.91922","4.09e-48","-.0300854",".0234398","-1.28352",".1993101"
"stateyrv144","-.2314766",".0244791","-9.45611","4.31e-20","-.0588462",".010835","-5.431109","5.60e-08","-.2297153",".0243822","-9.421427","5.78e-20","-.0640341",".0118671","-5.395931","6.82e-08",".2700553",".0097981","27.56201","6.9e-110",".0396547",".0211391","1.875891",".0606703",".2702849",".0097684","27.66923","1.8e-110",".037195",".0217277","1.711867",".0869211"
"stateyrv145","-.2314028",".0240279","-9.630591","9.65e-21","-.0661389",".0099451","-6.650398","2.92e-11","-.2300674",".0238836","-9.63287","9.46e-21","-.0612935",".0096648","-6.341912","2.27e-10",".3307299",".0089589","36.91639","7.3e-159",".096957",".0210263","4.611231","4.00e-06",".3314051",".0087865","37.7176","7.1e-163",".0992868",".02099","4.730203","2.24e-06"
"stateyrv146","-.2553183",".0237665","-10.7428","4.36e-25","-.0953794",".0087569","-10.89192","0","-.2517379",".0236516","-10.64359","1.10e-24","-.1057721",".0090918","-11.63377","0",".2402449",".0038396","62.56951","1.4e-270",".0036812",".0191378",".1923538",".847465",".2412686",".0038094","63.33516","2.0e-273","-.00111",".0198643","-.0558799",".9554375"
"stateyrv147","-.2304368",".0239362","-9.627124","9.94e-21","-.0659019",".0098006","-6.724272","1.76e-11","-.2291104",".0237387","-9.651355","8.07e-21","-.0603558",".0115911","-5.20708","1.92e-07",".2711494",".0034992","77.48942","9.4e-322",".0368231",".0188845","1.949914",".0511864",".2718982",".0035622","76.32849","4.6e-318",".040139",".0190406","2.108074",".0350246"
"stateyrv148","-.2069919",".0250833","-8.252172","7.30e-16","-.0361162",".0120653","-2.993404",".0027588","-.2060909",".0249234","-8.268982","6.42e-16","-.0322293",".0131184","-2.456797",".0140182",".3107649",".0126247","24.61556","6.22e-94",".0796227",".0226525","3.514957",".0004398",".3110992",".0125585","24.77206","8.81e-95",".0818586",".0230699","3.548289",".0003877"
"stateyrv149","-.2509807",".0242886","-10.33325","1.90e-23","-.0792041",".0115894","-6.834169","8.25e-12","-.2493599",".0242157","-10.29744","2.64e-23","-.0824263",".0135282","-6.09292","1.11e-09",".2739748",".006458","42.42394","9.4e-186",".0428708",".0198671","2.157884",".0309368",".2742973",".0064297","42.66109","7.1e-187",".041388",".0202587","2.042974",".041055"
"stateyrv150","-.2221488",".025211","-8.811577","9.00e-18","-.0580037",".01413","-4.104997",".0000404","-.2205474",".0250842","-8.792277","1.05e-17","-.0545473",".0138729","-3.931935",".0000843",".276452",".0127823","21.62766","8.85e-78",".0422579",".0231747","1.823445",".068236",".2771821",".0126918","21.83941","6.44e-79",".0447519",".0231206","1.935582",".0529189"
"stateyrv151","-.2900808",".0245953","-11.79417","1.68e-29","-.1390997",".0112233","-12.39379","0","-.2856887",".0248147","-11.51289","2.72e-28","-.1490043",".0111111","-13.41036","0",".192438",".005004","38.45694","1.5e-166","-.0484728",".0198729","-2.439141",".0147222",".1940258",".0049631","39.09397","1.1e-169","-.052767",".0208252","-2.533802",".0112833"
"stateyrv152","-.2826911",".0237611","-11.89724","6.01e-30","-.1170576",".0088978","-13.15581","0","-.2792477",".0238848","-11.69142","4.68e-29","-.1310984",".0104156","-12.58672","0",".2497065",".003998","62.45708","3.7e-270",".0156879",".0188384",".8327584",".404981",".250397",".0041592","60.20326","1.2e-261",".0090154",".0195431",".4613083",".6445774"
"stateyrv153","-.2512703",".0274851","-9.142039","6.03e-19","-.0799807",".0173769","-4.602702","4.17e-06","-.2494943",".0274328","-9.094742","8.92e-19","-.0841545",".0165328","-5.090166","3.58e-07",".2868749",".0087254","32.87802","3.7e-138",".0556063",".0204158","2.723691",".0064557",".2872178",".0087508","32.82183","7.3e-138",".0536669",".020842","2.574937",".0100258"
"stateyrv154","-.170168",".0309686","-5.49486","5.41e-08","-.028178",".016984","-1.659089",".0970978","-.1646726",".0313937","-5.245397","2.05e-07","-.0401369",".0161197","-2.489933",".0127767",".3311201",".0218337","15.16552","1.95e-44",".0869485",".0306415","2.837609",".0045453",".3331235",".0217156","15.34026","2.78e-45",".0789572",".0335283","2.354941",".0185257"
"stateyrv155","-.2197323",".024691","-8.899291","4.42e-18","-.0393556",".0119954","-3.280892",".0010348","-.2210265",".0245682","-8.996437","2.00e-18","-.02423",".0127874","-1.894836",".0581141",".3151886",".0192473","16.37571","2.23e-50",".0883086",".0270231","3.267893",".0010835",".3149804",".0191947","16.40972","1.51e-50",".0958059",".0277297","3.45499",".0005503"
"stateyrv156","-.23152",".0239158","-9.680621","6.26e-21","-.0473939",".0101423","-4.672892","2.97e-06","-.2314953",".0237835","-9.733449","3.96e-21","-.0470849",".0102582","-4.590001","4.43e-06",".3359548",".009613","34.94791","7.2e-149",".1101473",".0209964","5.24602","1.55e-07",".3355963",".0096649","34.72339","1.0e-147",".111504",".0210329","5.301414","1.15e-07"
"stateyrv157","-.2320237",".0240947","-9.629643","9.73e-21","-.0585536",".0098305","-5.956304","2.58e-09","-.2315141",".0239741","-9.656862","7.69e-21","-.0534301",".0099332","-5.378946","7.49e-08",".2871468",".0036474","78.72572","0",".0570479",".018846","3.027055",".0024695",".2873469",".0037506","76.61366","5.7e-319",".0598367",".0190308","3.144195",".0016654"
"stateyrv158","-.2277791",".023725","-9.600789","1.25e-20","-.0388243",".0108582","-3.575593",".0003494","-.2275093",".0235962","-9.641776","8.76e-21","-.0447914",".0100622","-4.451466","8.53e-06",".3023254",".0035178","85.94204","0",".0796113",".0193784","4.108258",".0000399",".3015575",".0036545","82.51563","0",".0762401",".0191473","3.981768",".0000684"
