"","est1","","est2","","est3","","est4","","est5","","est6","","est7","","est8","","est9","","est10","","est11",""
"","b","se","b","se","b","se","b","se","b","se","b","se","b","se","b","se","b","se","b","se","b","se"
"state_fe_18_trend","-.2665026",".075036","-.1263256",".0845693","-.5046515",".1136368",".0022965",".0554178","-.3420158",".088703",".0919832",".0623429",".1765833",".1390383",".1520443",".0754332","-.1024007",".1038728","-.130373",".0558208",".336615",".1151598"
"state_fe_19_trend","-.0564773",".1125309","-.1087212",".1138445","-.0476716",".1612731",".0408768",".0946217","-.332482",".2022927","-.0219069",".1007528",".388015",".2858168","-.0913814",".1614434",".6135125",".1560264",".057095",".1096963",".30918",".1299761"
"state_fe_20_trend","-.5490759",".1334543","-.5246537",".1416844","-.0534516",".130048",".0260889",".0901378","-.5998259",".1103032",".1275013",".0833558","-.0221504",".1002032","-.142216",".1019389",".3678993",".1072029","-.1265225",".0904002",".1935487",".1254704"
"state_fe_21_trend","-.1708782",".0813779","-.4446929",".0732459","-.4080964",".0930648","-.0501668",".0543413","-.2247682",".1218963",".1270423",".0857643",".37266",".1385681",".0282095",".0765848",".3866514",".0907789",".4452533",".0790846",".8947507",".1402555"
"state_fe_22_trend","-.3721343",".1524021","-.3067829",".1245471","-.3323455",".1380237","-.4392404",".0979381","-.0766361",".1049809",".1216635",".0867698","-.1998214",".0807296","-.0166715",".0889674",".1823827",".1111747","-.1351434",".1117375","-.1137927",".1124263"
"state_fe_23_trend","-.1873233",".0675106","-.138602",".0661302","-.462512",".082428",".189859",".0466948","-.3029985",".086968",".1701541",".0594983",".0246423",".1208496",".1745805",".0512641",".1442348",".0848044",".0184926",".0544309","-.0675115",".1121526"
"state_fe_24_trend","-.3761707",".0819685","-.0553952",".102418",".0563908",".1307097",".0439616",".067469","-.1656919",".1060559","-.0398331",".0734204","-.0707182",".1342977",".2577133",".0871998",".3103202",".0842264","-.0794653",".1059353",".1023261",".1476502"
"state_fe_25_trend",".0662717",".1060003","-.1420204",".0981992","-.4064255",".1230056","-.0385776",".0800301","-.4144806",".16554","-.1398454",".1259996",".0784482",".1553612","-.1871052",".1134896",".1017001",".1143734","-.0074086",".1123166",".5270254",".1772932"
"state_fe_26_trend",".1403661",".0834144","-.2221315",".0744647","-.17938",".0831973","-.1226116",".0556205",".2874099",".097098",".0547865",".0692134",".0404207",".1312786","-.0380662",".0581293",".3792506",".0903778","-.1758918",".0681222",".4560009",".1259383"
"state_fe_27_trend","-.4245805",".0820099","-.265335",".1022544",".1066873",".1122365",".0684058",".0747261","-.3238039",".1094179","-.1476376",".0632882",".3859894",".136837",".1888606",".0857603",".0707995",".0917427","-.072716",".0819852",".2691015",".1442478"
